timestamp,threadId,minimumStack
1593,0,14844
3375,1,14828
3317,3,15756
3378,4,16204
2418,5,16256
2504,6,15676
3074,7,16180
2352,8,16180
3379,10,1436
2383,16,15364
3563,0,14844
4333,1,14828
4319,3,15756
4378,4,16204
3396,5,16256
3493,6,15676
4116,7,16180
4352,8,16180
4379,10,1436
3383,16,15316
3563,0,14844
5339,1,14828
5318,3,15756
5378,4,16204
5362,5,16256
4478,6,15636
5160,7,16180
4352,8,16180
5379,10,1436
4383,16,15316
3563,0,14844
6373,1,14828
6316,3,15756
6378,4,16204
6339,5,16256
5466,6,15636
6174,7,16180
6352,8,16180
6379,10,1436
5383,16,15316
3563,0,14844
7317,1,14828
7318,3,15756
7378,4,16204
7316,5,16256
6426,6,15636
7317,7,16180
6352,8,16180
7379,10,1436
6383,16,15316
3563,0,14844
8351,1,14828
8330,3,15748
8378,4,16204
8294,5,16256
7400,6,15636
8352,7,16180
8352,8,16180
8379,10,1436
7383,16,15316
3563,0,14844
9373,1,14828
9331,3,15748
9378,4,16204
9270,5,16256
9359,6,15636
9360,7,16180
8352,8,16180
9379,10,1436
8383,16,15316
3563,0,14844
10365,1,14828
10329,3,15748
10378,4,16204
10248,5,16256
10328,6,15636
10115,7,16180
10352,8,16180
10379,10,1436
9383,16,15316
3563,0,14844
11371,1,14828
11328,3,15748
11378,4,16204
11224,5,16256
11301,6,15636
11219,7,16180
10352,8,16180
11379,10,1436
10383,16,15316
3563,0,14844
12371,1,14796
12328,3,15748
12378,4,16204
12202,5,16256
12285,6,15636
12017,7,16180
12352,8,16180
12379,10,1436
11383,16,15316
3563,0,14844
13377,1,14796
13330,3,15748
13378,4,16204
13179,5,16256
13260,6,15636
13079,7,16180
12352,8,16180
13379,10,1436
12383,16,15316
3563,0,14844
14321,1,14796
14330,3,15748
14378,4,16204
14156,5,16256
14234,6,15636
14109,7,16180
14352,8,16180
14379,10,1436
13383,16,15316
3563,0,14844
15327,1,14796
15329,3,15748
15378,4,16204
15132,5,16256
15207,6,15636
15251,7,16180
14352,8,16180
15379,10,1436
14383,16,15316
3563,0,14844
16375,1,14796
16330,3,15748
16378,4,16204
16108,5,16256
16185,6,15636
16282,7,16180
16352,8,16180
16379,10,1436
15383,16,15300
3563,0,14844
17369,1,14796
17330,3,15748
17378,4,16204
17086,5,16256
17164,6,15636
17001,7,16180
16352,8,16180
17379,10,1436
16383,16,15300
3563,0,14844
18341,1,14796
18330,3,15748
18378,4,16204
18062,5,16256
18134,6,15636
18105,7,16180
18352,8,16180
18379,10,1436
17383,16,15300
3563,0,14844
19348,1,14796
19329,3,15748
19329,4,16204
19039,5,16256
19114,6,15636
19154,7,16180
18352,8,16180
19379,10,1436
18383,16,15300
3563,0,14844
20368,1,14796
20329,3,15748
20379,4,16204
20016,5,16256
20090,6,15636
20185,7,16180
20352,8,16180
20379,10,1436
19383,16,15300
3563,0,14844
21326,1,14796
21329,3,15748
21379,4,16204
20994,5,16256
21069,6,15636
21326,7,16180
20352,8,16180
21379,10,1436
20383,16,15300
3563,0,14844
22375,1,14796
22332,3,15748
22329,4,16204
21970,5,16256
22048,6,15636
22046,7,16180
22352,8,16180
22379,10,1436
21383,16,15300
3563,0,14844
23367,1,14796
23329,3,15748
23330,4,16204
22948,5,16256
23023,6,15636
23187,7,16180
22352,8,16180
23379,10,1436
22383,16,15300
3563,0,14844
24373,1,14796
24330,3,15748
24330,4,16204
23924,5,16256
24003,6,15636
24218,7,16180
24352,8,16180
24379,10,1436
23383,16,15300
3563,0,14844
25359,1,14796
25330,3,15748
25330,4,16204
24902,5,16256
24982,6,15636
25359,7,16180
24352,8,16180
25379,10,1436
24383,16,15300
3563,0,14844
26365,1,14796
26330,3,15748
26330,4,16204
25879,5,16256
25958,6,15636
26040,7,16180
26352,8,16180
26379,10,1436
25383,16,15300
3563,0,14844
27371,1,14796
27328,3,15748
27330,4,16204
26856,5,16256
26937,6,15636
27086,7,16180
26352,8,16180
27379,10,1436
26383,16,15300
3563,0,14844
28329,1,14796
28329,3,15748
28330,4,16204
27832,5,16256
27914,6,15636
28211,7,16180
28352,8,16180
28379,10,1436
27383,16,15300
3563,0,14844
29335,1,14796
29332,3,15748
29330,4,16204
28808,5,16256
28894,6,15636
29259,7,16180
28352,8,16180
29379,10,1436
28383,16,15300
3563,0,14844
30369,1,14796
30330,3,15748
30330,4,16204
29786,5,16256
29864,6,15636
30355,7,16180
30352,8,16180
30379,10,1436
29383,16,15300
3563,0,14844
31375,1,14796
31329,3,15748
31330,4,16204
30762,5,16256
30845,6,15636
31065,7,16180
30352,8,16180
31379,10,1436
30383,16,15300
3563,0,14844
32361,1,14796
32332,3,15748
32330,4,16204
31739,5,16256
31822,6,15636
32187,7,16180
32352,8,16180
32379,10,1436
31383,16,15300
3563,0,14844
33367,1,14796
33330,3,15748
33330,4,16204
32716,5,16256
32796,6,15636
33291,7,16180
32352,8,16180
33379,10,1436
32383,16,15300
3563,0,14844
34373,1,14796
34329,3,15748
34330,4,16204
33694,5,16256
33788,6,15636
34322,7,16180
34352,8,16180
34379,10,1436
33383,16,15300
3563,0,14844
35345,1,14796
35330,3,15748
35330,4,16204
34670,5,16256
34758,6,15636
35039,7,16180
34352,8,16180
35379,10,1436
34383,16,15300
3563,0,14844
36365,1,14796
36330,3,15748
36330,4,16204
35648,5,16256
35732,6,15636
36143,7,16180
36352,8,16180
36379,10,1436
35383,16,15300
3563,0,14844
37372,1,14796
37335,3,15748
37331,4,16204
36624,5,16256
36704,6,15636
37189,7,16180
36352,8,16180
37379,10,1436
36383,16,15300
3563,0,14844
38378,1,14796
38332,3,15748
38331,4,16204
37602,5,16256
37681,6,15636
38316,7,16180
38352,8,16180
38379,10,1436
37383,16,15300
3563,0,14844
39365,1,14796
39332,3,15748
39332,4,16204
38579,5,16256
38658,6,15636
39365,7,16180
38352,8,16180
39379,10,1436
38383,16,15300
3563,0,14844
40371,1,14796
40334,3,15748
40332,4,16204
39556,5,16256
39634,6,15636
40043,7,16180
40352,8,16180
40379,10,1436
39383,16,15300
3563,0,14844
41377,1,14796
41335,3,15748
41332,4,16204
40532,5,16256
40611,6,15636
41169,7,16180
40352,8,16180
41379,10,1436
40383,16,15300
3563,0,14844
42349,1,14796
42334,3,15748
42332,4,16204
41508,5,16256
41609,6,15588
42293,7,16180
42352,8,16180
42379,10,1436
41383,16,15300
3563,0,14844
43369,1,14796
43332,3,15748
43332,4,16204
42486,5,16256
42560,6,15588
43029,7,16180
42352,8,16180
43379,10,1436
42383,16,15300
3563,0,14844
44375,1,14796
44332,3,15748
44332,4,16204
43462,5,16256
43535,6,15588
44077,7,16180
44352,8,16180
44379,10,1436
43383,16,15300
3563,0,14844
45319,1,14796
45333,3,15748
45332,4,16204
44439,5,16256
44519,6,15588
45145,7,16180
44352,8,16180
45379,10,1436
44383,16,15300
3563,0,14844
46367,1,14796
46330,3,15748
46332,4,16204
45416,5,16256
45492,6,15588
46249,7,16180
46352,8,16180
46379,10,1436
45383,16,15300
3563,0,14844
47373,1,14796
47331,3,15748
47332,4,16204
46394,5,16256
46474,6,15588
47317,7,16180
46352,8,16180
47379,10,1436
46383,16,15300
3563,0,14844
48365,1,14796
48331,3,15748
48332,4,16204
48360,5,16256
47461,6,15588
48053,7,16180
48352,8,16180
48379,10,1436
47383,16,15300
3563,0,14844
49351,1,14796
49332,3,15748
49332,4,16204
49338,5,16256
48439,6,15588
49101,7,16180
48352,8,16180
49379,10,1436
48383,16,15300
3563,0,14844
50357,1,14796
50334,3,15748
50332,4,16204
50314,5,16256
49418,6,15588
50183,7,16180
50352,8,16180
50379,10,1436
49383,16,15300
3563,0,14844
51377,1,14796
51332,3,15748
51332,4,16204
51292,5,16256
51375,6,15588
51273,7,16180
50352,8,16180
51379,10,1436
50383,16,15300
3563,0,14844
52335,1,14796
52333,3,15748
52332,4,16204
52268,5,16256
52353,6,15588
52365,7,16180
52352,8,16180
52379,10,1436
51383,16,15300
3563,0,14844
53369,1,14796
53332,3,15748
53332,4,16204
53246,5,16256
53330,6,15588
53042,7,16180
52352,8,16180
53379,10,1436
52383,16,15300
3563,0,14844
54375,1,14796
54331,3,15748
54332,4,16204
54222,5,16256
54307,6,15588
54070,7,16180
54352,8,16180
54379,10,1436
53383,16,15300
3563,0,14844
55367,1,14796
55332,3,15748
55332,4,16204
55200,5,16256
55287,6,15588
55095,7,16180
54352,8,16180
55379,10,1436
54383,16,15300
3563,0,14844
56353,1,14796
56334,3,15748
56332,4,16204
56178,5,16256
56263,6,15588
56235,7,16180
56352,8,16180
56379,10,1436
55383,16,15300
3563,0,14844
57359,1,14796
57332,3,15748
57332,4,16204
57154,5,16256
57239,6,15588
57269,7,16180
56352,8,16180
57379,10,1436
56383,16,15300
3563,0,14844
58365,1,14796
58332,3,15748
58332,4,16204
58130,5,16256
58217,6,15588
58365,7,16180
58352,8,16180
58379,10,1436
57383,16,15300
3563,0,14844
59323,1,14796
59331,3,15748
59332,4,16204
59108,5,16256
59191,6,15588
59087,7,16180
58352,8,16180
59379,10,1436
58383,16,15300
3563,0,14844
60371,1,14796
60332,3,15748
60332,4,16204
60084,5,16256
60166,6,15588
60135,7,16180
60352,8,16180
60379,10,1436
59383,16,15300
3563,0,14844
61365,1,14796
61342,3,15748
61332,4,16204
61060,5,16256
61146,6,15588
61188,7,16180
60352,8,16180
61379,10,1436
60383,16,15300
3563,0,14844
62323,1,14796
62341,3,15748
62332,4,16204
62038,5,16256
62121,6,15588
62353,7,16180
62352,8,16180
62379,10,1436
61383,16,15300
3563,0,14844
63358,1,14796
63344,3,15748
63332,4,16204
63014,5,16256
63102,6,15588
63065,7,16180
62352,8,16180
63379,10,1436
62383,16,15300
3563,0,14844
64365,1,14796
64342,3,15748
64332,4,16204
63992,5,16256
64077,6,15588
64171,7,16180
64352,8,16180
64379,10,1436
63383,16,15300
3563,0,14844
65371,1,14796
65344,3,15748
65332,4,16204
64968,5,16256
65048,6,15588
65205,7,16180
64352,8,16180
65379,10,1436
64383,16,15300
3563,0,14844
66343,1,14796
66343,3,15748
66332,4,16204
65946,5,16256
66026,6,15588
66329,7,16180
66352,8,16180
66379,10,1436
65383,16,15300
3563,0,14844
67377,1,14796
67346,3,15748
67332,4,16204
66922,5,16256
67000,6,15588
67377,7,16180
66352,8,16180
67379,10,1436
66383,16,15300
3563,0,14844
68371,1,14796
68344,3,15748
68332,4,16204
67901,5,16256
67981,6,15588
68072,7,16180
68352,8,16180
68379,10,1436
67383,16,15300
3563,0,14844
69377,1,14796
69343,3,15748
69332,4,16204
68878,5,16256
68957,6,15588
69126,7,16180
68352,8,16180
69379,10,1436
68383,16,15300
3563,0,14844
70321,1,14796
70345,3,15748
70332,4,16204
69854,5,16256
69930,6,15588
70245,7,16180
70352,8,16180
70379,10,1436
69383,16,15300
3563,0,14844
71369,1,14796
71344,3,15748
71332,4,16204
70830,5,16256
70902,6,15588
71275,7,16180
70352,8,16180
71379,10,1436
70383,16,15300
3563,0,14844
72341,1,14796
72344,3,15748
72332,4,16204
71808,5,16256
71885,6,15588
72105,7,16180
72352,8,16180
72379,10,1436
71383,16,15300
3563,0,14844
73347,1,14796
73346,3,15748
73332,4,16204
72784,5,16256
72855,6,15588
73137,7,16180
72352,8,16180
73379,10,1436
72383,16,15300
3563,0,14844
74367,1,14796
74346,3,15748
74332,4,16204
73760,5,16256
73829,6,15588
74277,7,16180
74352,8,16180
74379,10,1436
73383,16,15300
3563,0,14844
75325,1,14796
75346,3,15748
75332,4,16204
74738,5,16256
74807,6,15588
75311,7,16180
74352,8,16180
75379,10,1436
74383,16,15300
3563,0,14844
76331,1,14796
76344,3,15748
76332,4,16204
75714,5,16256
75781,6,15588
76004,7,16180
76352,8,16180
76379,10,1436
75383,16,15300
3563,0,14844
77365,1,14796
77348,3,15748
77332,4,16204
76692,5,16256
76766,6,15588
77129,7,16180
76352,8,16180
77379,10,1436
76383,16,15300
3563,0,14844
78372,1,14796
78344,3,15748
78332,4,16204
77668,5,16256
77741,6,15588
78178,7,16180
78352,8,16180
78379,10,1436
77383,16,15300
3563,0,14844
79378,1,14796
79343,3,15748
79332,4,16204
78646,5,16256
78722,6,15588
79233,7,16180
78352,8,16180
79379,10,1436
78383,16,15300
3563,0,14844
80351,1,14796
80344,3,15748
80332,4,16204
79622,5,16256
79694,6,15588
80351,7,16180
80352,8,16180
80379,10,1436
79383,16,15300
3563,0,14844
81357,1,14796
81344,3,15748
81332,4,16204
80600,5,16256
80676,6,15588
81031,7,16180
80352,8,16180
81379,10,1436
80383,16,15300
3563,0,14844
82331,1,14796
82347,3,15748
82332,4,16204
81578,5,16256
81655,6,15588
82213,7,16180
82352,8,16180
82379,10,1436
81383,16,15300
3563,0,14844
83337,1,14796
83345,3,15076
83332,4,16204
82554,5,16256
82629,6,15588
83247,7,16180
82352,8,16180
83379,10,1436
82383,16,15300
3563,0,14844
84371,1,14796
84344,3,15076
84332,4,16204
83530,5,16256
83607,6,15588
84357,7,16180
84352,8,16180
84379,10,1436
83383,16,15300
3563,0,14844
85377,1,14796
85343,3,15076
85332,4,16204
84508,5,16256
84586,6,15588
85066,7,16180
84352,8,16180
85379,10,1436
84383,16,15300
3563,0,14844
86350,1,14796
86347,3,15076
86332,4,16204
85485,5,16256
85566,6,15588
86114,7,16180
86352,8,16180
86379,10,1436
85383,16,15300
3563,0,14844
87357,1,14796
87349,3,15076
87333,4,16204
86460,5,16256
86540,6,15588
87169,7,16180
86352,8,16180
87379,10,1436
86383,16,15300
3563,0,14844
88363,1,14796
88346,3,15076
88334,4,16204
87438,5,16256
87520,6,15588
88287,7,16180
88352,8,16180
88379,10,1436
87383,16,15300
3563,0,14844
89369,1,14796
89344,3,15076
89334,4,16204
88414,5,16256
88498,6,15588
89316,7,16180
88352,8,16180
89379,10,1436
88383,16,15300
3563,0,14844
90342,1,14796
90346,3,15076
90334,4,16204
89392,5,16256
89470,6,15588
90036,7,16180
90352,8,16180
90379,10,1436
89383,16,15300
3563,0,14844
91376,1,14796
91348,3,15076
91335,4,16204
91359,5,16256
90464,6,15588
91141,7,16180
90352,8,16180
91379,10,1436
90383,16,15300
3563,0,14844
92322,1,14796
