gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix
963144,0,0,0,0,0,0,0,0,99.99,0,0
1064436,0,0,0,0,0,0,0,0,99.99,0,0
1163152,0,0,0,0,0,0,0,0,99.99,0,0
1264444,0,0,0,0,0,0,0,0,99.99,0,0
1364452,0,0,0,0,0,0,0,0,99.99,0,0
1464420,0,0,0,0,0,0,0,0,99.99,0,0
1564052,0,0,0,0,0,0,0,0,99.99,0,0
1663952,0,0,0,0,0,0,0,0,99.99,0,0
1764460,0,0,0,0,0,0,0,0,99.99,0,0
1864428,0,0,0,0,0,0,0,0,99.99,0,0
1965168,0,0,0,0,0,0,0,0,99.99,0,0
2064456,0,0,0,0,0,0,0,0,99.99,0,0
2164864,0,0,0,0,0,0,0,0,99.99,0,0
2264464,0,0,0,0,0,0,0,0,99.99,0,0
2366444,0,0,0,0,0,0,0,0,99.99,0,0
2464468,0,0,0,0,0,0,0,0,99.99,0,0
2566076,0,0,0,0,0,0,0,0,99.99,0,0
2664464,0,0,0,0,0,0,0,0,99.99,0,0
2766424,0,0,0,0,0,0,0,0,99.99,0,0
2866444,0,0,0,0,0,0,0,0,99.99,0,0
2965268,0,0,0,0,0,0,0,0,99.99,0,0
3064612,0,0,0,0,0,0,0,0,99.99,0,0
3164484,0,0,0,0,0,0,0,0,99.99,0,0
3265168,0,0,0,0,0,0,0,0,99.99,0,0
3364820,0,0,0,0,0,0,0,0,99.99,0,0
3464732,0,0,0,0,0,0,0,0,99.99,0,0
3564884,0,0,0,0,0,0,0,0,99.99,0,0
3665040,0,0,0,0,0,0,0,0,99.99,0,0
3765484,0,0,0,0,0,0,0,0,99.99,0,0
3865884,0,0,0,0,0,0,0,0,99.99,0,0
3967652,0,0,0,0,0,0,0,0,99.99,0,0
4066488,0,0,0,0,0,0,0,0,99.99,0,0
4165176,0,0,0,0,0,0,0,0,99.99,0,0
4265036,0,0,0,0,0,0,0,0,99.99,0,0
4365184,0,0,0,0,0,0,0,0,99.99,0,0
4464652,0,0,0,0,0,0,0,0,99.99,0,0
4565268,0,0,0,0,0,0,0,0,99.99,0,0
4665184,0,0,0,0,0,0,0,0,99.99,0,0
4765184,0,0,0,0,0,0,0,0,99.99,0,0
4864468,0,0,0,0,0,0,0,0,99.99,0,0
4966456,0,0,0,0,0,0,0,0,99.99,0,0
5066476,0,0,0,0,0,0,0,0,99.99,0,0
5164712,0,0,0,0,0,0,0,0,99.99,0,0
5264648,0,0,0,0,0,0,0,0,99.99,0,0
5364696,0,0,0,0,0,0,0,0,99.99,0,0
5465180,0,0,0,0,0,0,0,0,99.99,0,0
5564628,0,0,0,0,0,0,0,0,99.99,0,0
5666440,0,0,0,0,0,0,0,0,99.99,0,0
5764480,0,0,0,0,0,0,0,0,99.99,0,0
5866484,0,0,0,0,0,0,0,0,99.99,0,0
5964644,0,0,0,0,0,0,0,0,99.99,0,0
6065672,0,0,0,0,0,0,0,0,99.99,0,0
6164484,0,0,0,0,0,0,0,0,99.99,0,0
6266448,0,0,0,0,0,0,0,0,99.99,0,0
6365184,0,0,0,0,0,0,0,0,99.99,0,0
6464472,0,0,0,0,0,0,0,0,99.99,0,0
6565184,0,0,0,0,0,0,0,0,99.99,0,0
6665188,0,0,0,0,0,0,0,0,99.99,0,0
6764964,0,0,0,0,0,0,0,0,99.99,0,0
6864808,0,0,0,0,0,0,0,0,99.99,0,0
6966472,0,0,0,0,0,0,0,0,99.99,0,0
7065188,0,0,0,0,0,0,0,0,99.99,0,0
7166740,0,0,0,0,0,0,0,0,99.99,0,0
7264916,0,0,0,0,0,0,0,0,99.99,0,0
7364868,0,0,0,0,0,0,0,0,99.99,0,0
7465196,0,0,0,0,0,0,0,0,99.99,0,0
7564800,0,0,0,0,0,0,0,0,99.99,0,0
7665036,0,0,0,0,0,0,0,0,99.99,0,0
7767720,0,0,0,0,0,0,0,0,99.99,0,0
7867656,0,0,0,0,0,0,0,0,99.99,0,0
7978600,0,0,0,0,0,0,0,0,99.99,0,0
8077128,0,0,0,0,0,0,0,0,99.99,0,0
8178508,0,0,0,0,0,0,0,0,99.99,0,0
8277068,0,0,0,0,0,0,0,0,99.99,0,0
8378508,0,0,0,0,0,0,0,0,99.99,0,0
8477248,0,0,0,0,0,0,0,0,99.99,0,0
8578608,0,0,0,0,0,0,0,0,99.99,0,0
8677128,0,0,0,0,0,0,0,0,99.99,0,0
8778496,0,0,0,0,0,0,0,0,99.99,0,0
8877124,0,0,0,0,0,0,0,0,99.99,0,0
8979204,0,0,0,0,0,0,0,0,99.99,0,0
9078472,0,0,0,0,0,0,0,0,99.99,0,0
9178496,0,0,0,0,0,0,0,0,99.99,0,0
9277352,0,0,0,0,0,0,0,0,99.99,0,0
9378484,0,0,0,0,0,0,0,0,99.99,0,0
9477136,0,0,0,0,0,0,0,0,99.99,0,0
9578460,0,0,0,0,0,0,0,0,99.99,0,0
9677152,0,0,0,0,0,0,0,0,99.99,0,0
9777144,0,0,0,0,0,0,0,0,99.99,0,0
9877128,0,0,0,0,0,0,0,0,99.99,0,0
9977240,0,0,0,0,0,0,0,0,99.99,0,0
10077156,0,0,0,0,0,0,0,0,99.99,0,0
10177120,0,0,0,0,0,0,0,0,99.99,0,0
10277116,0,0,0,0,0,0,0,0,99.99,0,0
10377156,0,0,0,0,0,0,0,0,99.99,0,0
10477156,0,0,0,0,0,0,0,0,99.99,0,0
10577112,0,0,0,0,0,0,0,0,99.99,0,0
10677124,0,0,0,0,0,0,0,0,99.99,0,0
10777120,0,0,0,0,0,0,0,0,99.99,0,0
10877640,0,0,0,0,0,0,0,0,99.99,0,0
10977164,0,0,0,0,0,0,0,0,99.99,0,0
11078516,0,0,0,0,0,0,0,0,99.99,0,0
11177172,0,0,0,0,0,0,0,0,99.99,0,0
11279208,0,0,0,0,0,0,0,0,99.99,0,0
11377148,0,0,0,0,0,0,0,0,99.99,0,0
11478664,0,0,0,0,0,0,0,0,99.99,0,0
11577156,0,0,0,0,0,0,0,0,99.99,0,0
11679220,0,0,0,0,0,0,0,0,99.99,0,0
11777168,0,0,0,0,0,0,0,0,99.99,0,0
11878764,0,0,0,0,0,0,0,0,99.99,0,0
11977140,0,0,0,0,0,0,0,0,99.99,0,0
12077124,0,0,0,0,0,0,0,0,99.99,0,0
12177072,0,0,0,0,0,0,0,0,99.99,0,0
12277168,0,0,0,0,0,0,0,0,99.99,0,0
12377140,0,0,0,0,0,0,0,0,99.99,0,0
12477672,0,0,0,0,0,0,0,0,99.99,0,0
12578560,0,0,0,0,0,0,0,0,99.99,0,0
12677160,0,0,0,0,0,0,0,0,99.99,0,0
12779228,0,0,0,0,0,0,0,0,99.99,0,0
12877172,0,0,0,0,0,0,0,0,99.99,0,0
12978520,0,0,0,0,0,0,0,0,99.99,0,0
13077156,0,0,0,0,0,0,0,0,99.99,0,0
13178648,0,0,0,0,0,0,0,0,99.99,0,0
13277180,0,0,0,0,0,0,0,0,99.99,0,0
13378496,0,0,0,0,0,0,0,0,99.99,0,0
13477088,0,0,0,0,0,0,0,0,99.99,0,0
13578528,0,0,0,0,0,0,0,0,99.99,0,0
13677144,0,0,0,0,0,0,0,0,99.99,0,0
13778176,0,0,0,0,0,0,0,0,99.99,0,0
13877180,0,0,0,0,0,0,0,0,99.99,0,0
13978672,0,0,0,0,0,0,0,0,99.99,0,0
14078484,0,0,0,0,0,0,0,0,99.99,0,0
14178496,0,0,0,0,0,0,0,0,99.99,0,0
14278512,0,0,0,0,0,0,0,0,99.99,0,0
14377148,0,0,0,0,0,0,0,0,99.99,0,0
14478524,0,0,0,0,0,0,0,0,99.99,0,0
14577144,0,0,0,0,0,0,0,0,99.99,0,0
14677992,0,0,0,0,0,0,0,0,99.99,0,0
14777084,0,0,0,0,0,0,0,0,99.99,0,0
14879236,0,0,0,0,0,0,0,0,99.99,0,0
14977268,0,0,0,0,0,0,0,0,99.99,0,0
15078508,0,0,0,0,0,0,0,0,99.99,0,0
15177168,0,0,0,0,0,0,0,0,99.99,0,0
15277084,0,0,0,0,0,0,0,0,99.99,0,0
15377152,0,0,0,0,0,0,0,0,99.99,0,0
15477152,0,0,0,0,0,0,0,0,99.99,0,0
15577172,0,0,0,0,0,0,0,0,99.99,0,0
15677200,0,0,0,0,0,0,0,0,99.99,0,0
15778536,0,0,0,0,0,0,0,0,99.99,0,0
15877116,0,0,0,0,0,0,0,0,99.99,0,0
15978512,0,0,0,0,0,0,0,0,99.99,0,0
16077100,0,0,0,0,0,0,0,0,99.99,0,0
16178108,0,0,0,0,0,0,0,0,99.99,0,0
16277152,0,0,0,0,0,0,0,0,99.99,0,0
16377160,0,0,0,0,0,0,0,0,99.99,0,0
16477136,0,0,0,0,0,0,0,0,99.99,0,0
16577180,0,0,0,0,0,0,0,0,99.99,0,0
16677200,0,0,0,0,0,0,0,0,99.99,0,0
16778504,0,0,0,0,0,0,0,0,99.99,0,0
16877148,0,0,0,0,0,0,0,0,99.99,0,0
16978512,0,0,0,0,0,0,0,0,99.99,0,0
17078020,0,0,0,0,0,0,0,0,99.99,0,0
17177752,0,0,0,0,0,0,0,0,99.99,0,0
17277940,0,0,0,0,0,0,0,0,99.99,0,0
