timestamp,cpu_usage,cpu_usage_min,cpu_usage_max,cpu_usage_mean,free_heap,min_free_heap
3379,31.7452,31.7452,31.7452,31.7452,5.28005e+06,5.27462e+06
4379,37.692,31.7452,37.692,34.7186,5.28005e+06,5.27462e+06
5379,41.0902,31.7452,41.0902,36.8425,5.28006e+06,5.27462e+06
6379,43.0973,31.7452,43.0973,38.4062,5.28006e+06,5.27462e+06
7379,45.8917,31.7452,45.8917,39.9033,5.28006e+06,5.27462e+06
8379,47.3644,31.7452,47.3644,41.1468,5.28006e+06,5.27462e+06
9379,48.389,31.7452,48.389,42.1814,5.28005e+06,5.27462e+06
10379,49.4104,31.7452,49.4104,43.085,5.28005e+06,5.27462e+06
11379,50.5211,31.7452,50.5211,43.9112,5.28005e+06,5.27462e+06
12379,51.7023,31.7452,51.7023,44.6903,5.28005e+06,5.27462e+06
13379,52.1098,31.7452,52.1098,45.3648,5.28005e+06,5.27462e+06
14379,52.6922,31.7452,52.6922,45.9755,5.28005e+06,5.27462e+06
15379,53.2217,31.7452,53.2217,46.5329,5.28005e+06,5.27462e+06
16379,53.5512,31.7452,53.5512,47.0342,5.28005e+06,5.27462e+06
17379,54.1462,31.7452,54.1462,47.5083,5.28005e+06,5.27462e+06
18379,54.3595,31.7452,54.3595,47.9365,5.28005e+06,5.27462e+06
19379,54.4872,31.7452,54.4872,48.3218,5.28005e+06,5.27462e+06
20379,54.7163,31.7452,54.7163,48.6771,5.28005e+06,5.27462e+06
21379,55.1384,31.7452,55.1384,49.0172,5.28005e+06,5.27462e+06
22379,55.3999,31.7452,55.3999,49.3363,5.28005e+06,5.27462e+06
23379,55.7002,31.7452,55.7002,49.6393,5.28005e+06,5.27462e+06
24379,55.8153,31.7452,55.8153,49.9201,5.28005e+06,5.27462e+06
25379,56.1377,31.7452,56.1377,50.1904,5.28005e+06,5.27462e+06
26379,56.2324,31.7452,56.2324,50.4421,5.28005e+06,5.27462e+06
27379,56.3064,31.7452,56.3064,50.6767,5.28005e+06,5.27462e+06
28379,56.5603,31.7452,56.5603,50.903,5.28005e+06,5.27462e+06
29379,56.6583,31.7452,56.6583,51.1162,5.28005e+06,5.27462e+06
30379,56.8148,31.7452,56.8148,51.3197,5.28005e+06,5.27462e+06
31379,56.9463,31.7452,56.9463,51.5137,5.28005e+06,5.27462e+06
32379,57.0899,31.7452,57.0899,51.6996,5.28005e+06,5.27462e+06
33379,57.2375,31.7452,57.2375,51.8782,5.28005e+06,5.27462e+06
34379,57.2594,31.7452,57.2594,52.0464,5.28005e+06,5.27462e+06
35379,57.447,31.7452,57.447,52.21,5.28005e+06,5.27462e+06
36379,57.4511,31.7452,57.4511,52.3642,5.28005e+06,5.27462e+06
37379,57.5057,31.7452,57.5057,52.5111,5.28005e+06,5.27462e+06
38379,57.658,31.7452,57.658,52.6541,5.28005e+06,5.27462e+06
39379,57.6995,31.7452,57.6995,52.7904,5.28005e+06,5.27462e+06
40379,57.7631,31.7452,57.7631,52.9213,5.28005e+06,5.27462e+06
41379,57.822,31.7452,57.822,53.0469,5.28005e+06,5.27462e+06
42379,57.9559,31.7452,57.9559,53.1697,5.28005e+06,5.27462e+06
43379,58.044,31.7452,58.044,53.2886,5.28005e+06,5.27462e+06
44379,58.0384,31.7452,58.044,53.4016,5.28005e+06,5.27462e+06
45379,58.0873,31.7452,58.0873,53.5106,5.28005e+06,5.27462e+06
46379,58.1552,31.7452,58.1552,53.6162,5.28005e+06,5.27462e+06
47379,58.2108,31.7452,58.2108,53.7183,5.28005e+06,5.27462e+06
48379,58.2743,31.7452,58.2743,53.8173,5.28006e+06,5.27462e+06
49379,58.292,31.7452,58.292,53.9125,5.28006e+06,5.27462e+06
50379,58.3304,31.7452,58.3304,54.0046,5.28006e+06,5.27462e+06
51379,58.3824,31.7452,58.3824,54.0939,5.28005e+06,5.27462e+06
52379,58.4557,31.7452,58.4557,54.1811,5.28005e+06,5.27462e+06
53379,58.4607,31.7452,58.4607,54.2651,5.28005e+06,5.27462e+06
54379,58.4582,31.7452,58.4607,54.3457,5.28005e+06,5.27462e+06
55379,58.4629,31.7452,58.4629,54.4234,5.28005e+06,5.27462e+06
56379,58.5443,31.7452,58.5443,54.4997,5.28005e+06,5.27462e+06
57379,58.5445,31.7452,58.5445,54.5732,5.28005e+06,5.27462e+06
58379,58.5997,31.7452,58.5997,54.6451,5.28005e+06,5.27462e+06
59379,58.634,31.7452,58.634,54.7151,5.28005e+06,5.27462e+06
60379,58.6332,31.7452,58.634,54.7827,5.28005e+06,5.27462e+06
61379,58.6598,31.7452,58.6598,54.8484,5.28005e+06,5.27462e+06
62379,58.7643,31.7452,58.7643,54.9137,5.28005e+06,5.27462e+06
63379,58.8271,31.7452,58.8271,54.9778,5.28005e+06,5.27462e+06
64379,58.8296,31.7452,58.8296,55.0399,5.28005e+06,5.27462e+06
65379,58.8294,31.7452,58.8296,55.1001,5.28005e+06,5.27462e+06
66379,58.8898,31.7452,58.8898,55.1593,5.28005e+06,5.27462e+06
67379,58.897,31.7452,58.897,55.2168,5.28005e+06,5.27462e+06
68379,58.9028,31.7452,58.9028,55.2726,5.28005e+06,5.27462e+06
69379,58.9174,31.7452,58.9174,55.327,5.28005e+06,5.27462e+06
70379,58.9639,31.7452,58.9639,55.3805,5.28005e+06,5.27462e+06
71379,58.9596,31.7452,58.9639,55.4324,5.28005e+06,5.27462e+06
72379,59.0506,31.7452,59.0506,55.4841,5.28005e+06,5.27462e+06
73379,59.0397,31.7452,59.0506,55.5342,5.28005e+06,5.27462e+06
74379,59.1059,31.7452,59.1059,55.5838,5.28005e+06,5.27462e+06
75379,59.1028,31.7452,59.1059,55.632,5.28005e+06,5.27462e+06
76379,59.1448,31.7452,59.1448,55.6795,5.28005e+06,5.27462e+06
77379,59.1499,31.7452,59.1499,55.7257,5.28005e+06,5.27462e+06
78379,59.1536,31.7452,59.1536,55.7708,5.28005e+06,5.27462e+06
79379,59.1679,31.7452,59.1679,55.8149,5.28005e+06,5.27462e+06
80379,59.2079,31.7452,59.2079,55.8584,5.28005e+06,5.27462e+06
81379,59.2018,31.7452,59.2079,55.9008,5.28005e+06,5.27462e+06
82379,59.2755,31.7452,59.2755,55.9429,5.28005e+06,5.27462e+06
83379,59.2701,31.7452,59.2755,55.984,5.28005e+06,5.27462e+06
84379,59.3068,31.7452,59.3068,56.0245,5.28005e+06,5.27462e+06
85379,59.3157,31.7452,59.3157,56.0642,5.28005e+06,5.27462e+06
86379,59.3174,31.7452,59.3174,56.1029,5.28005e+06,5.27462e+06
87379,59.3256,31.7452,59.3256,56.1408,5.28005e+06,5.27462e+06
88379,59.36,31.7452,59.36,56.1783,5.28005e+06,5.27462e+06
89379,59.3507,31.7452,59.36,56.2147,5.28005e+06,5.27462e+06
90379,59.4021,31.7452,59.4021,56.251,5.28005e+06,5.27462e+06
91379,59.3895,31.7452,59.4021,56.2862,5.28006e+06,5.27462e+06
92379,59.4361,31.7452,59.4361,56.3212,5.28006e+06,5.27462e+06
93379,59.4553,31.7452,59.4553,56.3557,5.28006e+06,5.27462e+06
94379,59.4547,31.7452,59.4553,56.3893,5.28005e+06,5.27462e+06
95379,59.4475,31.7452,59.4553,56.4222,5.28005e+06,5.27462e+06
96379,59.4898,31.7452,59.4898,56.4549,5.28005e+06,5.27462e+06
97379,59.482,31.7452,59.4898,56.4867,5.28005e+06,5.27462e+06
98379,59.5061,31.7452,59.5061,56.5182,5.28005e+06,5.27462e+06
99379,59.5051,31.7452,59.5061,56.549,5.28005e+06,5.27462e+06
100379,59.4986,31.7452,59.5061,56.5791,5.28005e+06,5.27462e+06
101379,59.5067,31.7452,59.5067,56.6086,5.28005e+06,5.27462e+06
102379,59.5517,31.7452,59.5517,56.6381,5.28005e+06,5.27462e+06
103379,59.5862,31.7452,59.5862,56.6673,5.28005e+06,5.27462e+06
104379,59.5817,31.7452,59.5862,56.6958,5.28005e+06,5.27462e+06
105379,59.5749,31.7452,59.5862,56.7238,5.28005e+06,5.27462e+06
106379,59.5895,31.7452,59.5895,56.7513,5.28005e+06,5.27462e+06
107379,59.6042,31.7452,59.6042,56.7785,5.28005e+06,5.27462e+06
108379,59.602,31.7452,59.6042,56.8051,5.28005e+06,5.27462e+06
109379,59.6066,31.7452,59.6066,56.8313,5.28005e+06,5.27462e+06
110379,59.6308,31.7452,59.6308,56.8573,5.28005e+06,5.27462e+06
111379,59.6237,31.7452,59.6308,56.8826,5.28005e+06,5.27462e+06
112379,59.6785,31.7452,59.6785,56.9081,5.28005e+06,5.27462e+06
113379,59.6674,31.7452,59.6785,56.9329,5.28005e+06,5.27462e+06
114379,59.7048,31.7452,59.7048,56.9577,5.28005e+06,5.27462e+06
115379,59.6945,31.7452,59.7048,56.9819,5.28005e+06,5.27462e+06
116379,59.6927,31.7452,59.7048,57.0057,5.28005e+06,5.27462e+06
117379,59.7197,31.7452,59.7197,57.0293,5.28005e+06,5.27462e+06
118379,59.7162,31.7452,59.7197,57.0524,5.28005e+06,5.27462e+06
119379,59.7089,31.7452,59.7197,57.0751,5.28005e+06,5.27462e+06
120379,59.7261,31.7452,59.7261,57.0976,5.28005e+06,5.27462e+06
121379,59.7314,31.7452,59.7314,57.1197,5.28005e+06,5.27462e+06
122379,59.7602,31.7452,59.7602,57.1417,5.28005e+06,5.27462e+06
123379,59.7703,31.7452,59.7703,57.1635,5.28005e+06,5.27462e+06
124379,59.7605,31.7452,59.7703,57.1847,5.28005e+06,5.27462e+06
125379,59.7874,31.7452,59.7874,57.2059,5.28005e+06,5.27462e+06
126379,59.7839,31.7452,59.7874,57.2267,5.28005e+06,5.27462e+06
127379,59.7608,31.7452,59.7874,57.247,5.28005e+06,5.27462e+06
128379,59.7914,31.7452,59.7914,57.2672,5.28005e+06,5.27462e+06
129379,59.7919,31.7452,59.7919,57.287,5.28005e+06,5.27462e+06
130379,59.7881,31.7452,59.7919,57.3066,5.28005e+06,5.27462e+06
131379,59.7914,31.7452,59.7919,57.3258,5.28005e+06,5.27462e+06
132379,59.827,31.7452,59.827,57.3451,5.28005e+06,5.27462e+06
133379,59.8507,31.7452,59.8507,57.3642,5.28005e+06,5.27462e+06
134379,59.8476,31.7452,59.8507,57.383,5.28006e+06,5.27462e+06
135379,59.8269,31.7452,59.8507,57.4014,5.28006e+06,5.27462e+06
136379,59.8516,31.7452,59.8516,57.4197,5.28006e+06,5.27462e+06
137379,59.8584,31.7452,59.8584,57.4377,5.28005e+06,5.27462e+06
138379,59.8563,31.7452,59.8584,57.4555,5.28005e+06,5.27462e+06
139379,59.8786,31.7452,59.8786,57.4732,5.28005e+06,5.27462e+06
140379,59.8808,31.7452,59.8808,57.4907,5.28005e+06,5.27462e+06
141379,59.8713,31.7452,59.8808,57.5078,5.28005e+06,5.27462e+06
142379,59.8763,31.7452,59.8808,57.5247,5.28005e+06,5.27462e+06
143379,59.858,31.7452,59.8808,57.5413,5.28005e+06,5.27462e+06
144379,59.8436,31.7452,59.8808,57.5575,5.28005e+06,5.27462e+06
145379,59.8404,31.7452,59.8808,57.5734,5.28005e+06,5.27462e+06
146379,59.845,31.7452,59.8808,57.5892,5.28005e+06,5.27462e+06
147379,59.8439,31.7452,59.8808,57.6048,5.28005e+06,5.27462e+06
148379,59.8354,31.7452,59.8808,57.62,5.28005e+06,5.27462e+06
149379,59.8447,31.7452,59.8808,57.6352,5.28005e+06,5.27462e+06
150379,59.8518,31.7452,59.8808,57.6501,5.28005e+06,5.27462e+06
151379,59.849,31.7452,59.8808,57.6649,5.28005e+06,5.27462e+06
152379,59.8824,31.7452,59.8824,57.6797,5.28005e+06,5.27462e+06
153379,59.8802,31.7452,59.8824,57.6943,5.28005e+06,5.27462e+06
154379,59.8853,31.7452,59.8853,57.7087,5.28005e+06,5.27462e+06
155379,59.8917,31.7452,59.8917,57.7229,5.28005e+06,5.27462e+06
156379,59.8799,31.7452,59.8917,57.7369,5.28005e+06,5.27462e+06
157379,59.886,31.7452,59.8917,57.7508,5.28005e+06,5.27462e+06
158379,59.8907,31.7452,59.8917,57.7645,5.28005e+06,5.27462e+06
159379,59.8868,31.7452,59.8917,57.778,5.28005e+06,5.27462e+06
160379,59.9103,31.7452,59.9103,57.7915,5.28005e+06,5.27462e+06
161379,59.9012,31.7452,59.9103,57.8048,5.28005e+06,5.27462e+06
162379,59.9235,31.7452,59.9235,57.8181,5.28005e+06,5.27462e+06
163379,59.9354,31.7452,59.9354,57.8312,5.28005e+06,5.27462e+06
164379,59.9398,31.7452,59.9398,57.8442,5.28005e+06,5.27462e+06
165379,59.9393,31.7452,59.9398,57.8571,5.28005e+06,5.27462e+06
166379,59.9313,31.7452,59.9398,57.8697,5.28005e+06,5.27462e+06
167379,59.938,31.7452,59.9398,57.8823,5.28005e+06,5.27462e+06
168379,59.9388,31.7452,59.9398,57.8946,5.28005e+06,5.27462e+06
169379,59.9357,31.7452,59.9398,57.9069,5.28005e+06,5.27462e+06
170379,59.9242,31.7452,59.9398,57.9189,5.28005e+06,5.27462e+06
171379,59.9417,31.7452,59.9417,57.9308,5.28005e+06,5.27462e+06
172379,59.9518,31.7452,59.9518,57.9427,5.28005e+06,5.27462e+06
173379,59.9727,31.7452,59.9727,57.9546,5.28005e+06,5.27462e+06
174379,59.9603,31.7452,59.9727,57.9663,5.28005e+06,5.27462e+06
175379,59.9575,31.7452,59.9727,57.9778,5.28005e+06,5.27462e+06
176379,59.9728,31.7452,59.9728,57.9892,5.28006e+06,5.27462e+06
177379,59.97,31.7452,59.9728,58.0006,5.28006e+06,5.27462e+06
178379,59.9591,31.7452,59.9728,58.0117,5.28006e+06,5.27462e+06
179379,59.9746,31.7452,59.9746,58.0228,5.28006e+06,5.27462e+06
180379,59.9666,31.7452,59.9746,58.0337,5.28005e+06,5.27462e+06
181379,59.9731,31.7452,59.9746,58.0445,5.28005e+06,5.27462e+06
182379,59.9922,31.7452,59.9922,58.0554,5.28005e+06,5.27462e+06
183379,59.9967,31.7452,59.9967,58.0661,5.28005e+06,5.27462e+06
184379,60.0047,31.7452,60.0047,58.0767,5.28005e+06,5.27462e+06
185379,60.0018,31.7452,60.0047,58.0872,5.28005e+06,5.27462e+06
186379,60.018,31.7452,60.018,58.0977,5.28005e+06,5.27462e+06
187379,60.0104,31.7452,60.018,58.1081,5.28005e+06,5.27462e+06
188379,60.0029,31.7452,60.018,58.1183,5.28005e+06,5.27462e+06
189379,60.0177,31.7452,60.018,58.1284,5.28005e+06,5.27462e+06
190379,60.0099,31.7452,60.018,58.1384,5.28005e+06,5.27462e+06
191379,60.015,31.7452,60.018,58.1484,5.28005e+06,5.27462e+06
192379,60.0338,31.7452,60.0338,58.1583,5.28005e+06,5.27462e+06
193379,60.0398,31.7452,60.0398,58.1681,5.28005e+06,5.27462e+06
194379,60.0445,31.7452,60.0445,58.1779,5.28005e+06,5.27462e+06
195379,60.0412,31.7452,60.0445,58.1876,5.28005e+06,5.27462e+06
196379,60.0331,31.7452,60.0445,58.1971,5.28005e+06,5.27462e+06
197379,60.037,31.7452,60.0445,58.2065,5.28005e+06,5.27462e+06
198379,60.043,31.7452,60.0445,58.2159,5.28005e+06,5.27462e+06
199379,60.0394,31.7452,60.0445,58.2251,5.28005e+06,5.27462e+06
200379,60.0538,31.7452,60.0538,58.2344,5.28005e+06,5.27462e+06
201379,60.0458,31.7452,60.0538,58.2435,5.28005e+06,5.27462e+06
202379,60.0656,31.7452,60.0656,58.2526,5.28005e+06,5.27462e+06
203379,60.072,31.7452,60.072,58.2616,5.28005e+06,5.27462e+06
204379,60.0776,31.7452,60.0776,58.2706,5.28005e+06,5.27462e+06
205379,60.0743,31.7452,60.0776,58.2795,5.28005e+06,5.27462e+06
