timestamp,n,e,d,vn,ve,vd,qx,qy,qz,qw,bx,by,bz
2047540,0,0,-110.131,-0.0426739,0.00396094,-1.09385,0.00815277,0.0101166,0.00424244,0.999907,0.000175441,0.00158196,-0.000158012
2067548,-0.000853478,7.92189e-05,-110.882,-0.0674697,0.00707774,-1.11886,0.00428554,-0.0406751,0.00834102,0.999128,0.000190821,0.00175557,-0.000173799
2087548,-0.00220287,0.000220774,-110.882,-0.072687,0.00937767,-1.11475,7.0359e-05,-0.0949306,0.0128012,0.995402,0.000330435,0.00329546,-0.000314723
2107548,-0.00365661,0.000408327,-110.883,-0.0570274,0.0107053,-1.11143,-0.00491152,-0.151221,0.0180116,0.988324,0.000365429,0.00363491,-0.000348121
2127548,-0.00479716,0.000622434,-110.884,-0.0197104,0.00978772,-1.10364,-0.00980859,-0.208846,0.0231318,0.977626,0.000505481,0.00507668,-0.000490754
2147548,-0.00519137,0.000818188,-110.884,0.040842,0.00735335,-1.09046,-0.0141359,-0.266479,0.0277155,0.963338,0.000547373,0.00554948,-0.000533318
2167548,-0.00437453,0.000965255,-110.884,0.1219,0.00324517,-1.06886,-0.018885,-0.322865,0.0328479,0.945686,0.000670252,0.00685192,-0.000665026
2187548,-0.00193653,0.00103016,-110.884,0.224234,-0.00227576,-1.03448,-0.0235333,-0.376845,0.0380083,0.925197,0.000724456,0.00740054,-0.000720222
2207548,0.00254816,0.000984643,-110.883,0.344999,-0.00741724,-0.986859,-0.0278777,-0.427388,0.0426551,0.902631,0.000830154,0.0085185,-0.000834922
2227548,0.00944814,0.000836298,-110.885,0.481443,-0.0127597,-0.924604,-0.0318174,-0.473726,0.0468865,0.878847,0.000883836,0.00907557,-0.000890416
2247548,0.019077,0.000581104,-110.882,0.631505,-0.0170405,-0.845301,-0.0353928,-0.516135,0.0505838,0.854279,0.000971184,0.00999948,-0.000981331
2267548,0.0317071,0.000240294,-110.882,0.792585,-0.0206712,-0.751936,-0.0387553,-0.554317,0.0546499,0.829605,0.00102307,0.0105278,-0.00103841
2287548,0.0475588,-0.000173131,-110.885,0.963806,-0.0230923,-0.646118,-0.0415829,-0.587926,0.0577729,0.805777,0.00109309,0.0112634,-0.0011145
2307552,0.0668349,-0.000634976,-110.881,1.14218,-0.0259372,-0.52347,-0.0440414,-0.61802,0.0602826,0.782609,0.00113814,0.0117325,-0.00116011
2327548,0.0896786,-0.00115372,-110.886,1.32468,-0.0292369,-0.390573,-0.0462111,-0.644156,0.0629524,0.760897,0.00119179,0.0123125,-0.0012236
2347548,0.116172,-0.00173846,-110.882,1.51191,-0.0299053,-0.243852,-0.0481058,-0.666339,0.0659393,0.741168,0.00122777,0.0126963,-0.00127054
2367548,0.14641,-0.00233656,-110.886,1.70139,-0.0298215,-0.0884183,-0.0496863,-0.68535,0.0682051,0.723308,0.00126683,0.0131279,-0.00132183
2387552,0.180438,-0.00293299,-110.882,1.89387,-0.0277575,0.0787823,-0.0510767,-0.70215,0.0703502,0.706702,0.00129635,0.0134431,-0.00135956
2407552,0.218315,-0.00348814,-110.884,2.08647,-0.0262305,0.251951,-0.0522254,-0.716311,0.071144,0.692178,0.00133456,0.0137697,-0.00138604
2427548,0.260045,-0.00401276,-110.883,2.28027,-0.0248209,0.433094,-0.0532776,-0.729558,0.0733611,0.677883,0.00135747,0.0140362,-0.00142197
2447552,0.30565,-0.00450917,-110.884,2.47409,-0.0220372,0.618644,-0.0541028,-0.739919,0.0744398,0.666372,0.0013825,0.0142809,-0.00144799
2467552,0.355132,-0.00494992,-110.882,2.66748,-0.0184236,0.810411,-0.05486,-0.749252,0.0750333,0.65573,0.00140419,0.0144773,-0.00146546
2487548,0.408482,-0.00531839,-110.885,2.86179,-0.0136763,1.00354,-0.0554114,-0.757259,0.0757002,0.646342,0.00142665,0.014669,-0.00148246
2507564,0.465717,-0.00559192,-110.885,3.05654,-0.00935898,1.201,-0.0560046,-0.764815,0.0751329,0.637398,0.00145224,0.0148342,-0.00148639
2527552,0.526848,-0.0057791,-110.881,3.24958,-0.00491019,1.40244,-0.0562287,-0.770661,0.0761137,0.630179,0.00146471,0.0149772,-0.00150342
2547552,0.59184,-0.0058773,-110.883,3.44334,-0.000970825,1.60084,-0.0562481,-0.77568,0.0784285,0.623704,0.00146557,0.0150945,-0.00153054
2567552,0.660707,-0.00589672,-110.882,3.63665,0.00327199,1.80126,-0.0565576,-0.780323,0.0781586,0.617891,0.00148709,0.0152073,-0.00153252
2587552,0.73344,-0.00583128,-110.882,3.83066,0.00946176,2.00166,-0.0567539,-0.784386,0.0780447,0.61272,0.00150228,0.0153018,-0.00153575
2607556,0.810053,-0.00564204,-110.882,4.02382,0.0164619,2.2026,-0.0568073,-0.788102,0.0786169,0.607855,0.00151243,0.0153944,-0.00154493
2627552,0.890529,-0.0053128,-110.885,4.2157,0.0232873,2.4024,-0.0567208,-0.790861,0.0799731,0.604091,0.00151287,0.0154619,-0.00155957
2647552,0.974843,-0.00484706,-110.884,4.40646,0.0298449,2.60403,-0.056874,-0.794031,0.0791919,0.600008,0.00153521,0.015539,-0.00155405
2667552,1.06297,-0.00425016,-110.883,4.59773,0.0372282,2.80439,-0.0568211,-0.796765,0.0799583,0.596275,0.00154061,0.0156066,-0.00156294
2687552,1.15493,-0.00350559,-110.883,4.78887,0.0450615,3.00355,-0.0566723,-0.798676,0.0804704,0.593657,0.00154541,0.015655,-0.00156837
2707552,1.2507,-0.00260436,-110.885,4.98046,0.0527761,3.19808,-0.0565631,-0.800564,0.0810111,0.591046,0.00154989,0.0157018,-0.0015738
2727552,1.35031,-0.00154884,-110.884,5.1714,0.0607617,3.39278,-0.0564218,-0.802529,0.0813446,0.588343,0.00155703,0.0157517,-0.00157746
2747552,1.45374,-0.000333609,-110.883,5.3618,0.068347,3.58488,-0.0562844,-0.803962,0.0815312,0.58637,0.0015635,0.0157872,-0.00157852
2767552,1.56098,0.00103333,-110.884,5.55305,0.0764378,3.77397,-0.0560727,-0.804834,0.0816178,0.585181,0.00156937,0.015809,-0.00157764
2787560,1.67204,0.00256209,-110.88,5.74306,0.0857994,3.96319,-0.0559573,-0.806176,0.0815531,0.583351,0.00157753,0.0158421,-0.0015766
2807556,1.7869,0.00427808,-110.885,5.93197,0.0958668,4.14477,-0.0557559,-0.807121,0.0815795,0.582059,0.00158434,0.0158656,-0.00157523
2827552,1.90554,0.00619541,-110.885,6.12127,0.104745,4.32624,-0.0554452,-0.807267,0.0820049,0.581825,0.00158463,0.01587,-0.00157587
2847552,2.02796,0.00829032,-110.882,6.3109,0.114617,4.50687,-0.0551443,-0.807746,0.0828507,0.581069,0.00158119,0.0158833,-0.00158169
