WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle,targetX,targetY
321058060,0,120,-3.00113,-5.05681e+06,-715004
321158060,0,120,-3.00113,-5.05681e+06,-715004
321258060,0,120,-3.00113,-5.05681e+06,-715004
321358060,0,120,-3.00113,-5.05681e+06,-715004
321458060,0,120,-3.00113,-5.05681e+06,-715004
321558064,0,120,-3.00113,-5.05681e+06,-715004
321658068,0,120,-3.00113,-5.05681e+06,-715004
321758064,0,120,-3.00113,-5.05681e+06,-715004
321858064,0,120,-3.00113,-5.05681e+06,-715004
321958064,0,120,-3.00113,-5.05681e+06,-715004
322058064,0,120,-3.00113,-5.05681e+06,-715004
322158064,0,120,-3.00113,-5.05681e+06,-715004
322258064,0,120,-3.00113,-5.05681e+06,-715004
322358064,0,120,-3.00113,-5.05681e+06,-715004
322458068,0,120,-3.00113,-5.05681e+06,-715004
322558068,0,120,-3.00113,-5.05681e+06,-715004
322658072,0,120,-3.00113,-5.05681e+06,-715004
322758072,0,120,-3.00113,-5.05681e+06,-715004
322858068,0,120,-3.00113,-5.05681e+06,-715004
322958068,0,120,-3.00113,-5.05681e+06,-715004
323058068,0,120,-3.00113,-5.05681e+06,-715004
323158072,0,120,-3.00113,-5.05681e+06,-715004
323258072,0,120,-3.00113,-5.05681e+06,-715004
323358072,0,120,-3.00113,-5.05681e+06,-715004
323458076,0,120,-3.00113,-5.05681e+06,-715004
323558072,0,120,-3.00113,-5.05681e+06,-715004
323658076,0,120,-3.00113,-5.05681e+06,-715004
323758080,0,120,-3.00113,-5.05681e+06,-715004
323858076,0,120,-3.00113,-5.05681e+06,-715004
323958076,0,120,-3.00113,-5.05681e+06,-715004
324058076,0,120,-3.00113,-5.05681e+06,-715004
324158076,0,120,-3.00113,-5.05681e+06,-715004
324258080,0,120,-3.00113,-5.05681e+06,-715004
324358076,0,120,-3.00113,-5.05681e+06,-715004
324458080,0,120,-3.00113,-5.05681e+06,-715004
324558084,0,120,-3.00113,-5.05681e+06,-715004
324658084,0,120,-3.00113,-5.05681e+06,-715004
324758080,0,120,-3.00113,-5.05681e+06,-715004
324858080,0,120,-3.00113,-5.05681e+06,-715004
324958080,0,120,-3.00113,-5.05681e+06,-715004
325058088,0,120,-3.00113,-5.05681e+06,-715004
325158084,0,120,-3.00113,-5.05681e+06,-715004
325258084,0,120,-3.00113,-5.05681e+06,-715004
325358084,0,120,-3.00113,-5.05681e+06,-715004
325458096,0,120,-3.00113,-5.05681e+06,-715004
325558084,0,120,-3.00113,-5.05681e+06,-715004
325658084,0,120,-3.00113,-5.05681e+06,-715004
325758100,0,120,-3.00113,-5.05681e+06,-715004
325858088,0,120,-3.00113,-5.05681e+06,-715004
325958092,0,120,-3.00113,-5.05681e+06,-715004
326058100,0,120,-3.00113,-5.05681e+06,-715004
326158088,0,120,-3.00113,-5.05681e+06,-715004
326258088,0,120,-3.00113,-5.05681e+06,-715004
326358088,0,120,-3.00113,-5.05681e+06,-715004
326458092,0,120,-3.00113,-5.05681e+06,-715004
326558092,0,120,-3.00113,-5.05681e+06,-715004
326658092,0,120,-3.00113,-5.05681e+06,-715004
326758092,0,120,-3.00113,-5.05681e+06,-715004
326858092,0,120,-3.00113,-5.05681e+06,-715004
326958096,0,120,-3.00113,-5.05681e+06,-715004
327058096,0,120,-3.00113,-5.05681e+06,-715004
327158096,0,120,-3.00113,-5.05681e+06,-715004
327258100,0,120,-3.00113,-5.05681e+06,-715004
327358096,0,120,-3.00113,-5.05681e+06,-715004
327458104,0,120,-3.00113,-5.05681e+06,-715004
327558096,0,120,-3.00113,-5.05681e+06,-715004
327658100,0,120,-3.00113,-5.05681e+06,-715004
327758096,0,120,-3.00113,-5.05681e+06,-715004
327858100,0,120,-3.00113,-5.05681e+06,-715004
327958100,0,120,-3.00113,-5.05681e+06,-715004
328058100,0,120,-3.00113,-5.05681e+06,-715004
328158104,0,120,-3.00113,-5.05681e+06,-715004
328258100,0,120,-3.00113,-5.05681e+06,-715004
328358100,0,120,-3.00113,-5.05681e+06,-715004
