temperatureTimestamp,temperature,pressureTimestamp,pressure,humid_timestamp,humidity
1036156,31.55,1036156,100397,1036164,0
1056188,31.55,1056188,100398,1056192,0
1076156,31.55,1076160,100398,1076164,0
1096160,31.56,1096160,100398,1096168,0
1116160,31.56,1116160,100398,1116164,0
1136160,31.56,1136160,100398,1136164,0
1156188,31.56,1156188,100398,1156192,0
1176160,31.57,1176160,100399,1176164,0
1196164,31.57,1196164,100399,1196168,0
1216160,31.57,1216160,100399,1216164,0
1236160,31.57,1236160,100399,1236164,0
1256188,31.57,1256188,100399,1256192,0
1276160,31.58,1276160,100399,1276164,0
1296160,31.58,1296160,100399,1296164,0
1316160,31.58,1316160,100399,1316164,0
1336328,31.58,1336328,100399,1336332,0
1356188,31.59,1356188,100399,1356196,0
1376160,31.59,1376160,100399,1376164,0
1396164,31.59,1396164,100400,1396168,0
1416160,31.59,1416160,100399,1416164,0
1436160,31.59,1436160,100399,1436164,0
1456188,31.6,1456188,100399,1456196,0
1476160,31.6,1476160,100399,1476164,0
1496164,31.6,1496164,100399,1496168,0
1516160,31.6,1516160,100399,1516164,0
1536164,31.61,1536164,100399,1536168,0
1556200,31.61,1556200,100399,1556204,0
1576160,31.61,1576160,100399,1576164,0
1596160,31.61,1596160,100398,1596164,0
1616160,31.61,1616160,100399,1616164,0
1636160,31.62,1636160,100399,1636168,0
1656192,31.62,1656192,100399,1656196,0
1676160,31.62,1676160,100399,1676168,0
1696160,31.62,1696160,100399,1696168,0
1716160,31.62,1716160,100399,1716168,0
1736164,31.62,1736164,100399,1736168,0
1756192,31.62,1756192,100398,1756196,0
1776164,31.62,1776164,100398,1776168,0
1796164,31.63,1796164,100398,1796168,0
1816164,31.63,1816164,100398,1816168,0
1836164,31.63,1836164,100399,1836168,0
1856192,31.63,1856192,100398,1856196,0
1876164,31.63,1876164,100398,1876168,0
1896164,31.63,1896164,100398,1896168,0
1916164,31.64,1916164,100399,1916168,0
1936164,31.64,1936164,100398,1936168,0
1956336,31.64,1956336,100398,1956340,0
1976164,31.64,1976164,100399,1976168,0
1996164,31.64,1996164,100399,1996168,0
2016164,31.64,2016164,100398,2016168,0
2036164,31.64,2036164,100399,2036168,0
2056196,31.64,2056196,100398,2056200,0
2076168,31.64,2076168,100399,2076172,0
2096172,31.64,2096172,100399,2096180,0
2116168,31.65,2116168,100399,2116172,0
2136172,31.65,2136172,100399,2136176,0
2156196,31.65,2156196,100399,2156200,0
2176164,31.65,2176164,100399,2176172,0
2196168,31.65,2196168,100399,2196172,0
