id,period,actMin,actMax,actMean,actStddev,actNSamples,periodMin,periodMax,periodMean,period_stddev,periodNSamples,workloadMin,workloadMax,workloadMean,workload_stddev,workloadNSample,missedEvents,failedEvents
0,1000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
100,100,0,0,0,0,7,100,100,100,0,6,0,0,0,0,7,0,0
200,62,0,0,0,0,11,62,62,62,0,10,0,0,0,0,11,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
100,100,0,0,0,0,17,100,100,100,0,16,0,0,0,0,17,0,0
200,62,0,0,0,0,27,62,62,62,0,26,0,0,0,0,27,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,2,1000,1000,1000,nan,1,0,0,0,0,2,0,0
100,100,0,0,0,0,27,100,100,100,0,26,0,0,0,0,27,0,0
200,62,0,0,0,0,43,62,62,62,0,42,0,0,0,0,43,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,3,1000,1000,1000,0,2,0,0,0,0,3,0,0
100,100,0,0,0,0,37,100,100,100,0,36,0,0,0,0,37,0,0
200,62,0,0,0,0,59,62,62,62,0,58,0,0,0,0,59,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,4,1000,1000,1000,0,3,0,0,0,0,4,0,0
100,100,0,0,0,0,47,100,100,100,0,46,0,0,0,0,47,0,0
200,62,0,0,0,0,76,62,62,62,0,75,0,0,0,0,76,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,5,1000,1000,1000,0,4,0,0,0,0,5,0,0
100,100,0,0,0,0,57,100,100,100,0,56,0,0,0,0,57,0,0
200,62,0,0,0,0,92,62,62,62,0,91,0,0,0,0,92,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,6,1000,1000,1000,0,5,0,0,0,0,6,0,0
100,100,0,0,0,0,67,100,100,100,0,66,0,0,0,0,67,0,0
200,62,0,0,0,0,108,62,62,62,0,107,0,0,0,0,108,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,7,1000,1000,1000,0,6,0,0,0,0,7,0,0
100,100,0,0,0,0,77,100,100,100,0,76,0,0,0,0,77,0,0
200,62,0,0,0,0,124,62,62,62,0,123,0,0,0,0,124,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,8,1000,1000,1000,0,7,0,0,0,0,8,0,0
100,100,0,0,0,0,87,100,100,100,0,86,0,0,0,0,87,0,0
200,62,0,0,0,0,140,62,62,62,0,139,0,0,0,0,140,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,9,1000,1000,1000,0,8,0,0,0,0,9,0,0
100,100,0,0,0,0,97,100,100,100,0,96,0,0,0,0,97,0,0
200,62,0,0,0,0,156,62,62,62,0,155,0,0,0,0,156,1,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,10,1000,1000,1000,0,9,0,0,0,0,10,0,0
100,100,0,0,0,0,107,100,100,100,0,106,0,0,0,0,107,0,0
200,62,0,0,0,0,172,62,62,62,0,171,0,0,0,0,172,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,11,1000,1000,1000,0,10,0,0,0,0,11,0,0
100,100,0,0,0,0,117,100,100,100,0,116,0,0,0,0,117,0,0
200,62,0,0,0,0,188,62,62,62,0,187,0,0,0,0,188,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,12,1000,1000,1000,0,11,0,0,0,0,12,0,0
100,100,0,0,0,0,127,100,100,100,0,126,0,0,0,0,127,0,0
200,62,0,0,0,0,205,62,62,62,0,204,0,0,0,0,205,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,13,1000,1000,1000,0,12,0,0,0,0,13,0,0
100,100,0,0,0,0,137,100,100,100,0,136,0,0,0,0,137,0,0
200,62,0,0,0,0,221,62,62,62,0,220,0,0,0,0,221,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,14,1000,1000,1000,0,13,0,0,0,0,14,0,0
100,100,0,0,0,0,147,100,100,100,0,146,0,0,0,0,147,0,0
200,62,0,0,0,0,237,62,62,62,0,236,0,0,0,0,237,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,15,1000,1000,1000,0,14,0,0,0,0,15,0,0
100,100,0,0,0,0,157,100,100,100,0,156,0,0,0,0,157,0,0
200,62,0,0,0,0,253,62,62,62,0,252,0,0,0,0,253,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,16,1000,1000,1000,0,15,0,0,0,0,16,0,0
100,100,0,0,0,0,167,100,100,100,0,166,0,0,0,0,167,0,0
200,62,0,0,0,0,269,62,62,62,0,268,0,0,0,0,269,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,17,1000,1000,1000,0,16,0,0,0,0,17,0,0
100,100,0,0,0,0,177,100,100,100,0,176,0,0,0,0,177,0,0
200,62,0,0,0,0,285,62,62,62,0,284,0,0,0,0,285,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,18,1000,1000,1000,0,17,0,0,0,0,18,0,0
100,100,0,0,0,0,187,100,100,100,0,186,0,0,0,0,187,0,0
200,62,0,0,0,0,301,62,62,62,0,300,0,0,0,0,301,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,19,1000,1000,1000,0,18,0,0,0,0,19,0,0
100,100,0,0,0,0,197,100,100,100,0,196,0,0,0,0,197,0,0
200,62,0,0,0,0,317,62,62,62,0,316,0,0,0,0,317,1,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,20,1000,1000,1000,0,19,0,0,0,0,20,0,0
100,100,0,0,0,0,207,100,100,100,0,206,0,0,0,0,207,0,0
200,62,0,0,0,0,334,62,62,62,0,333,0,0,0,0,334,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,21,1000,1000,1000,0,20,0,0,0,0,21,0,0
100,100,0,0,0,0,217,100,100,100,0,216,0,0,0,0,217,0,0
200,62,0,0,0,0,350,62,62,62,0,349,0,0,0,0,350,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,22,1000,1000,1000,0,21,0,0,0,0,22,0,0
100,100,0,0,0,0,227,100,100,100,0,226,0,0,0,0,227,0,0
200,62,0,0,0,0,366,62,62,62,0,365,0,0,0,0,366,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,23,1000,1000,1000,0,22,0,0,0,0,23,0,0
100,100,0,0,0,0,237,100,100,100,0,236,0,0,0,0,237,0,0
200,62,0,0,0,0,382,62,62,62,0,381,0,0,0,0,382,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,24,1000,1000,1000,0,23,0,0,0,0,24,0,0
100,100,0,0,0,0,247,100,100,100,0,246,0,0,0,0,247,0,0
200,62,0,0,0,0,398,62,62,62,0,397,0,0,0,0,398,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,25,1000,1000,1000,0,24,0,0,0,0,25,0,0
100,100,0,0,0,0,257,100,100,100,0,256,0,0,0,0,257,0,0
200,62,0,0,0,0,414,62,62,62,0,413,0,0,0,0,414,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,26,1000,1000,1000,0,25,0,0,0,0,26,0,0
100,100,0,0,0,0,267,100,100,100,0,266,0,0,0,0,267,0,0
200,62,0,0,0,0,430,62,62,62,0,429,0,0,0,0,430,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,27,1000,1000,1000,0,26,0,0,0,0,27,0,0
100,100,0,0,0,0,277,100,100,100,0,276,0,0,0,0,277,0,0
200,62,0,0,0,0,447,62,62,62,0,446,0,0,0,0,447,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,28,1000,1000,1000,0,27,0,0,0,0,28,0,0
100,100,0,0,0,0,287,100,100,100,0,286,0,0,0,0,287,0,0
200,62,0,0,0,0,463,62,62,62,0,462,0,0,0,0,463,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,29,1000,1000,1000,0,28,0,0,0,0,29,0,0
100,100,0,0,0,0,297,100,100,100,0,296,0,0,0,0,297,0,0
200,62,0,0,0,0,479,62,62,62,0,478,0,0,0,0,479,1,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,30,1000,1000,1000,0,29,0,0,0,0,30,0,0
100,100,0,0,0,0,307,100,100,100,0,306,0,0,0,0,307,0,0
200,62,0,0,0,0,495,62,62,62,0,494,0,0,0,0,495,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,31,1000,1000,1000,0,30,0,0,0,0,31,0,0
100,100,0,0,0,0,317,100,100,100,0,316,0,0,0,0,317,0,0
200,62,0,0,0,0,511,62,62,62,0,510,0,0,0,0,511,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,32,1000,1000,1000,0,31,0,0,0,0,32,0,0
100,100,0,0,0,0,327,100,100,100,0,326,0,0,0,0,327,0,0
200,62,0,0,0,0,527,62,62,62,0,526,0,0,0,0,527,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,33,1000,1000,1000,0,32,0,0,0,0,33,0,0
100,100,0,0,0,0,337,100,100,100,0,336,0,0,0,0,337,0,0
200,62,0,0,0,0,543,62,62,62,0,542,0,0,0,0,543,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,34,1000,1000,1000,0,33,0,0,0,0,34,0,0
100,100,0,0,0,0,347,100,100,100,0,346,0,0,0,0,347,0,0
200,62,0,0,0,0,559,62,62,62,0,558,0,0,0,0,559,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,35,1000,1000,1000,0,34,0,0,0,0,35,0,0
100,100,0,0,0,0,357,100,100,100,0,356,0,0,0,0,357,0,0
200,62,0,0,0,0,576,62,62,62,0,575,0,0,0,0,576,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,36,1000,1000,1000,0,35,0,0,0,0,36,0,0
100,100,0,0,0,0,367,100,100,100,0,366,0,0,0,0,367,0,0
200,62,0,0,0,0,592,62,62,62,0,591,0,0,0,0,592,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,37,1000,1000,1000,0,36,0,0,0,0,37,0,0
100,100,0,0,0,0,377,100,100,100,0,376,0,0,0,0,377,0,0
200,62,0,0,0,0,608,62,62,62,0,607,0,0,0,0,608,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,38,1000,1000,1000,0,37,0,0,0,0,38,0,0
100,100,0,0,0,0,387,100,100,100,0,386,0,0,0,0,387,0,0
200,62,0,0,0,0,624,62,62,62,0,623,0,0,0,0,624,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,39,1000,1000,1000,0,38,0,0,0,0,39,0,0
100,100,0,0,0,0,397,100,100,100,0,396,0,0,0,0,397,0,0
200,62,0,0,0,0,640,62,62,62,0,639,0,0,0,0,640,1,0
202,10000,0,0,0,0,3,10000,10000,10000,0,2,0,0,0,0,3,0,0
0,1000,0,0,0,0,40,1000,1000,1000,0,39,0,0,0,0,40,0,0
100,100,0,0,0,0,407,100,100,100,0,406,0,0,0,0,407,0,0
200,62,0,0,0,0,656,62,62,62,0,655,0,0,0,0,656,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,41,1000,1000,1000,0,40,0,0,0,0,41,0,0
100,100,0,0,0,0,417,100,100,100,0,416,0,0,0,0,417,0,0
200,62,0,0,0,0,672,62,62,62,0,671,0,0,0,0,672,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,42,1000,1000,1000,0,41,0,0,0,0,42,0,0
100,100,0,0,0,0,427,100,100,100,0,426,0,0,0,0,427,0,0
200,62,0,0,0,0,688,62,62,62,0,687,0,0,0,0,688,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,43,1000,1000,1000,0,42,0,0,0,0,43,0,0
100,100,0,0,0,0,437,100,100,100,0,436,0,0,0,0,437,0,0
200,62,0,0,0,0,705,62,62,62,0,704,0,0,0,0,705,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,44,1000,1000,1000,0,43,0,0,0,0,44,0,0
100,100,0,0,0,0,447,100,100,100,0,446,0,0,0,0,447,0,0
200,62,0,0,0,0,721,62,62,62,0,720,0,0,0,0,721,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,45,1000,1000,1000,0,44,0,0,0,0,45,0,0
100,100,0,0,0,0,457,100,100,100,0,456,0,0,0,0,457,0,0
200,62,0,0,0,0,737,62,62,62,0,736,0,0,0,0,737,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,46,1000,1000,1000,0,45,0,0,0,0,46,0,0
100,100,0,0,0,0,467,100,100,100,0,466,0,0,0,0,467,0,0
200,62,0,0,0,0,753,62,62,62,0,752,0,0,0,0,753,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,47,1000,1000,1000,0,46,0,0,0,0,47,0,0
100,100,0,0,0,0,477,100,100,100,0,476,0,0,0,0,477,0,0
200,62,0,0,0,0,769,62,62,62,0,768,0,0,0,0,769,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,48,1000,1000,1000,0,47,0,0,0,0,48,0,0
100,100,0,0,0,0,487,100,100,100,0,486,0,0,0,0,487,0,0
200,62,0,0,0,0,785,62,62,62,0,784,0,0,0,0,785,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,49,1000,1000,1000,0,48,0,0,0,0,49,0,0
100,100,0,0,0,0,497,100,100,100,0,496,0,0,0,0,497,0,0
200,62,0,0,0,0,801,62,62,62,0,800,0,0,0,0,801,1,0
202,10000,0,0,0,0,4,10000,10000,10000,0,3,0,0,0,0,4,0,0
0,1000,0,0,0,0,50,1000,1000,1000,0,49,0,0,0,0,50,0,0
100,100,0,0,0,0,507,100,100,100,0,506,0,0,0,0,507,0,0
200,62,0,0,0,0,817,62,62,62,0,816,0,0,0,0,817,1,0
202,10000,0,0,0,0,5,10000,10000,10000,0,4,0,0,0,0,5,0,0
0,1000,0,0,0,0,51,1000,1000,1000,0,50,0,0,0,0,51,0,0
100,100,0,0,0,0,517,100,100,100,0,516,0,0,0,0,517,0,0
200,62,0,0,0,0,834,62,62,62,0,833,0,0,0,0,834,1,0
202,10000,0,0,0,0,5,10000,10000,10000,0,4,0,0,0,0,5,0,0
0,1000,0,0,0,0,52,1000,1000,1000,0,51,0,0,0,0,52,0,0
