gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix
7582556,45.5044,9.16083,-983.157,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
7682612,45.5044,9.16083,-982.781,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
7785044,45.5044,9.16082,-982.406,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
7881024,45.5044,9.16082,-982.031,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
7984776,45.5044,9.16082,-981.655,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8082564,45.5044,9.16082,-981.28,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8185692,45.5044,9.16082,-980.905,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8283024,45.5044,9.16082,-980.529,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8385688,45.5044,9.16081,-980.154,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8482556,45.5044,9.16081,-979.779,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8587060,45.5044,9.16081,-979.403,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8679484,45.5044,9.16081,-979.028,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8785040,45.5044,9.1608,-978.652,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8882536,45.5044,9.1608,-978.277,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
8984296,45.5044,9.1608,-977.902,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9088284,45.5044,9.1608,-977.526,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9184528,45.5044,9.1608,-977.151,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
9283576,45.5044,9.1608,-976.776,-1.756,-1.525,-3.754,2.326,223.376,99.99,0,0
