timestamp,threadId,minimumStack
3360,1,14828
3325,3,15748
3373,4,16204
2421,5,16220
2482,6,15676
2978,7,16180
2121,8,16180
3374,10,1436
3152,16,15340
4336,1,14828
4311,3,15748
4373,4,16204
3397,5,16220
3467,6,15676
4367,7,16180
4121,8,16180
4374,10,1436
4152,16,15340
5370,1,14828
5309,3,15748
5373,4,16204
5359,5,16220
4448,6,15636
5046,7,16180
4121,8,16180
5374,10,1436
5152,16,15340
6318,1,14828
6311,3,15748
6373,4,16204
6335,5,16220
5434,6,15636
6108,7,16180
6121,8,16180
6374,10,1436
6152,16,15324
7370,1,14828
7302,3,15748
7373,4,16204
7313,5,16220
6409,6,15636
7196,7,16180
6121,8,16180
7374,10,1436
7152,16,15324
8361,1,14828
8306,3,15748
8373,4,16204
8289,5,16220
8361,6,15636
8196,7,16180
8121,8,16180
8374,10,1436
8152,16,15324
9356,1,14828
9305,3,15748
9373,4,16204
9265,5,16220
9338,6,15636
9264,7,16180
8121,8,16180
9374,10,1436
9152,16,15300
10332,1,14828
10308,3,15748
10373,4,16204
10243,5,16220
10352,6,15588
10332,7,16180
10121,8,16180
10374,10,1436
10152,16,15300
11370,1,14828
11306,3,15748
11373,4,16204
11221,5,16220
11300,6,15588
11325,7,16180
10121,8,16180
11374,10,1436
11152,16,15300
12328,1,14828
12311,3,15748
12373,4,16204
12197,5,16220
12278,6,15588
12092,7,16180
12121,8,16180
12374,10,1436
12152,16,15300
13372,1,14828
13310,3,15748
13373,4,16204
13174,5,16220
13255,6,15588
13174,7,16180
12121,8,16180
13374,10,1436
13152,16,15300
14362,1,14828
14314,3,15748
14373,4,16204
14153,5,16220
14237,6,15588
14273,7,16180
14121,8,16180
14374,10,1436
14152,16,15300
15372,1,14828
15311,3,15748
15373,4,16204
15135,5,16220
15214,6,15588
15320,7,16180
14121,8,16180
15374,10,1436
15152,16,15300
16358,1,14828
16309,3,15748
16373,4,16204
16113,5,16220
16194,6,15588
16358,7,16180
16121,8,16180
16374,10,1436
16152,16,15300
17369,1,14828
17307,3,15748
17373,4,16204
17089,5,16220
17174,6,15588
17077,7,16180
16121,8,16180
17374,10,1436
17152,16,15300
18359,1,14796
18314,3,15748
18373,4,16204
18065,5,16220
18144,6,15588
18171,7,16180
18121,8,16180
18374,10,1436
18152,16,15300
19334,1,14796
19310,3,15748
19373,4,16204
19043,5,16220
19125,6,15588
19216,7,16180
18121,8,16180
19374,10,1436
19152,16,15300
20372,1,14796
20310,3,15748
20373,4,16204
20021,5,16220
20105,6,15588
20251,7,16180
20121,8,16180
20374,10,1436
20152,16,15300
21316,1,14796
21307,3,15748
21373,4,16204
20997,5,16220
21086,6,15588
21337,7,16180
20121,8,16180
21374,10,1436
21152,16,15300
22360,1,14796
22307,3,15748
22373,4,16204
21974,5,16220
