timestamp,cpu_usage,cpu_usage_min,cpu_usage_max,cpu_usage_mean,free_heap,min_free_heap
3374,28.0571,28.0571,28.0571,28.0571,5.2801e+06,5.27462e+06
4374,33.4921,28.0571,33.4921,30.7746,5.2801e+06,5.27462e+06
5374,37.7093,28.0571,37.7093,33.0862,5.28011e+06,5.27462e+06
6374,40.9239,28.0571,40.9239,35.0456,5.28011e+06,5.27462e+06
7374,42.7981,28.0571,42.7981,36.5961,5.28011e+06,5.27462e+06
8374,44.4446,28.0571,44.4446,37.9042,5.2801e+06,5.27462e+06
9374,46.1058,28.0571,46.1058,39.0759,5.2801e+06,5.27462e+06
10374,47.4949,28.0571,47.4949,40.1283,5.2801e+06,5.27462e+06
11374,48.2447,28.0571,48.2447,41.0301,5.2801e+06,5.27462e+06
12374,49.3879,28.0571,49.3879,41.8659,5.2801e+06,5.27462e+06
13374,49.9751,28.0571,49.9751,42.6031,5.2801e+06,5.27462e+06
14374,50.8321,28.0571,50.8321,43.2888,5.2801e+06,5.27462e+06
15374,51.4063,28.0571,51.4063,43.9132,5.2801e+06,5.27462e+06
16374,51.8649,28.0571,51.8649,44.4812,5.2801e+06,5.27462e+06
17374,52.3669,28.0571,52.3669,45.0069,5.2801e+06,5.27462e+06
18374,52.7548,28.0571,52.7548,45.4912,5.2801e+06,5.27462e+06
19374,53.1093,28.0571,53.1093,45.9393,5.2801e+06,5.27462e+06
20374,53.391,28.0571,53.391,46.3533,5.2801e+06,5.27462e+06
21374,53.7675,28.0571,53.7675,46.7435,5.2801e+06,5.27462e+06
22374,54.0879,28.0571,54.0879,47.1107,5.2801e+06,5.27462e+06
23374,54.3429,28.0571,54.3429,47.4551,5.2801e+06,5.27462e+06
24374,54.5316,28.0571,54.5316,47.7768,5.2801e+06,5.27462e+06
25374,54.7345,28.0571,54.7345,48.0793,5.2801e+06,5.27462e+06
26374,54.9803,28.0571,54.9803,48.3668,5.2801e+06,5.27462e+06
27374,55.2389,28.0571,55.2389,48.6417,5.2801e+06,5.27462e+06
28374,55.3927,28.0571,55.3927,48.9014,5.2801e+06,5.27462e+06
29374,55.462,28.0571,55.462,49.1443,5.2801e+06,5.27462e+06
30374,55.6579,28.0571,55.6579,49.377,5.2801e+06,5.27462e+06
31374,55.866,28.0571,55.866,49.6007,5.2801e+06,5.27462e+06
32374,56.033,28.0571,56.033,49.8151,5.2801e+06,5.27462e+06
33374,56.116,28.0571,56.116,50.0184,5.2801e+06,5.27462e+06
34374,56.2145,28.0571,56.2145,50.212,5.2801e+06,5.27462e+06
35374,56.2784,28.0571,56.2784,50.3958,5.2801e+06,5.27462e+06
36374,56.4958,28.0571,56.4958,50.5753,5.2801e+06,5.27462e+06
37374,56.5611,28.0571,56.5611,50.7463,5.2801e+06,5.27462e+06
38374,56.6384,28.0571,56.6384,50.91,5.2801e+06,5.27462e+06
39374,56.7521,28.0571,56.7521,51.0678,5.2801e+06,5.27462e+06
40374,56.8591,28.0571,56.8591,51.2202,5.2801e+06,5.27462e+06
41374,56.9125,28.0571,56.9125,51.3662,5.2801e+06,5.27462e+06
42374,57.0123,28.0571,57.0123,51.5074,5.2801e+06,5.27462e+06
43374,57.1048,28.0571,57.1048,51.6439,5.2801e+06,5.27462e+06
44374,57.1327,28.0571,57.1327,51.7746,5.2801e+06,5.27462e+06
45374,57.2124,28.0571,57.2124,51.901,5.2801e+06,5.27462e+06
46374,57.2848,28.0571,57.2848,52.0234,5.2801e+06,5.27462e+06
47374,57.3673,28.0571,57.3673,52.1421,5.2801e+06,5.27462e+06
48374,57.3685,28.0571,57.3685,52.2558,5.28011e+06,5.27462e+06
49374,57.5168,28.0571,57.5168,52.3677,5.28011e+06,5.27462e+06
50374,57.5424,28.0571,57.5424,52.4755,5.28011e+06,5.27462e+06
51374,57.5903,28.0571,57.5903,52.5799,5.28011e+06,5.27462e+06
52374,57.6686,28.0571,57.6686,52.6817,5.2801e+06,5.27462e+06
53374,57.6871,28.0571,57.6871,52.7798,5.2801e+06,5.27462e+06
54374,57.7479,28.0571,57.7479,52.8753,5.2801e+06,5.27462e+06
55374,57.8001,28.0571,57.8001,52.9683,5.2801e+06,5.27462e+06
56374,57.8434,28.0571,57.8434,53.0585,5.2801e+06,5.27462e+06
57374,57.8602,28.0571,57.8602,53.1458,5.2801e+06,5.27462e+06
58374,57.9242,28.0571,57.9242,53.2312,5.2801e+06,5.27462e+06
59374,57.9722,28.0571,57.9722,53.3144,5.2801e+06,5.27462e+06
60374,58.0267,28.0571,58.0267,53.3956,5.2801e+06,5.27462e+06
61374,57.9956,28.0571,58.0267,53.4736,5.2801e+06,5.27462e+06
62374,58.0081,28.0571,58.0267,53.5491,5.2801e+06,5.27462e+06
63374,58.0426,28.0571,58.0426,53.6228,5.2801e+06,5.27462e+06
64374,58.0564,28.0571,58.0564,53.6943,5.2801e+06,5.27462e+06
65374,58.1285,28.0571,58.1285,53.7647,5.2801e+06,5.27462e+06
66374,58.1377,28.0571,58.1377,53.833,5.2801e+06,5.27462e+06
67374,58.1565,28.0571,58.1565,53.8995,5.2801e+06,5.27462e+06
68374,58.1901,28.0571,58.1901,53.9646,5.2801e+06,5.27462e+06
69374,58.2568,28.0571,58.2568,54.0286,5.2801e+06,5.27462e+06
70374,58.2648,28.0571,58.2648,54.0909,5.2801e+06,5.27462e+06
71374,58.2804,28.0571,58.2804,54.1516,5.2801e+06,5.27462e+06
72374,58.3278,28.0571,58.3278,54.2113,5.2801e+06,5.27462e+06
73374,58.299,28.0571,58.3278,54.2689,5.2801e+06,5.27462e+06
74374,58.3553,28.0571,58.3553,54.3256,5.2801e+06,5.27462e+06
75374,58.3841,28.0571,58.3841,54.3812,5.2801e+06,5.27462e+06
76374,58.4251,28.0571,58.4251,54.4359,5.2801e+06,5.27462e+06
77374,58.4006,28.0571,58.4251,54.4887,5.2801e+06,5.27462e+06
78374,58.4775,28.0571,58.4775,54.5412,5.2801e+06,5.27462e+06
79374,58.4745,28.0571,58.4775,54.5923,5.2801e+06,5.27462e+06
80374,58.5057,28.0571,58.5057,54.6425,5.2801e+06,5.27462e+06
81374,58.4802,28.0571,58.5057,54.691,5.2801e+06,5.27462e+06
82374,58.518,28.0571,58.518,54.7389,5.2801e+06,5.27462e+06
83374,58.5545,28.0571,58.5545,54.786,5.2801e+06,5.27462e+06
84374,58.5788,28.0571,58.5788,54.8322,5.2801e+06,5.27462e+06
85374,58.6011,28.0571,58.6011,54.8776,5.2801e+06,5.27462e+06
86374,58.6036,28.0571,58.6036,54.922,5.2801e+06,5.27462e+06
87374,58.6323,28.0571,58.6323,54.9657,5.2801e+06,5.27462e+06
88374,58.6552,28.0571,58.6552,55.0086,5.2801e+06,5.27462e+06
89374,58.6837,28.0571,58.6837,55.0508,5.2801e+06,5.27462e+06
90374,58.668,28.0571,58.6837,55.0919,5.2801e+06,5.27462e+06
91374,58.7042,28.0571,58.7042,55.1325,5.28011e+06,5.27462e+06
92374,58.7299,28.0571,58.7299,55.1725,5.28011e+06,5.27462e+06
93374,58.7668,28.0571,58.7668,55.212,5.28011e+06,5.27462e+06
94374,58.7729,28.0571,58.7729,55.2507,5.28011e+06,5.27462e+06
95374,58.7724,28.0571,58.7729,55.2885,5.2801e+06,5.27462e+06
96374,58.7905,28.0571,58.7905,55.3258,5.2801e+06,5.27462e+06
97374,58.8245,28.0571,58.8245,55.3626,5.2801e+06,5.27462e+06
98374,58.8304,28.0571,58.8304,55.3987,5.2801e+06,5.27462e+06
99374,58.8295,28.0571,58.8304,55.4341,5.2801e+06,5.27462e+06
100374,58.8484,28.0571,58.8484,55.4689,5.2801e+06,5.27462e+06
101374,58.8753,28.0571,58.8753,55.5034,5.2801e+06,5.27462e+06
102374,58.8989,28.0571,58.8989,55.5373,5.2801e+06,5.27462e+06
103374,58.8953,28.0571,58.8989,55.5706,5.2801e+06,5.27462e+06
104374,58.9025,28.0571,58.9025,55.6032,5.2801e+06,5.27462e+06
105374,58.9218,28.0571,58.9218,55.6354,5.2801e+06,5.27462e+06
106374,58.9467,28.0571,58.9467,55.6673,5.2801e+06,5.27462e+06
107374,58.9448,28.0571,58.9467,55.6985,5.2801e+06,5.27462e+06
108374,58.9507,28.0571,58.9507,55.7292,5.2801e+06,5.27462e+06
109374,58.9747,28.0571,58.9747,55.7595,5.2801e+06,5.27462e+06
110374,59.0034,28.0571,59.0034,55.7895,5.2801e+06,5.27462e+06
111374,58.9978,28.0571,59.0034,55.819,5.2801e+06,5.27462e+06
112374,59.0167,28.0571,59.0167,55.8481,5.2801e+06,5.27462e+06
113374,59.0378,28.0571,59.0378,55.8768,5.2801e+06,5.27462e+06
114374,59.0509,28.0571,59.0509,55.9051,5.2801e+06,5.27462e+06
115374,59.0692,28.0571,59.0692,55.9331,5.2801e+06,5.27462e+06
116374,59.0606,28.0571,59.0692,55.9606,5.2801e+06,5.27462e+06
117374,59.0829,28.0571,59.0829,55.9877,5.2801e+06,5.27462e+06
118374,59.0959,28.0571,59.0959,56.0145,5.2801e+06,5.27462e+06
119374,59.1123,28.0571,59.1123,56.041,5.2801e+06,5.27462e+06
120374,59.0867,28.0571,59.1123,56.0668,5.2801e+06,5.27462e+06
121374,59.1163,28.0571,59.1163,56.0924,5.2801e+06,5.27462e+06
122374,59.136,28.0571,59.136,56.1178,5.2801e+06,5.27462e+06
123374,59.1397,28.0571,59.1397,56.1428,5.2801e+06,5.27462e+06
124374,59.1592,28.0571,59.1592,56.1675,5.2801e+06,5.27462e+06
125374,59.1818,28.0571,59.1818,56.192,5.2801e+06,5.27462e+06
126374,59.1756,28.0571,59.1818,56.2161,5.2801e+06,5.27462e+06
127374,59.1789,28.0571,59.1818,56.2398,5.2801e+06,5.27462e+06
128374,59.1964,28.0571,59.1964,56.2632,5.2801e+06,5.27462e+06
129374,59.2167,28.0571,59.2167,56.2865,5.2801e+06,5.27462e+06
130374,59.2174,28.0571,59.2174,56.3094,5.2801e+06,5.27462e+06
131374,59.2129,28.0571,59.2174,56.3319,5.2801e+06,5.27462e+06
132374,59.2335,28.0571,59.2335,56.3542,5.2801e+06,5.27462e+06
133374,59.2179,28.0571,59.2335,56.3761,5.2801e+06,5.27462e+06
134374,59.2566,28.0571,59.2566,56.3979,5.28011e+06,5.27462e+06
135374,59.2528,28.0571,59.2566,56.4194,5.28011e+06,5.27462e+06
136374,59.2532,28.0571,59.2566,56.4405,5.28011e+06,5.27462e+06
137374,59.2474,28.0571,59.2566,56.4613,5.28011e+06,5.27462e+06
138374,59.2864,28.0571,59.2864,56.4821,5.2801e+06,5.27462e+06
139374,59.2824,28.0571,59.2864,56.5025,5.2801e+06,5.27462e+06
140374,59.2819,28.0571,59.2864,56.5226,5.2801e+06,5.27462e+06
141374,59.2971,28.0571,59.2971,56.5426,5.2801e+06,5.27462e+06
142374,59.3087,28.0571,59.3087,56.5624,5.2801e+06,5.27462e+06
143374,59.3133,28.0571,59.3133,56.5819,5.2801e+06,5.27462e+06
144374,59.3228,28.0571,59.3228,56.6012,5.2801e+06,5.27462e+06
145374,59.3333,28.0571,59.3333,56.6203,5.2801e+06,5.27462e+06
146374,59.3307,28.0571,59.3333,56.6391,5.2801e+06,5.27462e+06
147374,59.3592,28.0571,59.3592,56.6579,5.2801e+06,5.27462e+06
148374,59.3532,28.0571,59.3592,56.6763,5.2801e+06,5.27462e+06
149374,59.3632,28.0571,59.3632,56.6946,5.2801e+06,5.27462e+06
150374,59.3491,28.0571,59.3632,56.7125,5.2801e+06,5.27462e+06
151374,59.3829,28.0571,59.3829,56.7305,5.2801e+06,5.27462e+06
152374,59.3821,28.0571,59.3829,56.7481,5.2801e+06,5.27462e+06
153374,59.3898,28.0571,59.3898,56.7656,5.2801e+06,5.27462e+06
154374,59.3991,28.0571,59.3991,56.783,5.2801e+06,5.27462e+06
155374,59.3945,28.0571,59.3991,56.8,5.2801e+06,5.27462e+06
156374,59.368,28.0571,59.3991,56.8167,5.2801e+06,5.27462e+06
157374,59.3737,28.0571,59.3991,56.8332,5.2801e+06,5.27462e+06
158374,59.3906,28.0571,59.3991,56.8496,5.2801e+06,5.27462e+06
159374,59.391,28.0571,59.3991,56.8658,5.2801e+06,5.27462e+06
160374,59.3879,28.0571,59.3991,56.8817,5.2801e+06,5.27462e+06
161374,59.3968,28.0571,59.3991,56.8976,5.2801e+06,5.27462e+06
162374,59.4065,28.0571,59.4065,56.9132,5.2801e+06,5.27462e+06
163374,59.4233,28.0571,59.4233,56.9288,5.2801e+06,5.27462e+06
164374,59.4192,28.0571,59.4233,56.9442,5.2801e+06,5.27462e+06
165374,59.4185,28.0571,59.4233,56.9594,5.2801e+06,5.27462e+06
166374,59.4174,28.0571,59.4233,56.9744,5.2801e+06,5.27462e+06
167374,59.4447,28.0571,59.4447,56.9893,5.2801e+06,5.27462e+06
168374,59.4407,28.0571,59.4447,57.0041,5.2801e+06,5.27462e+06
169374,59.4403,28.0571,59.4447,57.0187,5.2801e+06,5.27462e+06
170374,59.451,28.0571,59.451,57.0332,5.2801e+06,5.27462e+06
171374,59.4651,28.0571,59.4651,57.0476,5.2801e+06,5.27462e+06
172374,59.4619,28.0571,59.4651,57.0618,5.2801e+06,5.27462e+06
173374,59.4682,28.0571,59.4682,57.0758,5.2801e+06,5.27462e+06
174374,59.4763,28.0571,59.4763,57.0898,5.2801e+06,5.27462e+06
175374,59.4673,28.0571,59.4763,57.1035,5.2801e+06,5.27462e+06
176374,59.4812,28.0571,59.4812,57.1172,5.2801e+06,5.27462e+06
177374,59.487,28.0571,59.487,57.1307,5.28011e+06,5.27462e+06
178374,59.4955,28.0571,59.4955,57.1442,5.28011e+06,5.27462e+06
179374,59.4707,28.0571,59.4955,57.1573,5.28011e+06,5.27462e+06
180374,59.4664,28.0571,59.4955,57.1703,5.28011e+06,5.27462e+06
181374,59.4708,28.0571,59.4955,57.1831,5.2801e+06,5.27462e+06
182374,59.4792,28.0571,59.4955,57.1959,5.2801e+06,5.27462e+06
183374,59.4932,28.0571,59.4955,57.2086,5.2801e+06,5.27462e+06
184374,59.4866,28.0571,59.4955,57.2211,5.2801e+06,5.27462e+06
185374,59.4864,28.0571,59.4955,57.2335,5.2801e+06,5.27462e+06
186374,59.4958,28.0571,59.4958,57.2458,5.2801e+06,5.27462e+06
187374,59.5094,28.0571,59.5094,57.258,5.2801e+06,5.27462e+06
