timestamp,n,e,d,vn,ve,vd,qx,qy,qz,qw,bx,by,bz
2273292,0,0,-109.967,0,0,0,0.102389,-0.709976,5.55454e-05,0.696743,-0.000244551,0.0017661,-0.00012741
2293300,0,0,-110.418,0,0,0,0.105548,-0.745038,0.00234201,0.658614,-0.000270584,0.00195121,-0.000141662
2313332,0,0,-110.573,0,0,0,0.109992,-0.778628,0.00568989,0.617744,-0.000483058,0.00351614,-0.000251366
2333300,0,0,-110.65,0,0,0,0.114433,-0.809757,0.010242,0.575408,-0.000529609,0.00384674,-0.000276859
2353304,0,0,-110.697,0,0,0,0.118052,-0.837623,0.0143387,0.533147,-0.000706049,0.00518607,-0.000383612
2373300,0,0,-110.728,0,0,0,0.120681,-0.861986,0.0172669,0.492054,-0.000761452,0.00560671,-0.000413435
2393308,0,0,-110.75,0,0,0,0.123206,-0.883005,0.0219463,0.452372,-0.000915129,0.00672172,-0.000517772
2413300,0,0,-110.767,0,0,0,0.125362,-0.901033,0.0266203,0.414386,-0.000972941,0.00717582,-0.000552413
2433300,0,0,-110.779,0,0,0,0.126909,-0.916227,0.032702,0.378621,-0.00107216,0.00806526,-0.000649979
2453300,0,0,-110.79,0,0,0,0.127016,-0.929321,0.0388135,0.344563,-0.0011296,0.00850414,-0.000691559
2473300,0,0,-110.798,0,0,0,0.125761,-0.940165,0.0443875,0.313535,-0.00118426,0.00919666,-0.000784901
2493300,0,0,-110.805,0,0,0,0.123896,-0.949461,0.0506208,0.283921,-0.00122421,0.00958889,-0.000823898
2513308,0,0,-110.811,0,0,0,0.121813,-0.957318,0.0591798,0.255346,-0.00123014,0.0101397,-0.000921507
2533300,0,0,-110.817,0,0,0,0.11934,-0.963555,0.0691111,0.229224,-0.00124037,0.0104739,-0.000958085
2553304,0,0,-110.821,0,0,0,0.116249,-0.96861,0.0775936,0.205572,-0.00121052,0.0108934,-0.00105967
2573304,0,0,-110.825,0,0,0,0.112813,-0.972644,0.0819345,0.185807,-0.00121322,0.0111716,-0.00109967
2593300,0,0,-110.828,0,0,0,0.108968,-0.97621,0.0816777,0.168726,-0.00119096,0.0114905,-0.00117986
2613304,0,0,-110.831,0,0,0,0.105468,-0.979321,0.0797534,0.15312,-0.00119033,0.0117188,-0.00121681
2633304,0,0,-110.834,0,0,0,0.101903,-0.982051,0.0782951,0.138062,-0.00116377,0.0119639,-0.00127879
2653304,0,0,-110.837,0,0,0,0.099174,-0.984066,0.0798157,0.124127,-0.00115993,0.0121443,-0.00131063
2673304,0,0,-110.839,0,0,0,0.0963122,-0.985519,0.0824509,0.112595,-0.0011384,0.0123219,-0.00135859
2693304,0,0,-110.841,0,0,0,0.092858,-0.986602,0.0842104,0.104419,-0.00111103,0.0124551,-0.00138761
2713304,0,0,-110.843,0,0,0,0.0899674,-0.987366,0.0859174,0.0981431,-0.00108099,0.0125977,-0.00143186
2733304,0,0,-110.844,0,0,0,0.0871586,-0.987946,0.0870116,0.0937828,-0.00105991,0.0127129,-0.00145866
2753304,0,0,-110.846,0,0,0,0.0845593,-0.988378,0.088111,0.0905248,-0.00103541,0.0128179,-0.00149206
2773304,0,0,-110.847,0,0,0,0.0818391,-0.988873,0.0893926,0.0862683,-0.00101745,0.0129179,-0.00151655
2793304,0,0,-110.849,0,0,0,0.0786919,-0.989389,0.0898675,0.082707,-0.000980302,0.0129986,-0.00154952
2813304,0,0,-110.85,0,0,0,0.0758767,-0.989931,0.0905735,0.0779422,-0.000959912,0.0130798,-0.00157177
2833304,0,0,-110.851,0,0,0,0.0733336,-0.990422,0.0904501,0.0741981,-0.000943137,0.0131423,-0.00159236
2853304,0,0,-110.852,0,0,0,0.0711855,-0.991051,0.0887967,0.0697614,-0.000943139,0.0132093,-0.0016061
2873304,0,0,-110.853,0,0,0,0.0683597,-0.99188,0.0839833,0.0666978,-0.000928261,0.0132582,-0.00162199
2893304,0,0,-110.854,0,0,0,0.0660188,-0.99263,0.0791201,0.0637795,-0.000922128,0.0133021,-0.0016324
2913308,0,0,-110.855,0,0,0,0.064275,-0.99316,0.0759404,0.0611127,-0.000926351,0.0133379,-0.00163666
2933304,0,0,-110.856,0,0,0,0.062866,-0.99347,0.0751179,0.0585066,-0.000938958,0.0133651,-0.0016373
2953304,0,0,-110.857,0,0,0,0.0608306,-0.993761,0.075245,0.055465,-0.000946999,0.0133908,-0.00163807
2973312,0,0,-110.858,0,0,0,0.0577385,-0.994201,0.0746547,0.0515471,-0.000948201,0.0134176,-0.00164241
2993304,0,0,-110.858,0,0,0,0.0540076,-0.994749,0.0728652,0.0474066,-0.000955274,0.0134355,-0.00164198
3013304,0,0,-110.859,0,0,0,0.0496186,-0.995381,0.0695961,0.04372,-0.000969555,0.0134357,-0.00163642
3033304,0,0,-110.86,0,0,0,0.0446994,-0.996047,0.0658615,0.0394178,-0.000992331,0.0134332,-0.00162527
3053304,0,0,-110.86,0,0,0,0.0396567,-0.996574,0.0638049,0.0346042,-0.00102584,0.0134261,-0.00161031
3073304,0,0,-110.861,0,0,0,0.0333049,-0.996951,0.0637119,0.0303351,-0.00104829,0.0134024,-0.00159644
3093312,0,0,-110.861,0,0,0,0.0261392,-0.997128,0.0665042,0.0251113,-0.00106431,0.013393,-0.00158804
3113304,0,0,-110.862,0,0,0,0.0182616,-0.997032,0.0718029,0.0209327,-0.00107561,0.0133778,-0.00158032
3133304,0,0,-110.862,0,0,0,0.00923393,-0.996757,0.0776311,0.0190571,-0.00107155,0.0133488,-0.0015781
3153304,0,0,-110.863,0,0,0,0.000553639,-0.996287,0.0841419,0.018235,-0.00107889,0.013329,-0.00157162
3173304,0,0,-110.863,0,0,0,-0.00869711,-0.995803,0.088981,0.0195549,-0.00107179,0.0133014,-0.00157103
3193304,0,0,-110.863,0,0,0,-0.0174943,-0.995293,0.0928749,0.0214675,-0.00106522,0.0132811,-0.00157171
3213304,0,0,-110.864,0,0,0,-0.0254278,-0.994809,0.0956214,0.0237536,-0.00106343,0.0132667,-0.00157055
3233304,0,0,-110.864,0,0,0,-0.0327912,-0.994486,0.0962483,0.0256661,-0.00105792,0.0132634,-0.00157288
3253316,0,0,-110.865,0,0,0,-0.0394246,-0.994328,0.0947198,0.0280292,-0.00104976,0.0132553,-0.00157567
3273308,0,0,-110.865,0,0,0,-0.0446404,-0.994264,0.0925085,0.0298022,-0.00104822,0.013255,-0.00157637
3293340,0,0,-110.865,0,0,0,-0.0488315,-0.994221,0.0901787,0.0317565,-0.00104409,0.0132487,-0.00157758
3313308,0,0,-110.866,0,0,0,-0.0514199,-0.994112,0.0895844,0.032741,-0.00105356,0.0132537,-0.00157359
3333316,0,0,-110.866,0,0,0,-0.053319,-0.994043,0.0892822,0.0326114,-0.00105291,0.0132689,-0.00157549
3353316,0,0,-110.866,0,0,0,-0.0544578,-0.993902,0.0899771,0.0331154,-0.00105618,0.0132689,-0.00157398
3373308,0,0,-110.867,0,0,0,-0.0549961,-0.993778,0.0910755,0.0329624,-0.001058,0.0132684,-0.00157308
3393308,0,0,-110.867,0,0,0,-0.0552168,-0.993669,0.0924048,0.0321621,-0.00105832,0.0132656,-0.00157268
3413308,0,0,-110.867,0,0,0,-0.055454,-0.993577,0.0937383,0.0307144,-0.00105512,0.0132603,-0.00157361
3433312,0,0,-110.868,0,0,0,-0.055813,-0.993497,0.0949803,0.0287528,-0.00104819,0.0132517,-0.00157608
3453308,0,0,-110.868,0,0,0,-0.0565925,-0.993403,0.0960347,0.026936,-0.00103493,0.0132319,-0.00158026
3473308,0,0,-110.868,0,0,0,-0.0575344,-0.993259,0.097766,0.0238445,-0.00102291,0.0132206,-0.00158503
3493308,0,0,-110.868,0,0,0,-0.0589041,-0.993014,0.100222,0.020233,-0.0010109,0.0132027,-0.00158893
3513308,0,0,-110.868,0,0,0,-0.0614894,-0.992724,0.102196,0.0165569,-0.000986876,0.0131711,-0.00159791
3533308,0,0,-110.869,0,0,0,-0.0646462,-0.992391,0.103987,0.0129314,-0.000970516,0.0131292,-0.00160153
3553308,0,0,-110.869,0,0,0,-0.0684094,-0.992086,0.104948,0.00841391,-0.000959938,0.0130928,-0.00160343
3573308,0,0,-110.869,0,0,0,-0.0726407,-0.991797,0.105119,0.00350529,-0.000957183,0.0130559,-0.001601
3593312,0,0,-110.869,0,0,0,-0.0774039,-0.991491,0.104661,-0.00106864,-0.000957727,0.0130067,-0.00159625
3613308,0,0,-110.87,0,0,0,-0.0818615,-0.991019,0.105583,-0.00573982,-0.000967055,0.0129591,-0.00158658
3633308,0,0,-110.87,0,0,0,-0.0871421,-0.9903,0.107843,-0.00911332,-0.000962503,0.012902,-0.0015845
3653308,0,0,-110.87,0,0,0,-0.092061,-0.989427,0.111553,-0.0106943,-0.000959376,0.0128443,-0.00158077
3673308,0,0,-110.87,0,0,0,-0.0967636,-0.988673,0.114186,-0.0111741,-0.000948444,0.0128066,-0.00158398
3693308,0,0,-110.871,0,0,0,-0.10038,-0.988337,0.114189,-0.00862261,-0.00094041,0.012766,-0.00158476
3713308,0,0,-110.871,0,0,0,-0.102849,-0.988401,0.111592,-0.00574211,-0.000928158,0.0127516,-0.00159068
3733308,0,0,-110.871,0,0,0,-0.103627,-0.988618,0.109061,-0.00151339,-0.000925339,0.0127314,-0.00159056
3753308,0,0,-110.871,0,0,0,-0.103168,-0.988823,0.107594,0.0028935,-0.000920661,0.0126978,-0.00159083
3773312,0,0,-110.871,0,0,0,-0.101441,-0.98903,0.107252,0.00512593,-0.000909752,0.0126713,-0.00159455
3793308,0,0,-110.871,0,0,0,-0.0984461,-0.989287,0.107688,0.00478896,-0.000897763,0.0126571,-0.00159985
3813308,0,0,-110.872,0,0,0,-0.0940668,-0.989619,0.108588,0.00382446,-0.000898765,0.0126366,-0.00159753
3833312,0,0,-110.872,0,0,0,-0.0892706,-0.990237,0.10705,0.00166395,-0.00088779,0.0126301,-0.00160294
3853424,-7.04986e+26,64987.4,-110.872,0.0587273,0.0587273,0,-0.0831514,-0.991109,0.103867,0.000907925,-0.000895838,0.0126153,-0.00159725
3873424,-1.29247e+27,119144,-110.872,0.107667,0.107667,0,-0.0765419,-0.992257,0.097794,0.00171139,-0.000905442,0.012596,-0.0015905
3893424,-1.78958e+27,164968,-110.872,0.149077,0.149077,0,-0.0700601,-0.993485,0.0898215,0.00347089,-0.000909522,0.0125739,-0.00158656
3913424,-2.21567e+27,204246,-110.872,0.184571,0.184571,0,-0.0631485,-0.994584,0.0823983,0.00514403,-0.000929932,0.0125598,-0.00157497
3933432,-2.58495e+27,238287,-110.872,0.215333,0.215333,0,-0.0564092,-0.995555,0.0751331,0.00652636,-0.000956528,0.0125496,-0.00156017
3953432,-2.90807e+27,268073,-110.872,0.2875,0.2875,0,-0.0498724,-0.996391,0.0681946,0.00825353,-0.000989213,0.0125303,-0.00154252
3973424,-3.19317e+27,294355,-110.873,0.351177,0.351177,0,-0.0429885,-0.997128,0.0618277,0.0080801,-0.00102218,0.0125333,-0.00152534
3993428,-3.4466e+27,317716,-110.873,0.407778,0.407778,0,-0.0354039,-0.997723,0.0568393,0.00806956,-0.00107372,0.0125321,-0.00149877
