timestamp,logNumber,tooLargeSamples,droppedSamples,queuedSamples,buffersFilled,buffersWritten,writesFailed,lastWriteError,averageWriteTime,maxWriteTime
1251256,5,0,0,0,0,0,0,0,0,0
3253368,5,0,0,1181,1,1,0,0,61,61
4253464,5,0,0,1806,2,2,0,0,70,70
5253484,5,0,0,2431,4,3,0,0,73,73
6253540,5,0,0,3056,5,4,0,0,74,74
7253392,5,0,0,3681,6,5,0,0,74,74
8253388,5,0,0,4306,7,7,0,0,71,74
9253380,5,0,0,4931,8,8,0,0,73,74
10253384,5,0,0,5556,9,9,0,0,109,109
11253484,5,0,0,6181,10,10,0,0,78,109
12253512,5,0,0,6806,11,11,0,0,81,109
13253516,5,0,0,7431,12,12,0,0,81,109
14253524,5,0,0,8056,13,13,0,0,84,109
15253528,5,0,0,8681,14,14,0,0,79,109
16253536,5,0,0,9306,15,15,0,0,81,109
17253556,5,0,0,9931,16,16,0,0,85,109
18253548,5,0,0,10556,17,17,0,0,79,109
19253552,5,0,0,11181,18,18,0,0,82,109
20253560,5,0,0,11806,19,19,0,0,84,109
21253660,5,0,0,12431,20,20,0,0,89,109
22253588,5,0,0,13056,21,21,0,0,86,109
23253576,5,0,0,13681,22,22,0,0,84,109
24253584,5,0,0,14306,23,23,0,0,87,109
25253588,5,0,0,14931,24,24,0,0,87,109
26253608,5,0,0,15556,25,25,0,0,87,109
27253616,5,0,0,16181,26,26,0,0,87,109
28253608,5,0,0,16806,27,27,0,0,81,109
29253612,5,0,0,17431,28,28,0,0,83,109
30253632,5,0,0,18056,29,29,0,0,81,109
31253704,5,0,0,18681,30,30,0,0,73,109
32253792,5,0,0,19306,31,31,0,0,71,109
33253652,5,0,0,19931,32,32,0,0,82,109
34253640,5,0,0,20556,33,33,0,0,85,109
35253648,5,0,0,21181,34,34,0,0,78,109
36253676,5,0,0,21806,35,35,0,0,82,109
37253676,5,0,0,22431,36,36,0,0,81,109
38253664,5,0,0,23056,37,37,0,0,83,109
39253672,5,0,0,23681,38,38,0,0,77,109
40253680,5,0,0,24306,39,39,0,0,80,109
41253776,5,0,0,24931,40,40,0,0,82,109
42253704,5,0,0,25556,41,41,0,0,80,109
43253712,5,0,0,26181,42,42,0,0,80,109
44253700,5,0,0,26806,43,43,0,0,82,109
45253736,5,0,0,27431,44,44,0,0,87,109
46253728,5,0,0,28056,45,45,0,0,82,109
47253740,5,0,0,28681,46,46,0,0,83,109
48253772,5,0,0,29306,48,47,0,0,81,109
49253760,5,0,0,29931,49,48,0,0,81,109
50253752,5,0,0,30556,50,49,0,0,83,109
51253864,5,0,0,31181,51,50,0,0,83,109
52253764,5,0,0,31806,52,52,0,0,88,109
53253756,5,0,0,32431,53,53,0,0,83,109
54253760,5,0,0,33056,54,54,0,0,79,109
55253768,5,0,0,33681,55,55,0,0,83,109
56253788,5,0,0,34306,56,56,0,0,84,109
57253780,5,0,0,34931,57,57,0,0,79,109
58253804,5,0,0,35556,58,58,0,0,79,109
59253792,5,0,0,36181,59,59,0,0,74,109
60253796,5,0,0,36806,60,60,0,0,76,109
61253896,5,0,0,37431,61,61,0,0,75,109
62253824,5,0,0,38056,62,62,0,0,68,109
63253968,5,0,0,38681,63,63,0,0,72,109
64253820,5,0,0,39306,64,64,0,0,74,109
65253852,5,0,0,39931,65,65,0,0,71,109
66253844,5,0,0,40556,66,66,0,0,71,109
