gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix
517989644,45.501,9.15638,170.063,-0.051,-0.153,-0.417,0.161,195.176,2.14,10,3
518098252,45.501,9.15638,170.198,-0.085,-0.301,-0.538,0.313,195.176,2.14,10,3
518199144,45.501,9.15638,170.284,0.055,-0.163,-0.494,0.172,195.176,2.14,10,3
518298380,45.501,9.15638,170.429,-0.11,-0.109,-0.568,0.155,195.176,2.14,10,3
518395776,45.501,9.15638,170.495,0.084,0.013,-0.607,0.085,195.176,2.14,10,3
518499716,45.501,9.15638,170.52,0.203,0.341,-0.327,0.397,195.176,2.14,10,3
518596416,45.501,9.15638,170.532,0.239,0.423,-0.259,0.486,195.176,2.14,10,3
518699692,45.501,9.15638,170.652,0.241,0.256,-0.311,0.351,195.176,2.14,10,3
518796228,45.501,9.15638,170.752,0.057,0.15,-0.285,0.16,195.176,2.14,10,3
518899704,45.501,9.15638,170.823,0.019,0.024,-0.195,0.03,195.176,2.14,10,3
518998260,45.501,9.15638,170.928,0.017,0.129,-0.095,0.13,195.176,2.14,10,3
519099692,45.501,9.15638,171.008,-0.124,-0.094,-0.306,0.155,195.176,2.14,10,3
519197484,45.501,9.15638,171.177,-0.04,-0.394,-0.612,0.396,195.176,2.14,10,3
519291816,45.501,9.15638,171.259,0.177,-0.077,-0.588,0.193,195.176,2.14,10,3
519399752,45.501,9.15638,171.317,0.178,-0.036,-0.653,0.182,195.176,2.14,10,3
519499732,45.501,9.15638,171.381,0.091,-0.095,-0.847,0.131,195.176,2.14,10,3
519596248,45.501,9.15638,171.461,0.078,-0.189,-0.861,0.204,195.176,2.14,10,3
519697480,45.501,9.15638,171.514,0.06,-0.026,-0.7,0.065,195.176,2.14,10,3
519794580,45.501,9.15638,171.541,0.153,0.209,-0.614,0.259,195.176,2.14,10,3
519896792,45.501,9.15638,171.49,0.089,0.332,-0.605,0.344,195.176,2.14,10,3
519994244,45.501,9.15638,171.535,-0.06,0.174,-0.619,0.184,195.176,2.14,10,3
520098272,45.501,9.15638,171.567,-0.133,0.236,-0.74,0.271,195.176,2.14,10,3
520193816,45.501,9.15638,171.611,-0.012,0.212,-0.716,0.212,195.176,2.14,10,3
520299692,45.501,9.15638,171.583,0.058,0.485,-0.644,0.488,195.176,2.14,10,3
520395488,45.501,9.15638,171.593,0.019,0.376,-0.604,0.376,195.176,2.14,10,3
520499704,45.501,9.15638,171.597,0.195,0.38,-0.59,0.427,195.176,2.14,10,3
520588260,45.501,9.15638,171.587,0.124,0.405,-0.592,0.423,195.176,2.14,10,3
520698596,45.501,9.15638,171.528,0.196,0.409,-0.481,0.454,195.176,2.14,10,3
520796792,45.501,9.15638,171.509,-0.114,0.385,-0.375,0.401,195.176,2.14,10,3
520894520,45.501,9.15638,171.521,0.024,0.158,-0.658,0.159,195.176,2.14,10,3
520999756,45.501,9.15638,171.503,0.031,0.056,-0.68,0.064,195.176,2.14,10,3
521099800,45.501,9.15638,171.498,0.046,0.093,-0.868,0.104,195.176,2.14,10,3
521198112,45.501,9.15638,171.471,0.053,0.117,-0.778,0.128,195.176,2.14,10,3
521296620,45.501,9.15638,171.453,0.093,0.235,-0.638,0.253,195.176,2.14,10,3
521394476,45.501,9.15638,171.513,0.115,0.285,-0.77,0.308,195.176,2.14,10,3
521498268,45.501,9.15638,171.528,0.062,0.263,-0.692,0.27,195.176,2.14,10,3
521595500,45.501,9.15638,171.52,0.029,0.124,-0.889,0.128,195.176,2.14,10,3
521699716,45.501,9.15638,171.533,0.088,0.138,-0.719,0.164,195.176,2.14,10,3
