id,period,actMin,actMax,actMean,actStddev,actNSamples,periodMin,periodMax,periodMean,period_stddev,periodNSamples,workloadMin,workloadMax,workloadMean,workload_stddev,workloadNSample,missedEvents,failedEvents
0,1000,0,0,0,0,517,1000,1000,1000,0,516,0,0,0,0,517,0,0
100,100,0,0,0,0,5170,100,100,100,0,5169,0,0,0,0,5170,0,0
200,62,0,0,0,0,8338,62,62,62,0,8337,0,0,0,0,8338,0,0
202,10000,0,0,0,0,51,10000,10000,10000,0,50,0,0,0,0,51,0,0
0,1000,0,0,0,0,518,1000,1000,1000,0,517,0,0,0,0,518,0,0
100,100,0,0,0,0,5180,100,100,100,0,5179,0,0,0,0,5180,0,0
200,62,0,0,0,0,8354,62,62,62,0,8353,0,0,0,0,8354,0,0
202,10000,0,0,0,0,51,10000,10000,10000,0,50,0,0,0,0,51,0,0
0,1000,0,0,0,0,519,1000,1000,1000,0,518,0,0,0,0,519,0,0
100,100,0,0,0,0,5190,100,100,100,0,5189,0,0,0,0,5190,0,0
200,62,0,0,0,0,8371,62,62,62,0,8370,0,0,0,0,8371,0,0
202,10000,0,0,0,0,51,10000,10000,10000,0,50,0,0,0,0,51,0,0
0,1000,0,0,0,0,520,1000,1000,1000,0,519,0,0,0,0,520,0,0
100,100,0,0,0,0,5200,100,100,100,0,5199,0,0,0,0,5200,0,0
200,62,0,0,0,0,8387,62,62,62,0,8386,0,0,0,0,8387,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,521,1000,1000,1000,0,520,0,0,0,0,521,0,0
100,100,0,0,0,0,5210,100,100,100,0,5209,0,0,0,0,5210,0,0
200,62,0,0,0,0,8403,62,62,62,0,8402,0,0,0,0,8403,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,522,1000,1000,1000,0,521,0,0,0,0,522,0,0
100,100,0,0,0,0,5220,100,100,100,0,5219,0,0,0,0,5220,0,0
200,62,0,0,0,0,8419,62,62,62,0,8418,0,0,0,0,8419,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,523,1000,1000,1000,0,522,0,0,0,0,523,0,0
100,100,0,0,0,0,5230,100,100,100,0,5229,0,0,0,0,5230,0,0
200,62,0,0,0,0,8435,62,62,62,0,8434,0,0,0,0,8435,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,524,1000,1000,1000,0,523,0,0,0,0,524,0,0
100,100,0,0,0,0,5240,100,100,100,0,5239,0,0,0,0,5240,0,0
200,62,0,0,0,0,8451,62,62,62,0,8450,0,0,0,0,8451,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,525,1000,1000,1000,0,524,0,0,0,0,525,0,0
100,100,0,0,0,0,5250,100,100,100,0,5249,0,0,0,0,5250,0,0
200,62,0,0,0,0,8467,62,62,62,0,8466,0,0,0,0,8467,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,526,1000,1000,1000,0,525,0,0,0,0,526,0,0
100,100,0,0,0,0,5260,100,100,100,0,5259,0,0,0,0,5260,0,0
200,62,0,0,0,0,8483,62,62,62,0,8482,0,0,0,0,8483,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,527,1000,1000,1000,0,526,0,0,0,0,527,0,0
100,100,0,0,0,0,5270,100,100,100,0,5269,0,0,0,0,5270,0,0
200,62,0,0,0,0,8500,62,62,62,0,8499,0,0,0,0,8500,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,528,1000,1000,1000,0,527,0,0,0,0,528,0,0
100,100,0,0,0,0,5280,100,100,100,0,5279,0,0,0,0,5280,0,0
200,62,0,0,0,0,8516,62,62,62,0,8515,0,0,0,0,8516,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,529,1000,1000,1000,0,528,0,0,0,0,529,0,0
100,100,0,0,0,0,5290,100,100,100,0,5289,0,0,0,0,5290,0,0
200,62,0,0,0,0,8532,62,62,62,0,8531,0,0,0,0,8532,0,0
202,10000,0,0,0,0,52,10000,10000,10000,0,51,0,0,0,0,52,0,0
0,1000,0,0,0,0,530,1000,1000,1000,0,529,0,0,0,0,530,0,0
100,100,0,0,0,0,5300,100,100,100,0,5299,0,0,0,0,5300,0,0
200,62,0,0,0,0,8548,62,62,62,0,8547,0,0,0,0,8548,0,0
202,10000,0,0,0,0,53,10000,10000,10000,0,52,0,0,0,0,53,0,0
0,1000,0,0,0,0,531,1000,1000,1000,0,530,0,0,0,0,531,0,0
100,100,0,0,0,0,5310,100,100,100,0,5309,0,0,0,0,5310,0,0
200,62,0,0,0,0,8564,62,62,62,0,8563,0,0,0,0,8564,0,0
202,10000,0,0,0,0,53,10000,10000,10000,0,52,0,0,0,0,53,0,0
0,1000,0,0,0,0,532,1000,1000,1000,0,531,0,0,0,0,532,0,0
100,100,0,0,0,0,5320,100,100,100,0,5319,0,0,0,0,5320,0,0
200,62,0,0,0,0,8580,62,62,62,0,8579,0,0,0,0,8580,0,0
202,10000,0,0,0,0,53,10000,10000,10000,0,52,0,0,0,0,53,0,0
0,1000,0,0,0,0,533,1000,1000,1000,0,532,0,0,0,0,533,0,0
100,100,0,0,0,0,5330,100,100,100,0,5329,0,0,0,0,5330,0,0
200,62,0,0,0,0,8596,62,62,62,0,8595,0,0,0,0,8596,0,0
202,10000,0,0,0,0,53,10000,10000,10000,0,52,0,0,0,0,53,0,0
0,1000,0,0,0,0,534,1000,1000,1000,0,533,0,0,0,0,534,0,0
100,100,0,0,0,0,5340,100,100,100,0,5339,0,0,0,0,5340,0,0
200,62,0,0,0,0,8612,62,62,62,0,8611,0,0,0,0,8612,0,0
202,10000,0,0,0,0,53,10000,10000,10000,0,52,0,0,0,0,53,0,0
0,1000,0,0,0,0,535,1000,1000,1000,0,534,0,0,0,0,535,0,0
