temperatureTimestamp,temperature,pressureTimestamp,pressure,humid_timestamp,humidity
518019236,32.68,518019236,100347,518019240,0
518039236,32.68,518039236,100347,518039240,0
518059300,32.68,518059300,100347,518059308,0
518079236,32.68,518079236,100347,518079240,0
518099236,32.68,518099236,100347,518099240,0
518119240,32.68,518119240,100347,518119244,0
518139236,32.68,518139236,100347,518139240,0
518159296,32.68,518159296,100347,518159304,0
518179236,32.68,518179236,100347,518179240,0
518199236,32.68,518199236,100347,518199240,0
518219236,32.68,518219236,100347,518219240,0
518239236,32.68,518239236,100347,518239240,0
518259296,32.68,518259296,100347,518259304,0
518279236,32.68,518279236,100347,518279240,0
518299236,32.68,518299236,100347,518299240,0
518319236,32.68,518319236,100348,518319240,0
518339236,32.68,518339236,100347,518339240,0
518359296,32.68,518359300,100347,518359304,0
518379244,32.68,518379244,100347,518379248,0
518399236,32.68,518399236,100347,518399240,0
518419412,32.68,518419412,100347,518419416,0
518439236,32.68,518439236,100346,518439244,0
518459300,32.68,518459300,100346,518459304,0
518479236,32.68,518479236,100346,518479244,0
518499244,32.68,518499244,100346,518499248,0
518519236,32.68,518519236,100346,518519244,0
518539236,32.68,518539236,100346,518539244,0
518559300,32.68,518559300,100346,518559304,0
518579240,32.68,518579240,100346,518579248,0
518599236,32.68,518599236,100346,518599244,0
518619236,32.68,518619236,100346,518619244,0
518639236,32.68,518639236,100346,518639244,0
518659300,32.68,518659300,100346,518659304,0
518679248,32.68,518679248,100346,518679252,0
518699240,32.69,518699240,100346,518699244,0
518719240,32.69,518719240,100346,518719244,0
518739240,32.69,518739240,100346,518739244,0
518759300,32.69,518759300,100346,518759304,0
518779244,32.69,518779244,100346,518779248,0
518799240,32.69,518799240,100346,518799244,0
518819240,32.69,518819240,100345,518819244,0
518839240,32.69,518839240,100346,518839244,0
518859308,32.69,518859308,100346,518859316,0
518879240,32.69,518879240,100346,518879248,0
518899240,32.69,518899240,100346,518899244,0
518919240,32.69,518919240,100346,518919244,0
518939240,32.69,518939240,100346,518939244,0
518959300,32.69,518959300,100346,518959304,0
518979256,32.69,518979256,100346,518979260,0
518999244,32.69,518999244,100346,518999248,0
519019240,32.69,519019240,100346,519019244,0
519039408,32.69,519039408,100346,519039416,0
519059304,32.69,519059304,100346,519059308,0
519079240,32.7,519079240,100347,519079244,0
519099240,32.7,519099240,100347,519099248,0
519119244,32.7,519119244,100347,519119248,0
519139248,32.7,519139248,100347,519139252,0
519159304,32.7,519159304,100346,519159308,0
519179240,32.7,519179240,100346,519179248,0
519199240,32.7,519199240,100347,519199248,0
519219240,32.7,519219240,100347,519219248,0
519239240,32.7,519239240,100347,519239248,0
519259312,32.7,519259312,100347,519259316,0
519279244,32.7,519279244,100346,519279248,0
519299240,32.7,519299240,100347,519299248,0
519319244,32.7,519319244,100347,519319248,0
519339244,32.7,519339244,100347,519339248,0
519359312,32.7,519359312,100347,519359316,0
519379252,32.7,519379252,100347,519379256,0
519399244,32.7,519399244,100347,519399248,0
519419244,32.7,519419244,100347,519419248,0
519439244,32.7,519439244,100347,519439248,0
519459308,32.7,519459308,100347,519459312,0
519479244,32.7,519479244,100347,519479248,0
519499248,32.7,519499248,100347,519499256,0
519519252,32.71,519519252,100347,519519256,0
519539244,32.71,519539244,100347,519539248,0
519559304,32.71,519559304,100346,519559312,0
519579244,32.71,519579244,100347,519579248,0
519599244,32.71,519599244,100347,519599252,0
519619248,32.71,519619248,100347,519619252,0
519639248,32.71,519639248,100347,519639252,0
519659464,32.71,519659464,100347,519659468,0
519679244,32.71,519679244,100347,519679248,0
519699252,32.71,519699252,100347,519699256,0
519719252,32.71,519719252,100347,519719256,0
519739244,32.71,519739244,100347,519739248,0
519759304,32.71,519759304,100347,519759312,0
519779244,32.71,519779244,100347,519779252,0
519799244,32.71,519799244,100347,519799252,0
519819244,32.71,519819244,100347,519819248,0
519839244,32.71,519839244,100347,519839252,0
519859316,32.71,519859316,100348,519859320,0
519879252,32.71,519879252,100347,519879260,0
519899248,32.71,519899248,100347,519899252,0
519919248,32.71,519919248,100347,519919252,0
519939252,32.71,519939252,100347,519939260,0
519959340,32.71,519959340,100347,519959344,0
519979248,32.72,519979248,100347,519979252,0
519999248,32.72,519999248,100347,519999252,0
520019248,32.72,520019248,100347,520019252,0
520039248,32.72,520039248,100347,520039252,0
520059308,32.72,520059308,100346,520059312,0
520079248,32.72,520079248,100346,520079252,0
520099248,32.72,520099248,100346,520099252,0
520119248,32.72,520119248,100346,520119252,0
520139248,32.72,520139248,100346,520139252,0
520159316,32.72,520159316,100346,520159320,0
520179248,32.72,520179248,100346,520179252,0
520199248,32.72,520199248,100346,520199252,0
520219248,32.72,520219248,100346,520219252,0
520239248,32.72,520239248,100346,520239252,0
520259308,32.72,520259308,100346,520259316,0
520279412,32.72,520279412,100346,520279420,0
520299256,32.72,520299256,100346,520299260,0
520319256,32.72,520319256,100346,520319260,0
520339248,32.72,520339248,100346,520339252,0
520359312,32.72,520359312,100347,520359316,0
520379248,32.72,520379248,100346,520379252,0
520399248,32.72,520399248,100346,520399252,0
520419248,32.72,520419248,100347,520419252,0
520439256,32.72,520439256,100347,520439260,0
520459308,32.72,520459308,100347,520459316,0
520479248,32.72,520479248,100347,520479256,0
520499260,32.72,520499260,100347,520499264,0
520519248,32.72,520519248,100347,520519256,0
520539256,32.72,520539256,100347,520539264,0
520559312,32.72,520559312,100347,520559316,0
520579252,32.72,520579252,100347,520579256,0
520599252,32.72,520599252,100347,520599256,0
520619252,32.72,520619252,100347,520619256,0
520639252,32.72,520639256,100346,520639260,0
520659312,32.73,520659312,100347,520659316,0
520679252,32.73,520679252,100347,520679256,0
520699252,32.73,520699252,100347,520699256,0
520719252,32.73,520719252,100347,520719256,0
520739252,32.73,520739252,100347,520739256,0
520759312,32.73,520759312,100347,520759316,0
520779252,32.73,520779252,100347,520779256,0
520799252,32.73,520799252,100347,520799256,0
520819252,32.73,520819252,100347,520819256,0
520839260,32.73,520839260,100347,520839264,0
520859312,32.73,520859312,100347,520859320,0
