timestamp,threadId,minimumStack
518315,0,14132
518293,1,14796
518298,3,15028
518316,4,16204
518316,5,16284
518315,6,16260
518203,7,16180
518314,8,16180
518341,10,1436
517343,16,15300
518735,0,14132
519335,1,14796
519307,3,15028
519316,4,16204
519280,5,16256
518315,6,16260
519335,7,16180
518314,8,16180
519341,10,1436
518343,16,15300
519580,0,14132
520307,1,14796
520303,3,15028
520316,4,16204
520248,5,16256
520323,6,15676
520071,7,16180
520314,8,16180
520341,10,1436
519343,16,15300
519580,0,14132
521328,1,14796
521308,3,15028
521316,4,16204
521216,5,16256
521299,6,15636
521107,7,16180
520314,8,16180
521341,10,1436
520343,16,15300
519580,0,14132
522336,1,14796
522304,3,15028
522316,4,16204
522182,5,16256
522266,6,15636
522169,7,16180
522314,8,16180
522341,10,1436
521343,16,15300
519580,0,14132
523310,1,14796
523307,3,15028
523316,4,16204
523150,5,16256
523236,6,15636
523193,7,16180
522314,8,16180
523341,10,1436
522343,16,15300
519580,0,14132
524333,1,14796
524310,3,15028
524316,4,16204
524118,5,16256
524204,6,15636
524252,7,16180
524314,8,16180
524341,10,1436
523343,16,15300
519580,0,14132
525340,1,14796
525306,3,15028
525316,4,16204
525084,5,16256
525169,6,15636
525041,7,16180
524314,8,16180
525341,10,1436
524343,16,15300
519580,0,14132
526285,1,14796
526302,3,15028
526316,4,16204
526052,5,16256
526137,6,15636
526077,7,16180
526314,8,16180
526341,10,1436
525343,16,15300
519580,0,14132
527333,1,14796
527304,3,15028
527316,4,16204
527019,5,16256
527107,6,15636
527097,7,16180
526314,8,16180
527341,10,1436
526343,16,15300
519580,0,14132
528339,1,14796
528303,3,15028
528316,4,16204
527986,5,16256
528073,6,15636
528160,7,16180
528314,8,16180
528341,10,1436
527343,16,15300
519580,0,14132
529297,1,14796
529307,3,15028
529316,4,16204
528954,5,16256
529039,6,15636
529269,7,16180
528314,8,16180
529341,10,1436
528343,16,15300
519580,0,14132
530303,1,14796
530305,3,15028
530316,4,16204
529920,5,16256
530002,6,15636
530329,7,16180
530314,8,16180
530341,10,1436
529343,16,15300
519580,0,14132
531309,1,14796
531303,3,15028
531316,4,16204
530888,5,16256
530974,6,15636
531115,7,16180
530314,8,16180
531341,10,1436
530343,16,15300
519580,0,14132
532281,1,14796
532306,3,15028
532316,4,16204
531856,5,16256
531943,6,15636
532183,7,16180
532314,8,16180
532341,10,1436
531343,16,15300
519580,0,14132
533329,1,14796
533306,3,15028
533316,4,16204
532822,5,16256
532901,6,15636
533301,7,16180
532314,8,16180
533341,10,1436
532343,16,15300
519580,0,14132
534335,1,14796
534308,3,15028
534316,4,16204
533788,5,16256
533866,6,15636
534338,7,16180
534314,8,16180
534341,10,1436
533343,16,15300
519580,0,14132
535329,1,14796
535307,3,15028
535316,4,16204
534758,5,16256
534836,6,15636
535134,7,16180
534314,8,16180
535341,10,1436
534343,16,15300
519580,0,14132
536335,1,14796
536306,3,15028
536316,4,16204
535724,5,16256
535800,6,15636
536183,7,16180
536314,8,16180
536341,10,1436
535343,16,15300
536527,0,14132
537321,1,14796
537310,3,15028
537316,4,16204
536692,5,16256
536773,6,15636
537232,7,16180
536314,8,16180
537341,10,1436
536343,16,15300
536527,0,14132
538327,1,14796
538310,3,15028
538316,4,16204
537668,5,16256
537747,6,15636
537960,7,16180
538314,8,16180
538341,10,1436
537343,16,15300
536527,0,14132
539285,1,14796
539309,3,15028
539316,4,16204
538646,5,16256
538726,6,15636
539049,7,16180
538314,8,16180
539341,10,1436
538343,16,15300
536527,0,14132
540291,1,14796
540307,3,15028
540316,4,16204
539622,5,16256
539697,6,15636
540096,7,16180
540314,8,16180
540342,10,1436
539343,16,15300
536527,0,14132
541339,1,14796
541310,3,15028
541316,4,16204
540599,5,16256
540675,6,15636
541221,7,16180
540314,8,16180
541342,10,1436
540343,16,15300
536527,0,14132
542283,1,14796
542309,3,15028
542316,4,16204
541576,5,16256
541650,6,15636
541955,7,16180
542314,8,16180
542342,10,1436
541343,16,15300
536527,0,14132
543317,1,14796
543310,3,15028
543316,4,16204
542554,5,16256
542627,6,15636
543081,7,16180
542314,8,16180
543342,10,1436
542343,16,15300
543809,0,14132
544337,1,14796
544305,3,15028
544316,4,16204
543530,5,16256
543607,6,15636
544134,7,16180
544314,8,16180
544342,10,1436
543343,16,15300
543809,0,14132
545329,1,14796
545307,3,15028
545316,4,16204
544500,5,16256
544581,6,15636
545212,7,16180
544314,8,16180
545342,10,1436
544343,16,15300
543809,0,14132
546301,1,14796
546301,3,15028
546316,4,16204
545468,5,16256
545550,6,15636
546301,7,16180
546314,8,16180
546342,10,1436
545343,16,15300
543809,0,14132
547307,1,14796
547303,3,15028
547316,4,16204
546436,5,16256
546514,6,15636
547006,7,16180
546314,8,16180
547342,10,1436
546343,16,15300
543809,0,14132
548328,1,14796
548305,3,15028
548316,4,16204
547402,5,16256
547481,6,15636
548120,7,16180
548314,8,16180
548342,10,1436
547343,16,15300
543809,0,14132
549335,1,14796
549304,3,15028
549316,4,16204
548368,5,16256
548448,6,15636
549155,7,16180
548314,8,16180
549342,10,1436
548343,16,15300
543809,0,14132
550321,1,14796
550307,3,15028
550316,4,16204
550319,5,16256
549426,6,15636
550200,7,16180
550314,8,16180
550342,10,1436
549343,16,15300
543809,0,14132
551329,1,14796
551308,3,15028
551316,4,16204
551286,5,16256
550400,6,15636
551331,7,16180
550314,8,16180
551342,10,1436
550343,16,15300
543809,0,14132
552301,1,14796
552310,3,15028
552316,4,16204
552254,5,16256
552332,6,15636
552065,7,16180
552314,8,16180
552342,10,1436
551343,16,15300
543809,0,14132
553309,1,14796
553306,3,15028
553316,4,16204
553220,5,16256
