WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle, velocityAngle,targetX,targetY
518059236,120,120,0.550279,-1.3667,27.5561,16.9054
518159232,120,120,0.550282,-1.61407,27.5565,16.9057
518259232,120,120,0.550287,-1.83385,27.5569,16.9061
518359232,120,120,0.552215,-0.0511297,27.5553,16.9784
518459236,120,120,0.55225,-1.94444,27.5571,16.9808
518559236,120,120,0.550282,0.166126,27.555,16.9048
518659236,120,120,0.550252,0.509619,27.5534,16.9027
518759236,120,120,0.548297,0.557801,27.5529,16.8283
518859244,120,120,0.54828,0.571962,27.5529,16.8277
518959236,120,120,0.546347,-0.0373244,27.555,16.7559
519059240,120,120,0.546337,-0.578125,27.5556,16.7559
519159240,120,120,0.546337,-0.60356,27.5556,16.7559
519259248,120,120,0.546355,-1.94909,27.5573,16.7576
519359248,120,120,0.546346,-1.50979,27.5564,16.7567
519459244,120,120,0.546319,0.469051,27.5538,16.7541
519559240,120,120,0.546317,0.483285,27.5537,16.754
519659240,120,120,0.546327,0.228719,27.5547,16.755
519759240,120,120,0.548284,0.137108,27.5549,16.8291
519859252,120,120,0.548303,-0.0143279,27.5551,16.8299
519959260,120,120,0.548292,0.425141,27.554,16.8288
520059244,120,120,0.548299,0.208037,27.5547,16.8295
520159252,120,120,0.546362,-1.66014,27.5565,16.7574
520259244,120,120,0.546357,-1.98103,27.5574,16.7578
520359248,120,120,0.546342,-1.14008,27.5561,16.7564
520459244,120,120,0.546333,-0.0322614,27.5552,16.7555
520559248,120,120,0.544378,-0.559495,27.5556,16.682
520659248,120,120,0.551177,0.501982,27.1331,16.6794
520759248,120,120,0.551241,0.352741,27.1304,16.6801
520859248,120,120,0.551233,0.509225,27.1295,16.6793
520959248,120,120,0.55127,-1.9403,27.1331,16.6829
521059252,120,120,0.551255,-0.490859,27.1317,16.6815
521159256,120,120,0.551254,-0.37224,27.1315,16.6813
521259256,120,120,0.551252,-0.162165,27.1314,16.6811
521359252,120,120,0.551251,-0.0712873,27.1313,16.681
521459252,120,120,0.551246,0.233375,27.1308,16.6806
521559252,120,120,0.551243,0.330618,27.1305,16.6803
521659252,120,120,0.551249,0.0384189,27.1311,16.6809
521759256,120,120,0.551253,-0.374544,27.1315,16.6813
521859256,120,120,0.551247,0.205417,27.1309,16.6806
521959256,120,120,0.55123,0.541342,27.1293,16.679
522059256,120,120,0.551233,0.503989,27.1295,16.6793
522159256,120,120,0.551255,-0.778751,27.1317,16.6815
522259256,120,120,0.551226,0.578495,27.1289,16.6786
522359264,120,120,0.551248,0.0555523,27.131,16.6808
522459256,120,120,0.551241,0.378729,27.1303,16.6801
522559260,120,120,0.558249,-0.677568,26.7112,16.6815
522659260,120,120,0.558317,-1.80643,26.7089,16.6826
522759260,120,120,0.558296,0.31725,26.7067,16.6804
522859272,120,120,0.560289,-0.121263,26.7073,16.7549
522959264,120,120,0.560327,-1.99114,26.7094,16.7576
523059260,120,120,0.562292,-0.411372,26.7077,16.8298
523159264,120,120,0.562319,-1.78638,26.7088,16.8315
523259264,120,120,0.562303,0.0626643,26.7072,16.8299
523359264,120,120,0.562313,-1.42454,26.7083,16.831
523459264,120,120,0.562309,-0.782401,26.7079,16.8305
523559264,120,120,0.564294,-1.67542,26.7086,16.9051
523659264,120,120,0.564307,-1.45111,26.7084,16.9055
523759268,120,120,0.564316,-1.92048,26.7092,16.9063
523859268,120,120,0.564308,-1.40851,26.7084,16.9055
523959268,120,120,0.56431,-1.70382,26.7087,16.9058
