timestamp,logNumber,tooLargeSamples,droppedSamples,queuedSamples,buffersFilled,buffersWritten,writesFailed,lastWriteError,averageWriteTime,maxWriteTime
1024428,8,0,0,0,0,0,0,0,0,0
3027592,8,0,0,1181,1,1,0,0,91,91
4027612,8,0,0,1806,2,2,0,0,91,91
5027632,8,0,0,2431,4,3,0,0,104,104
6027620,8,0,0,3056,5,4,0,0,101,104
7027644,8,0,0,3681,6,5,0,0,94,104
8027636,8,0,0,4306,7,7,0,0,77,104
9027624,8,0,0,4931,8,8,0,0,78,104
10027644,8,0,0,5556,9,9,0,0,73,104
11027636,8,0,0,6181,10,10,0,0,77,104
12027644,8,0,0,6806,11,11,0,0,75,104
13027664,8,0,0,7431,12,12,0,0,78,104
14027656,8,0,0,8056,13,13,0,0,72,104
15027676,8,0,0,8681,14,14,0,0,78,104
16027668,8,0,0,9306,15,15,0,0,72,104
17027688,8,0,0,9931,16,16,0,0,74,104
18027680,8,0,0,10556,17,17,0,0,75,104
19027700,8,0,0,11181,18,18,0,0,77,104
20027704,8,0,0,11806,19,19,0,0,80,104
21027696,8,0,0,12431,20,20,0,0,78,104
22027704,8,0,0,13056,21,21,0,0,77,104
23027728,8,0,0,13681,22,22,0,0,76,104
24027728,8,0,0,14306,23,23,0,0,79,104
25027720,8,0,0,14931,24,24,0,0,83,104
26027744,8,0,0,15556,25,25,0,0,80,104
27027732,8,0,0,16181,26,26,0,0,80,104
28028116,8,0,0,16806,27,27,0,0,77,104
29028120,8,0,0,17431,28,28,0,0,84,104
30027752,8,0,0,18056,29,29,0,0,80,104
31027756,8,0,0,18681,30,30,0,0,80,104
32027764,8,0,0,19306,31,31,0,0,81,104
33028144,8,0,0,19931,32,32,0,0,88,104
34028148,8,0,0,20556,33,33,0,0,80,104
35027792,8,0,0,21181,34,34,0,0,84,104
36027808,8,0,0,21807,35,35,0,0,85,104
37027792,8,0,0,22433,36,36,0,0,83,104
38027812,8,0,0,23059,37,37,0,0,84,104
39027820,8,0,0,23685,38,38,0,0,82,104
40027812,8,0,0,24310,39,39,0,0,84,104
41027816,8,0,0,24936,40,40,0,0,81,104
42027836,8,0,0,25562,41,41,0,0,82,104
43027828,8,0,0,26188,42,42,0,0,83,104
44027852,8,0,0,26814,43,43,0,0,81,104
45027860,8,0,0,27440,44,44,0,0,80,104
46027848,8,0,0,28066,45,45,0,0,83,104
47027852,8,0,0,28692,46,46,0,0,75,104
48027872,8,0,0,29318,48,47,0,0,79,104
49027880,8,0,0,29944,49,48,0,0,79,104
50027896,8,0,0,30570,50,49,0,0,80,104
