temperatureTimestamp,temperature,pressureTimestamp,pressure,humid_timestamp,humidity
1036156,32.06,1036156,100361,1036164,0
1056188,32.06,1056188,100361,1056192,0
1076156,32.06,1076156,100362,1076164,0
1096156,32.07,1096156,100362,1096164,0
1116156,32.07,1116156,100361,1116164,0
1136156,32.07,1136156,100362,1136164,0
1156188,32.07,1156188,100362,1156192,0
1176168,32.08,1176168,100362,1176172,0
1196164,32.08,1196164,100362,1196172,0
1216156,32.08,1216156,100361,1216164,0
1236156,32.08,1236156,100362,1236164,0
1256188,32.08,1256188,100362,1256192,0
1276160,32.09,1276160,100362,1276164,0
1296160,32.09,1296160,100362,1296164,0
1316160,32.09,1316160,100362,1316164,0
1336312,32.09,1336312,100362,1336320,0
1356188,32.09,1356188,100362,1356196,0
1376160,32.1,1376160,100362,1376164,0
1396160,32.1,1396160,100363,1396164,0
1416160,32.1,1416160,100362,1416164,0
1436160,32.1,1436160,100363,1436168,0
1456188,32.1,1456188,100363,1456196,0
1476160,32.11,1476160,100363,1476164,0
1496160,32.11,1496160,100363,1496164,0
1516168,32.11,1516168,100363,1516172,0
1536168,32.11,1536168,100362,1536172,0
1556188,32.11,1556188,100362,1556196,0
1576160,32.11,1576160,100362,1576164,0
1596160,32.11,1596160,100362,1596164,0
1616160,32.12,1616160,100362,1616164,0
1636160,32.12,1636160,100362,1636168,0
1656192,32.12,1656192,100363,1656196,0
1676164,32.12,1676164,100362,1676168,0
1696160,32.12,1696160,100363,1696168,0
1716160,32.12,1716160,100362,1716168,0
1736168,32.13,1736168,100362,1736172,0
1756192,32.13,1756192,100362,1756196,0
1776164,32.13,1776164,100362,1776168,0
1796160,32.13,1796164,100362,1796168,0
1816164,32.13,1816164,100362,1816168,0
1836168,32.13,1836168,100362,1836176,0
1856200,32.14,1856200,100362,1856204,0
1876172,32.14,1876172,100362,1876176,0
1896164,32.14,1896164,100362,1896168,0
1916164,32.14,1916164,100362,1916168,0
1936164,32.14,1936164,100362,1936168,0
1956352,32.14,1956352,100362,1956356,0
1976164,32.14,1976164,100362,1976168,0
1996164,32.14,1996164,100362,1996168,0
2016164,32.14,2016164,100362,2016168,0
2036164,32.15,2036164,100362,2036168,0
2056200,32.15,2056200,100362,2056204,0
2076168,32.15,2076168,100362,2076172,0
2096172,32.15,2096172,100362,2096176,0
2116168,32.15,2116168,100362,2116172,0
2136164,32.15,2136164,100362,2136168,0
2156196,32.15,2156196,100363,2156200,0
2176164,32.15,2176164,100363,2176168,0
2196172,32.15,2196172,100363,2196176,0
2216164,32.16,2216164,100363,2216168,0
2236164,32.16,2236164,100363,2236168,0
2256192,32.16,2256192,100363,2256200,0
2276164,32.16,2276164,100364,2276168,0
2296172,32.16,2296172,100364,2296176,0
2316164,32.16,2316164,100363,2316172,0
2336164,32.16,2336164,100364,2336168,0
2356196,32.16,2356196,100364,2356200,0
2376164,32.16,2376164,100364,2376172,0
2396164,32.16,2396164,100363,2396172,0
2416164,32.16,2416164,100363,2416172,0
2436168,32.16,2436168,100363,2436172,0
2456196,32.16,2456196,100363,2456200,0
2476168,32.16,2476168,100363,2476172,0
2496164,32.17,2496164,100363,2496172,0
2516168,32.17,2516168,100362,2516172,0
2536168,32.17,2536168,100362,2536172,0
2556196,32.17,2556196,100363,2556200,0
2576340,32.17,2576340,100363,2576344,0
2596168,32.17,2596168,100363,2596172,0
2616168,32.17,2616168,100363,2616172,0
2636168,32.17,2636168,100363,2636172,0
2656196,32.17,2656196,100363,2656204,0
2676168,32.17,2676168,100362,2676172,0
2696168,32.17,2696168,100362,2696172,0
2716168,32.17,2716168,100362,2716172,0
2736168,32.17,2736168,100362,2736172,0
2756196,32.17,2756196,100362,2756204,0
2776168,32.17,2776168,100362,2776172,0
2796176,32.17,2796176,100362,2796180,0
2816168,32.17,2816168,100362,2816172,0
2836168,32.17,2836168,100362,2836172,0
2856196,32.17,2856196,100362,2856204,0
2876168,32.17,2876168,100362,2876172,0
2896168,32.17,2896168,100362,2896172,0
2916168,32.17,2916168,100362,2916172,0
2936168,32.17,2936168,100362,2936172,0
2956196,32.18,2956196,100362,2956204,0
2976168,32.18,2976168,100362,2976172,0
2996168,32.18,2996168,100362,2996172,0
3016168,32.18,3016168,100362,3016176,0
3036168,32.18,3036168,100362,3036176,0
3056224,32.18,3056224,100362,3056232,0
3076176,32.18,3076176,100362,3076184,0
3096168,32.18,3096168,100362,3096176,0
3116172,32.18,3116172,100362,3116176,0
3136172,32.18,3136172,100362,3136176,0
