timestamp,cpu_usage,cpu_usage_min,cpu_usage_max,cpu_usage_mean,free_heap,min_free_heap
3339,30.7459,30.7459,30.7459,30.7459,5.28009e+06,5.27462e+06
4339,36.7296,30.7459,36.7296,33.7378,5.28009e+06,5.27462e+06
5339,39.6977,30.7459,39.6977,35.7244,5.2801e+06,5.27462e+06
6339,42.9804,30.7459,42.9804,37.5384,5.2801e+06,5.27462e+06
7339,45.4066,30.7459,45.4066,39.112,5.2801e+06,5.27462e+06
8339,46.9402,30.7459,46.9402,40.4167,5.28009e+06,5.27462e+06
9339,48.7405,30.7459,48.7405,41.6058,5.28009e+06,5.27462e+06
10339,49.7009,30.7459,49.7009,42.6177,5.28009e+06,5.27462e+06
11339,50.5428,30.7459,50.5428,43.4983,5.28009e+06,5.27462e+06
12339,51.1821,30.7459,51.1821,44.2667,5.28009e+06,5.27462e+06
13339,51.8249,30.7459,51.8249,44.9538,5.28009e+06,5.27462e+06
14339,52.4841,30.7459,52.4841,45.5813,5.28009e+06,5.27462e+06
15339,53.02,30.7459,53.02,46.1535,5.28009e+06,5.27462e+06
16339,53.5038,30.7459,53.5038,46.6785,5.28009e+06,5.27462e+06
17339,53.6651,30.7459,53.6651,47.1443,5.28009e+06,5.27462e+06
18339,54.067,30.7459,54.067,47.577,5.28009e+06,5.27462e+06
19339,54.4099,30.7459,54.4099,47.9789,5.28009e+06,5.27462e+06
20339,54.7614,30.7459,54.7614,48.3557,5.28009e+06,5.27462e+06
21339,54.8318,30.7459,54.8318,48.6966,5.28009e+06,5.27462e+06
22339,55.1213,30.7459,55.1213,49.0178,5.28009e+06,5.27462e+06
23339,55.4033,30.7459,55.4033,49.3219,5.28009e+06,5.27462e+06
24339,55.6796,30.7459,55.6796,49.6109,5.28009e+06,5.27462e+06
25339,55.8258,30.7459,55.8258,49.8811,5.28009e+06,5.27462e+06
26339,55.9461,30.7459,55.9461,50.1338,5.28009e+06,5.27462e+06
27339,56.1317,30.7459,56.1317,50.3737,5.28009e+06,5.27462e+06
28339,56.2977,30.7459,56.2977,50.6015,5.28009e+06,5.27462e+06
29339,56.4008,30.7459,56.4008,50.8163,5.28009e+06,5.27462e+06
30339,56.4838,30.7459,56.4838,51.0187,5.28009e+06,5.27462e+06
31339,56.6282,30.7459,56.6282,51.2122,5.28009e+06,5.27462e+06
32339,56.7663,30.7459,56.7663,51.3973,5.28009e+06,5.27462e+06
33339,56.8891,30.7459,56.8891,51.5745,5.28009e+06,5.27462e+06
34339,56.9454,30.7459,56.9454,51.7423,5.28009e+06,5.27462e+06
35339,57.0844,30.7459,57.0844,51.9042,5.28004e+06,5.27462e+06
36339,57.2509,30.7459,57.2509,52.0614,5.28004e+06,5.27462e+06
37339,57.2846,30.7459,57.2846,52.2107,5.28004e+06,5.27462e+06
38339,57.3256,30.7459,57.3256,52.3528,5.28004e+06,5.27462e+06
39339,57.4261,30.7459,57.4261,52.4899,5.28004e+06,5.27462e+06
40339,57.5125,30.7459,57.5125,52.622,5.28004e+06,5.27462e+06
41339,57.5564,30.7459,57.5564,52.7486,5.28004e+06,5.27462e+06
42339,57.71,30.7459,57.71,52.8726,5.28004e+06,5.27462e+06
43339,57.7708,30.7459,57.7708,52.9921,5.28004e+06,5.27462e+06
44339,57.8818,30.7459,57.8818,53.1085,5.28004e+06,5.27462e+06
45339,57.9138,30.7459,57.9138,53.2202,5.28004e+06,5.27462e+06
46339,57.9303,30.7459,57.9303,53.3273,5.28004e+06,5.27462e+06
47339,58.0368,30.7459,58.0368,53.4319,5.28004e+06,5.27462e+06
48339,58.0524,30.7459,58.0524,53.5324,5.28006e+06,5.27462e+06
49339,58.0849,30.7459,58.0849,53.6293,5.28006e+06,5.27462e+06
50339,58.1872,30.7459,58.1872,53.7242,5.28006e+06,5.27462e+06
51339,58.1966,30.7459,58.1966,53.8155,5.28004e+06,5.27462e+06
52339,58.2466,30.7459,58.2466,53.9041,5.28004e+06,5.27462e+06
53339,58.3498,30.7459,58.3498,53.9913,5.28004e+06,5.27462e+06
54339,58.3565,30.7459,58.3565,54.0752,5.28004e+06,5.27462e+06
55339,58.4418,30.7459,58.4418,54.1576,5.28004e+06,5.27462e+06
56339,58.447,30.7459,58.447,54.237,5.28004e+06,5.27462e+06
57339,58.463,30.7459,58.463,54.3139,5.28004e+06,5.27462e+06
58339,58.5413,30.7459,58.5413,54.3894,5.28004e+06,5.27462e+06
59339,58.5558,30.7459,58.5558,54.4625,5.28004e+06,5.27462e+06
60339,58.5737,30.7459,58.5737,54.5334,5.28004e+06,5.27462e+06
61339,58.6335,30.7459,58.6335,54.6028,5.28004e+06,5.27462e+06
62339,58.6706,30.7459,58.6706,54.6706,5.28004e+06,5.27462e+06
63339,58.7492,30.7459,58.7492,54.7375,5.28004e+06,5.27462e+06
64339,58.7228,30.7459,58.7492,54.8018,5.28004e+06,5.27462e+06
65339,58.7862,30.7459,58.7862,54.865,5.28004e+06,5.27462e+06
66339,58.8137,30.7459,58.8137,54.9267,5.28004e+06,5.27462e+06
67339,58.8258,30.7459,58.8258,54.9867,5.28004e+06,5.27462e+06
68339,58.8438,30.7459,58.8438,55.0452,5.28004e+06,5.27462e+06
69339,58.8877,30.7459,58.8877,55.1025,5.28004e+06,5.27462e+06
70339,58.9085,30.7459,58.9085,55.1585,5.28004e+06,5.27462e+06
71339,58.9584,30.7459,58.9584,55.2135,5.28004e+06,5.27462e+06
72339,58.9892,30.7459,58.9892,55.2675,5.28004e+06,5.27462e+06
73339,59.0478,30.7459,59.0478,55.3207,5.28004e+06,5.27462e+06
74339,59.0451,30.7459,59.0478,55.3725,5.28004e+06,5.27462e+06
75339,59.05,30.7459,59.05,55.4228,5.28004e+06,5.27462e+06
76339,59.1053,30.7459,59.1053,55.4726,5.28004e+06,5.27462e+06
77339,59.1061,30.7459,59.1061,55.521,5.28004e+06,5.27462e+06
78339,59.0956,30.7459,59.1061,55.5681,5.28004e+06,5.27462e+06
79339,59.1558,30.7459,59.1558,55.6147,5.28004e+06,5.27462e+06
80339,59.1517,30.7459,59.1558,55.66,5.28004e+06,5.27462e+06
81339,59.1845,30.7459,59.1845,55.7046,5.28004e+06,5.27462e+06
82339,59.223,30.7459,59.223,55.7486,5.28004e+06,5.27462e+06
83339,59.227,30.7459,59.227,55.7916,5.28004e+06,5.27462e+06
84339,59.2736,30.7459,59.2736,55.834,5.28004e+06,5.27462e+06
85339,59.2792,30.7459,59.2792,55.8755,5.28004e+06,5.27462e+06
86339,59.2475,30.7459,59.2792,55.9157,5.28004e+06,5.27462e+06
87339,59.2963,30.7459,59.2963,55.9554,5.28004e+06,5.27462e+06
88339,59.3038,30.7459,59.3038,55.9944,5.28004e+06,5.27462e+06
89339,59.3029,30.7459,59.3038,56.0324,5.28004e+06,5.27462e+06
90339,59.3483,30.7459,59.3483,56.0701,5.28004e+06,5.27462e+06
91339,59.3451,30.7459,59.3483,56.1069,5.28006e+06,5.27462e+06
92339,59.3627,30.7459,59.3627,56.1431,5.28006e+06,5.27462e+06
93339,59.4126,30.7459,59.4126,56.179,5.28006e+06,5.27462e+06
94339,59.4506,30.7459,59.4506,56.2145,5.28004e+06,5.27462e+06
95339,59.447,30.7459,59.4506,56.2493,5.28004e+06,5.27462e+06
96339,59.4712,30.7459,59.4712,56.2836,5.28004e+06,5.27462e+06
97339,59.5095,30.7459,59.5095,56.3175,5.28004e+06,5.27462e+06
98339,59.5099,30.7459,59.5099,56.3508,5.28004e+06,5.27462e+06
99339,59.5324,30.7459,59.5324,56.3836,5.28004e+06,5.27462e+06
100339,59.524,30.7459,59.5324,56.4156,5.28004e+06,5.27462e+06
101339,59.5152,30.7459,59.5324,56.4469,5.28004e+06,5.27462e+06
102339,59.565,30.7459,59.565,56.4781,5.28004e+06,5.27462e+06
103339,59.5684,30.7459,59.5684,56.5087,5.28004e+06,5.27462e+06
104339,59.5828,30.7459,59.5828,56.5389,5.28004e+06,5.27462e+06
105339,59.601,30.7459,59.601,56.5686,5.28004e+06,5.27462e+06
106339,59.5993,30.7459,59.601,56.5977,5.28004e+06,5.27462e+06
107339,59.5879,30.7459,59.601,56.6262,5.28004e+06,5.27462e+06
108339,59.6001,30.7459,59.601,56.6543,5.28004e+06,5.27462e+06
109339,59.6127,30.7459,59.6127,56.6819,5.28004e+06,5.27462e+06
110339,59.6105,30.7459,59.6127,56.709,5.28004e+06,5.27462e+06
111339,59.5944,30.7459,59.6127,56.7355,5.28004e+06,5.27462e+06
112339,59.5843,30.7459,59.6127,56.7614,5.28004e+06,5.27462e+06
113339,59.583,30.7459,59.6127,56.7868,5.28004e+06,5.27462e+06
114339,59.5829,30.7459,59.6127,56.8118,5.28004e+06,5.27462e+06
115339,59.5884,30.7459,59.6127,56.8363,5.28004e+06,5.27462e+06
116339,59.6014,30.7459,59.6127,56.8606,5.28004e+06,5.27462e+06
117339,59.5999,30.7459,59.6127,56.8844,5.28004e+06,5.27462e+06
118339,59.5992,30.7459,59.6127,56.9078,5.28004e+06,5.27462e+06
119339,59.625,30.7459,59.625,56.931,5.28004e+06,5.27462e+06
120339,59.6154,30.7459,59.625,56.9538,5.28004e+06,5.27462e+06
121339,59.6264,30.7459,59.6264,56.9763,5.28004e+06,5.27462e+06
122339,59.6302,30.7459,59.6302,56.9984,5.28004e+06,5.27462e+06
123339,59.6095,30.7459,59.6302,57.02,5.28004e+06,5.27462e+06
124339,59.5899,30.7459,59.6302,57.041,5.28004e+06,5.27462e+06
125339,59.5965,30.7459,59.6302,57.0618,5.28004e+06,5.27462e+06
126339,59.625,30.7459,59.6302,57.0825,5.28004e+06,5.27462e+06
127339,59.6162,30.7459,59.6302,57.1027,5.28004e+06,5.27462e+06
128339,59.6415,30.7459,59.6415,57.1229,5.28004e+06,5.27462e+06
129339,59.6351,30.7459,59.6415,57.1427,5.28004e+06,5.27462e+06
130339,59.6139,30.7459,59.6415,57.162,5.28004e+06,5.27462e+06
131339,59.6145,30.7459,59.6415,57.181,5.28004e+06,5.27462e+06
132339,59.6223,30.7459,59.6415,57.1998,5.28004e+06,5.27462e+06
133339,59.6465,30.7459,59.6465,57.2184,5.28004e+06,5.27462e+06
134339,59.6707,30.7459,59.6707,57.237,5.28006e+06,5.27462e+06
135339,59.6695,30.7459,59.6707,57.2553,5.28006e+06,5.27462e+06
136339,59.6593,30.7459,59.6707,57.2732,5.28006e+06,5.27462e+06
137339,59.6937,30.7459,59.6937,57.2912,5.28004e+06,5.27462e+06
138339,59.6737,30.7459,59.6937,57.3087,5.28004e+06,5.27462e+06
139339,59.6856,30.7459,59.6937,57.326,5.28004e+06,5.27462e+06
140339,59.7104,30.7459,59.7104,57.3433,5.28004e+06,5.27462e+06
141339,59.7448,30.7459,59.7448,57.3606,5.28004e+06,5.27462e+06
142339,59.7603,30.7459,59.7603,57.3777,5.28004e+06,5.27462e+06
143339,59.7872,30.7459,59.7872,57.3948,5.28004e+06,5.27462e+06
144339,59.781,30.7459,59.7872,57.4116,5.28004e+06,5.27462e+06
145339,59.7802,30.7459,59.7872,57.4282,5.28004e+06,5.27462e+06
146339,59.8014,30.7459,59.8014,57.4447,5.28004e+06,5.27462e+06
147339,59.7972,30.7459,59.8014,57.4609,5.28004e+06,5.27462e+06
