gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix
1002504,0,0,0,0,0,0,0,0,99.99,0,0
1103180,0,0,0,0,0,0,0,0,99.99,0,0
1202452,0,0,0,0,0,0,0,0,99.99,0,0
1304416,0,0,0,0,0,0,0,0,99.99,0,0
1404416,0,0,0,0,0,0,0,0,99.99,0,0
1503868,0,0,0,0,0,0,0,0,99.99,0,0
1603752,0,0,0,0,0,0,0,0,99.99,0,0
1703724,0,0,0,0,0,0,0,0,99.99,0,0
1803812,0,0,0,0,0,0,0,0,99.99,0,0
1903704,0,0,0,0,0,0,0,0,99.99,0,0
2004688,0,0,0,0,0,0,0,0,99.99,0,0
2104436,0,0,0,0,0,0,0,0,99.99,0,0
2205164,0,0,0,0,0,0,0,0,99.99,0,0
2304440,0,0,0,0,0,0,0,0,99.99,0,0
2405192,0,0,0,0,0,0,0,0,99.99,0,0
2504420,0,0,0,0,0,0,0,0,99.99,0,0
2504420,0,0,0,0,0,0,0,0,99.99,0,0
2504420,0,0,0,0,0,0,0,0,99.99,0,0
2804436,0,0,0,0,0,0,0,0,99.99,0,0
2904060,0,0,0,0,0,0,0,0,99.99,0,0
3004432,0,0,0,0,0,0,0,0,99.99,0,0
3105488,0,0,0,0,0,0,0,0,99.99,0,0
3205356,0,0,0,0,0,0,0,0,99.99,0,0
3304432,0,0,0,0,0,0,0,0,99.99,0,0
3404452,0,0,0,0,0,0,0,0,99.99,0,0
3504428,0,0,0,0,0,0,0,0,99.99,0,0
3603952,0,0,0,0,0,0,0,0,99.99,0,0
3704444,0,0,0,0,0,0,0,0,99.99,0,0
3804436,0,0,0,0,0,0,0,0,99.99,0,0
3904444,0,0,0,0,0,0,0,0,99.99,0,0
4004484,0,0,0,0,0,0,0,0,99.99,0,0
4104488,0,0,0,0,0,0,0,0,99.99,0,0
4204852,0,0,0,0,0,0,0,0,99.99,0,0
4304444,0,0,0,0,0,0,0,0,99.99,0,0
4404976,0,0,0,0,0,0,0,0,99.99,0,0
4504476,0,0,0,0,0,0,0,0,99.99,0,0
4605176,0,0,0,0,0,0,0,0,99.99,0,0
4705176,0,0,0,0,0,0,0,0,99.99,0,0
4805184,0,0,0,0,0,0,0,0,99.99,0,0
4904464,0,0,0,0,0,0,0,0,99.99,0,0
5005188,0,0,0,0,0,0,0,0,99.99,0,0
5106472,0,0,0,0,0,0,0,0,99.99,0,0
5205184,0,0,0,0,0,0,0,0,99.99,0,0
5305620,0,0,0,0,0,0,0,0,99.99,0,0
5404480,0,0,0,0,0,0,0,0,99.99,0,0
5503984,0,0,0,0,0,0,0,0,99.99,0,0
5604032,0,0,0,0,0,0,0,0,99.99,0,0
5704440,0,0,0,0,0,0,0,0,99.99,0,0
5803828,0,0,0,0,0,0,0,0,99.99,0,0
5904472,0,0,0,0,0,0,0,0,99.99,0,0
6004496,0,0,0,0,0,0,0,0,99.99,0,0
6104456,0,0,0,0,0,0,0,0,99.99,0,0
6204452,0,0,0,0,0,0,0,0,99.99,0,0
6304492,0,0,0,0,0,0,0,0,99.99,0,0
6407672,0,0,0,0,0,0,0,0,99.99,0,0
6507660,0,0,0,0,0,0,0,0,99.99,0,0
6655180,0,0,0,0,0,0,0,0,99.99,0,0
