WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle, velocityAngle,targetX,targetY
208957392,120,120,0.894029,0.812591,19.906,24.7794
209057392,120,120,0.895437,0.830773,19.9155,24.8628
209157396,120,120,0.895434,0.866503,19.9186,24.8666
209257392,120,120,0.895436,0.872671,19.918,24.8659
209357396,120,120,0.896888,0.854999,19.9165,24.9382
209457396,120,120,0.89544,0.901154,19.9197,24.8682
209557396,120,120,0.905869,0.819158,19.4888,24.8572
209657396,120,120,0.905946,0.828998,19.4869,24.8587
209757396,120,120,0.903033,0.85886,19.49,24.7141
209857396,120,120,0.912131,0.86465,19.0702,24.6395
209957404,120,120,0.909255,0.998247,19.0739,24.4984
210057400,120,120,0.906266,-2.59902,19.0799,24.3556
210157400,120,120,0.901811,2.33343,19.0778,24.1307
210257400,120,120,0.911178,0.848948,18.6445,24.0422
210357400,120,120,0.909779,0.832748,18.638,23.9645
210457400,120,120,0.909787,0.823023,18.6349,23.9608
210557404,120,120,0.909789,0.821552,18.6348,23.9608
210657404,120,120,0.920796,0.836628,18.2177,23.9642
210757404,120,120,0.919333,0.982542,18.2245,23.9005
210857412,120,120,0.919336,0.885303,18.2217,23.8969
210957412,120,120,0.917851,0.861546,18.2207,23.8222
211057404,120,120,0.917829,0.87885,18.2228,23.8238
211157404,120,120,0.917837,0.884991,18.2215,23.8225
211257408,120,120,0.908304,0.875972,18.6403,23.8946
211357416,120,120,0.906724,0.862675,18.6439,23.8215
211457408,120,120,0.905219,0.842408,18.6414,23.7445
211557412,120,120,0.91474,0.854626,18.223,23.6722
211657408,120,120,0.913317,0.853912,18.2181,23.5963
211757408,120,120,0.910259,0.879601,18.2187,23.4485
211857408,120,120,0.907135,0.965226,18.2241,23.3048
211957412,120,120,0.902477,0.896722,18.2226,23.0805
212057412,120,120,0.897754,0.863286,18.2207,22.8554
212157412,120,120,0.891362,0.88661,18.2211,22.5585
212257412,120,120,0.896277,0.881051,17.7991,22.259
212357416,120,120,0.893075,0.857999,17.7943,22.1074
212457412,120,120,0.889752,0.885336,17.7982,21.9625
212557412,120,120,0.884758,0.887203,17.7987,21.7402
212657416,120,120,0.884723,0.883904,17.7975,21.7373
212757416,120,120,0.884738,0.861495,17.794,21.7336
212857416,120,120,0.886378,0.904173,17.7983,21.8117
212957416,120,120,0.884722,0.910885,17.7999,21.7401
213057424,120,120,0.881406,0.835063,17.7917,21.5837
213157420,120,120,0.888056,0.835782,17.3688,21.3585
213257416,120,120,0.882952,0.914988,17.3746,21.1442
213357420,120,120,0.879468,0.89051,17.3745,20.9946
213457420,120,120,0.876011,0.831908,17.3658,20.837
213557420,120,120,0.884571,0.814445,16.9367,20.6795
213657420,120,120,0.88461,0.83128,16.9394,20.6844
213757428,120,120,0.881022,1.01275,16.9531,20.5503
213857428,120,120,0.875646,1.47425,16.9568,20.3312
213957420,120,120,0.872014,1.24813,16.9564,20.1812
214057424,120,120,0.868387,0.901022,16.9518,20.0277
214157424,120,120,0.862865,0.922054,16.9521,19.8053
214257424,120,120,0.873365,0.916745,16.5306,19.7285
214357424,120,120,0.867878,0.953481,16.529,19.5081
214457428,120,120,0.860293,0.975952,16.5297,19.2116
214557428,120,120,0.856382,-2.56339,16.5375,19.0693
214657428,120,120,0.852513,1.5842,16.5336,18.9164
214757428,120,120,0.848615,0.910835,16.5272,18.7609
214857428,120,120,0.84466,0.906622,16.5273,18.6122
214957432,120,120,0.844619,0.997869,16.5303,18.614
215057428,120,120,0.844621,0.97213,16.53,18.6137
215157428,120,120,0.855424,1.01202,16.1096,18.54
215257428,120,120,0.853553,0.876714,16.1009,18.4601
215357432,120,120,0.847549,0.885691,16.1019,18.239
215457432,120,120,0.843458,0.903695,16.1034,18.0909
215557432,120,120,0.852497,0.864896,15.6796,17.9387
215657436,120,120,0.850499,1.10607,15.683,17.8705
215757432,120,120,0.846342,-2.79561,15.6882,17.7272
215857436,120,120,0.840054,-2.55094,15.6904,17.5066
215957436,120,120,0.833695,0.947194,15.6818,17.2747
216057436,120,120,0.829377,0.883718,15.678,17.1214
216157436,120,120,0.825028,0.868886,15.6749,16.9693
216257436,120,120,0.81842,1.12658,15.6836,16.7552
216357436,120,120,0.816161,1.16051,15.6841,16.68
216457436,120,120,0.813931,0.996363,15.6828,16.6042
216557440,120,120,0.807198,-3.05405,15.6869,16.3862
216657440,120,120,0.80262,1.05749,15.6832,16.2329
216757448,120,120,0.79801,1.07069,15.6832,16.0838
216857448,120,120,0.791037,1.72526,15.6855,15.8634
216957444,120,120,0.78158,0.986129,15.6824,15.5631
217057440,120,120,0.77433,0.911512,15.6798,15.3365
217157440,120,120,0.769429,0.922063,15.6792,15.1863
217257444,120,120,0.766954,0.966315,15.6815,15.1135
217357444,120,120,0.778071,0.870516,15.2567,15.0347
217457444,120,120,0.773227,0.863557,15.2522,14.8854
217557444,120,120,0.768204,0.895828,15.2543,14.7386
217657452,120,120,0.765652,0.922486,15.2551,14.6642
217757444,120,120,0.760572,0.949645,15.2565,14.5172
217857448,120,120,0.769386,0.979927,14.8374,14.3697
217957444,120,120,0.764297,0.951135,14.8336,14.2204
218057448,120,120,0.761659,1.23182,14.8364,14.1482
