gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix
1055140,0,0,0,0,0,0,0,0,99.99,0,0
1154924,0,0,0,0,0,0,0,0,99.99,0,0
1154924,0,0,0,0,0,0,0,0,99.99,0,0
1354736,0,0,0,0,0,0,0,0,99.99,0,0
1456072,0,0,0,0,0,0,0,0,99.99,0,0
1555156,0,0,0,0,0,0,0,0,99.99,0,0
1555156,0,0,0,0,0,0,0,0,99.99,0,0
1755184,0,0,0,0,0,0,0,0,99.99,0,0
1755184,0,0,0,0,0,0,0,0,99.99,0,0
1955152,0,0,0,0,0,0,0,0,99.99,0,0
1955152,0,0,0,0,0,0,0,0,99.99,0,0
2154652,0,0,0,0,0,0,0,0,99.99,0,0
2154652,0,0,0,0,0,0,0,0,99.99,0,0
2355160,0,0,0,0,0,0,0,0,99.99,0,0
2454420,0,0,0,0,0,0,0,0,99.99,0,0
2554436,0,0,0,0,0,0,0,0,99.99,0,0
2654744,0,0,0,0,0,0,0,0,99.99,0,0
2754636,0,0,0,0,0,0,0,0,99.99,0,0
2854460,0,0,0,0,0,0,0,0,99.99,0,0
2955156,0,0,0,0,0,0,0,0,99.99,0,0
3054972,0,0,0,0,0,0,0,0,99.99,0,0
3154448,0,0,0,0,0,0,0,0,99.99,0,0
3154448,0,0,0,0,0,0,0,0,99.99,0,0
3354608,0,0,0,0,0,0,0,0,99.99,0,0
3354608,0,0,0,0,0,0,0,0,99.99,0,0
3555008,0,0,0,0,0,0,0,0,99.99,0,0
3655172,0,0,0,0,0,0,0,0,99.99,0,0
3754668,0,0,0,0,0,0,0,0,99.99,0,0
3854776,0,0,0,0,0,0,0,0,99.99,0,0
3955092,0,0,0,0,0,0,0,0,99.99,0,0
4055960,0,0,0,0,0,0,0,0,99.99,0,0
4055960,0,0,0,0,0,0,0,0,99.99,0,0
4156736,0,0,0,0,0,0,0,0,99.99,0,0
4355164,0,0,0,0,0,0,0,0,99.99,0,0
4454460,0,0,0,0,0,0,0,0,99.99,0,0
4555192,0,0,0,0,0,0,0,0,99.99,0,0
4654460,0,0,0,0,0,0,0,0,99.99,0,0
4754464,0,0,0,0,0,0,0,0,99.99,0,0
4855096,0,0,0,0,0,0,0,0,99.99,0,0
4954480,0,0,0,0,0,0,0,0,99.99,0,0
5055360,0,0,0,0,0,0,0,0,99.99,0,0
5155184,0,0,0,0,0,0,0,0,99.99,0,0
5155184,0,0,0,0,0,0,0,0,99.99,0,0
5355032,0,0,0,0,0,0,0,0,99.99,0,0
5355032,0,0,0,0,0,0,0,0,99.99,0,0
5555028,0,0,0,0,0,0,0,0,99.99,0,0
5555028,0,0,0,0,0,0,0,0,99.99,0,0
5656752,0,0,0,0,0,0,0,0,99.99,0,0
5855228,0,0,0,0,0,0,0,0,99.99,0,0
5954440,0,0,0,0,0,0,0,0,99.99,0,0
6054936,0,0,0,0,0,0,0,0,99.99,0,0
6155012,0,0,0,0,0,0,0,0,99.99,0,0
6254488,0,0,0,0,0,0,0,0,99.99,0,0
6254488,0,0,0,0,0,0,0,0,99.99,0,0
6455084,0,0,0,0,0,0,0,0,99.99,0,0
6556012,0,0,0,0,0,0,0,0,99.99,0,0
6654972,0,0,0,0,0,0,0,0,99.99,0,0
6654972,0,0,0,0,0,0,0,0,99.99,0,0
6854680,0,0,0,0,0,0,0,0,99.99,0,0
6955192,0,0,0,0,0,0,0,0,99.99,0,0
7055200,0,0,0,0,0,0,0,0,99.99,0,0
7154480,0,0,0,0,0,0,0,0,99.99,0,0
7255272,0,0,0,0,0,0,0,0,99.99,0,0
7255272,0,0,0,0,0,0,0,0,99.99,0,0
7454548,0,0,0,0,0,0,0,0,99.99,0,0
7555204,0,0,0,0,0,0,0,0,99.99,0,0
7654844,0,0,0,0,0,0,0,0,99.99,0,0
7756436,0,0,0,0,0,0,0,0,99.99,0,0
7756436,0,0,0,0,0,0,0,0,99.99,0,0
7856776,0,0,0,0,0,0,0,0,99.99,0,0
7996744,0,0,0,0,0,0,0,0,99.99,0,0
8098048,0,0,0,0,0,0,0,0,99.99,0,0
8196136,0,0,0,0,0,0,0,0,99.99,0,0
8295420,0,0,0,0,0,0,0,0,99.99,0,0
8396976,0,0,0,0,0,0,0,0,99.99,0,0
8498532,0,0,0,0,0,0,0,0,99.99,0,0
8596764,0,0,0,0,0,0,0,0,99.99,0,0
8698468,0,0,0,0,0,0,0,0,99.99,0,0
8796880,0,0,0,0,0,0,0,0,99.99,0,0
8897848,0,0,0,0,0,0,0,0,99.99,0,0
8996752,0,0,0,0,0,0,0,0,99.99,0,0
9098472,0,0,0,0,0,0,0,0,99.99,0,0
9197200,0,0,0,0,0,0,0,0,99.99,0,0
9298480,0,0,0,0,0,0,0,0,99.99,0,0
9396936,0,0,0,0,0,0,0,0,99.99,0,0
9497644,0,0,0,0,0,0,0,0,99.99,0,0
9595268,0,0,0,0,0,0,0,0,99.99,0,0
9697912,0,0,0,0,0,0,0,0,99.99,0,0
9796776,0,0,0,0,0,0,0,0,99.99,0,0
9897136,0,0,0,0,0,0,0,0,99.99,0,0
