temperatureTimestamp,temperature,pressureTimestamp,pressure,humid_timestamp,humidity
1036156,31.24,1036156,100371,1036164,0
1056188,31.24,1056188,100371,1056192,0
1076156,31.25,1076156,100371,1076164,0
1096168,31.25,1096168,100371,1096172,0
1116160,31.25,1116160,100371,1116164,0
1136160,31.25,1136160,100371,1136164,0
1156188,31.25,1156188,100371,1156192,0
1176160,31.26,1176164,100371,1176168,0
1196160,31.26,1196160,100371,1196164,0
1216156,31.26,1216160,100371,1216164,0
1236160,31.26,1236160,100371,1236164,0
1256188,31.27,1256188,100371,1256192,0
1276160,31.27,1276160,100371,1276164,0
1296160,31.27,1296160,100371,1296164,0
1316160,31.27,1316160,100371,1316164,0
1336312,31.27,1336312,100371,1336320,0
1356188,31.28,1356188,100372,1356196,0
1376160,31.28,1376160,100372,1376164,0
1396160,31.28,1396160,100371,1396164,0
1416160,31.28,1416160,100371,1416164,0
1436160,31.28,1436160,100371,1436164,0
1456192,31.29,1456192,100371,1456196,0
1476160,31.29,1476160,100371,1476164,0
1496160,31.29,1496160,100371,1496164,0
1516160,31.29,1516160,100371,1516164,0
1536160,31.29,1536160,100371,1536164,0
1556188,31.3,1556188,100372,1556196,0
1576160,31.3,1576160,100372,1576164,0
1596160,31.3,1596160,100372,1596164,0
1616160,31.3,1616160,100372,1616164,0
1636160,31.3,1636160,100372,1636168,0
1656200,31.31,1656200,100372,1656204,0
1676172,31.31,1676172,100372,1676180,0
1696160,31.31,1696160,100372,1696168,0
1716160,31.31,1716160,100372,1716168,0
1736160,31.31,1736160,100372,1736168,0
1756192,31.31,1756192,100372,1756196,0
1776164,31.31,1776164,100372,1776168,0
1796164,31.31,1796164,100372,1796168,0
1816164,31.32,1816164,100372,1816168,0
1836160,31.32,1836164,100372,1836168,0
1856216,31.32,1856216,100372,1856220,0
1876164,31.32,1876164,100372,1876168,0
1896164,31.32,1896164,100372,1896168,0
1916164,31.32,1916164,100372,1916168,0
1936164,31.32,1936164,100372,1936168,0
1956344,31.32,1956344,100372,1956352,0
1976164,31.32,1976164,100372,1976168,0
1996164,31.32,1996164,100372,1996168,0
2016164,31.32,2016164,100372,2016168,0
2036164,31.33,2036164,100372,2036168,0
2056192,31.33,2056192,100372,2056200,0
2076172,31.33,2076172,100372,2076176,0
2096168,31.33,2096168,100372,2096172,0
2116172,31.33,2116172,100373,2116176,0
2136164,31.33,2136164,100373,2136168,0
2156196,31.33,2156196,100373,2156200,0
2176176,31.33,2176176,100373,2176180,0
2196164,31.33,2196164,100373,2196168,0
2216164,31.33,2216164,100373,2216168,0
2236164,31.33,2236164,100373,2236168,0
2256196,31.33,2256196,100373,2256200,0
2276164,31.33,2276164,100373,2276168,0
2296168,31.33,2296168,100373,2296172,0
2316164,31.33,2316164,100373,2316172,0
2336164,31.33,2336164,100373,2336172,0
2356196,31.33,2356196,100373,2356200,0
2376164,31.33,2376164,100373,2376172,0
2396164,31.33,2396164,100373,2396172,0
2416176,31.33,2416176,100373,2416180,0
2436168,31.33,2436168,100373,2436172,0
2456196,31.33,2456196,100373,2456200,0
2476164,31.33,2476168,100373,2476172,0
2496168,31.33,2496168,100373,2496172,0
2516168,31.33,2516168,100373,2516172,0
2536168,31.33,2536168,100373,2536172,0
2556196,31.33,2556196,100373,2556204,0
2576352,31.33,2576352,100373,2576360,0
2596168,31.33,2596168,100373,2596172,0
2616168,31.33,2616168,100373,2616172,0
2636168,31.33,2636168,100373,2636172,0
2656196,31.33,2656196,100373,2656204,0
2676168,31.33,2676168,100373,2676172,0
2696176,31.33,2696176,100373,2696184,0
2716168,31.33,2716168,100373,2716172,0
2736168,31.33,2736168,100372,2736172,0
2756196,31.33,2756196,100372,2756204,0
2776168,31.33,2776168,100372,2776172,0
2796168,31.33,2796168,100372,2796172,0
2816168,31.33,2816168,100372,2816172,0
2836172,31.33,2836172,100372,2836176,0
2856196,31.33,2856196,100372,2856204,0
2876168,31.33,2876168,100372,2876176,0
2896168,31.33,2896168,100372,2896176,0
2916172,31.33,2916172,100372,2916176,0
2936180,31.33,2936180,100372,2936184,0
2956200,31.33,2956200,100372,2956204,0
2976180,31.33,2976180,100372,2976184,0
2996168,31.33,2996168,100372,2996172,0
3016168,31.33,3016168,100372,3016176,0
3036168,31.33,3036168,100372,3036176,0
3056200,31.33,3056200,100372,3056204,0
3076168,31.33,3076168,100372,3076176,0
3096172,31.33,3096172,100372,3096176,0
3116172,31.33,3116172,100372,3116176,0
3136172,31.33,3136172,100372,3136176,0
3156200,31.33,3156200,100372,3156204,0
3176176,31.33,3176176,100372,3176180,0
3196324,31.33,3196324,100372,3196332,0
3216172,31.33,3216172,100372,3216176,0
3236172,31.33,3236172,100372,3236176,0
3256200,31.33,3256200,100372,3256204,0
3276180,31.33,3276180,100372,3276188,0
3296172,31.33,3296172,100372,3296176,0
3316172,31.33,3316172,100372,3316176,0
3336172,31.33,3336172,100372,3336176,0
3356200,31.33,3356200,100372,3356208,0
