timestamp,logNumber,tooLargeSamples,droppedSamples,queuedSamples,buffersFilled,buffersWritten,writesFailed,lastWriteError,averageWriteTime,maxWriteTime
1024428,7,0,0,0,0,0,0,0,0,0
3027584,7,0,0,1181,1,1,0,0,85,85
4027612,7,0,0,1806,2,2,0,0,91,91
5027628,7,0,0,2431,4,3,0,0,104,104
6027616,7,0,0,3056,5,4,0,0,101,104
7027640,7,0,0,3681,6,5,0,0,86,104
8027628,7,0,0,4306,7,7,0,0,83,104
9027620,7,0,0,4931,8,8,0,0,82,104
10027640,7,0,0,5556,9,9,0,0,86,104
11027632,7,0,0,6181,10,10,0,0,85,104
12027640,7,0,0,6806,11,11,0,0,84,104
13027660,7,0,0,7431,12,12,0,0,89,104
14028032,7,0,0,8056,13,13,0,0,84,104
15028032,7,0,0,8681,14,14,0,0,84,104
16027664,7,0,0,9306,15,15,0,0,88,104
17027692,7,0,0,9931,16,16,0,0,85,104
18027676,7,0,0,10556,17,17,0,0,80,104
19027696,7,0,0,11181,18,18,0,0,75,104
20027684,7,0,0,11807,19,19,0,0,77,104
21027692,7,0,0,12433,20,20,0,0,76,104
22027712,7,0,0,13059,21,21,0,0,80,104
23027720,7,0,0,13685,22,22,0,0,86,104
24027712,7,0,0,14311,23,23,0,0,85,104
25027732,7,0,0,14937,24,24,0,0,77,104
26027724,7,0,0,15563,25,25,0,0,81,104
27027728,7,0,0,16189,26,26,0,0,81,104
28027748,7,0,0,16815,27,27,0,0,83,104
29027740,7,0,0,17441,28,28,0,0,85,104
30027764,7,0,0,18067,29,29,0,0,79,104
31027752,7,0,0,18693,30,30,0,0,80,104
32027784,7,0,0,19319,31,31,0,0,85,104
33027784,7,0,0,19945,32,32,0,0,83,104
34027772,7,0,0,20571,33,33,0,0,88,104
35027788,7,0,0,21197,34,34,0,0,83,104
36027800,7,0,0,21823,35,35,0,0,84,104
37027804,7,0,0,22449,36,36,0,0,85,104
38027796,7,0,0,23075,37,37,0,0,85,104
39027800,7,0,0,23701,38,38,0,0,82,104
40027820,7,0,0,24327,39,39,0,0,85,104
