WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle,targetX,targetY
201357348,120,120,0.743953,19.5052,17.9519
201457364,120,120,0.746,19.5058,18.0263
201557348,65.0964,120,0.746007,19.5005,18.0217
201657348,120,120,0.737425,19.9242,18.0987
201757348,120,120,0.737354,19.9264,18.0981
201857352,96.6642,120,0.737347,19.9246,18.0963
201957352,66.8578,120,0.737346,19.9242,18.0959
202057352,120,120,0.737349,19.9256,18.0972
202157352,74.5879,120,0.737345,19.9244,18.096
202257352,39.1284,120,0.737345,19.9238,18.0955
202357352,120,120,0.737348,19.9253,18.0969
202457356,120,120,0.726964,20.3453,18.0964
202557360,83.0723,120,0.728903,20.3483,18.1699
202657356,120,120,0.728934,20.3537,18.1758
202757356,8.24802,120,0.728913,20.3461,18.1683
202857356,8.28684,120,0.728911,20.3457,18.1678
202957356,120,120,0.718779,20.7714,18.1731
203057364,22.7334,120,0.718683,20.7713,18.1695
203157356,16.9593,120,0.716666,20.771,18.0954
203257368,5.7561,120,0.716642,20.7692,18.093
203357360,16.4108,120,0.718667,20.771,18.1686
203457360,104.113,120,0.718686,20.7724,18.1705
203557360,2.46019,120,0.716655,20.7685,18.0929
203657360,0,120,0.716627,20.7653,18.089
203757364,8.41382,120,0.718661,20.7702,18.1677
203857368,16.6573,120,0.718682,20.7712,18.1694
203957364,9.68905,120,0.710767,21.1915,18.243
204057364,0.0879523,120,0.710696,21.1927,18.2414
204157364,0,120,0.720615,20.7716,18.2407
204257364,0,120,0.720688,20.766,18.2385
204357376,120,120,0.720712,20.7728,18.2454
204457364,0.810682,120,0.724704,20.7699,18.3902
204557368,0,120,0.726716,20.7667,18.462
204657368,3.09484,120,0.728725,20.77,18.5398
204757368,1.16226,120,0.730712,20.7678,18.6121
204857368,24.7494,120,0.730739,20.7712,18.6162
204957368,120,120,0.722773,21.1974,18.6958
205057376,3.16782,120,0.724638,21.1918,18.7613
205157372,18.7902,120,0.726615,21.1948,18.8388
205257372,120,120,0.728578,21.1968,18.9151
205357372,2.83733,120,0.730514,21.1894,18.9823
205457372,6.97598,120,0.732468,21.192,19.0595
205557380,21.8132,120,0.726565,21.6153,19.2106
205657384,0.654752,120,0.728403,21.6113,19.2783
205757376,0.876648,120,0.73032,21.6131,19.3544
205857372,0,120,0.722666,22.0359,19.4311
205957376,0,120,0.724479,22.0371,19.5034
206057376,0,120,0.726375,22.0401,19.5807
206157376,0,120,0.726384,22.0393,19.5803
206257388,0,120,0.724496,22.0367,19.5037
206357376,0,120,0.726353,22.0358,19.5759
206457376,0,120,0.724496,22.0379,19.5048
