timestamp,threadId,minimumStack
3340,1,14796
3317,3,15748
3387,4,16204
2428,5,16256
2513,6,15676
3062,7,16180
2362,8,16180
3389,10,1436
2393,16,15408
4379,1,14796
4316,3,15748
4388,4,16204
3406,5,16256
3498,6,15676
4190,7,16180
4362,8,16180
4389,10,1436
3393,16,15340
5382,1,14796
5316,3,15748
5388,4,16204
5372,5,16256
4495,6,15636
5221,7,16180
4362,8,16180
5389,10,1436
4393,16,15340
6374,1,14796
6316,3,15748
6388,4,16204
6349,5,16256
5474,6,15636
6270,7,16180
6362,8,16180
6389,10,1436
5393,16,15340
7336,1,14796
7317,3,15748
7388,4,16204
7326,5,16256
6436,6,15636
7357,7,16180
6362,8,16180
7389,10,1436
6393,16,15340
8374,1,14796
8358,3,15748
8388,4,16204
8304,5,16256
8388,6,15636
8095,7,16180
8362,8,16180
8389,10,1436
7393,16,15324
9379,1,14796
9358,3,15748
9388,4,16204
9280,5,16256
9363,6,15636
9122,7,16180
8362,8,16180
9389,10,1436
8393,16,15324
10385,1,14796
10358,3,15748
10388,4,16204
10258,5,16256
10346,6,15636
10177,7,16180
10362,8,16180
10389,10,1436
9393,16,15324
11360,1,14796
11360,3,15748
11388,4,16204
11234,5,16256
11320,6,15636
11257,7,16180
10362,8,16180
11389,10,1436
10393,16,15324
12343,1,14796
12359,3,15748
12388,4,16204
12212,5,16256
12297,6,15636
12343,7,16180
12362,8,16180
12389,10,1436
11393,16,15324
13380,1,14796
13358,3,15748
13388,4,16204
13189,5,16256
13278,6,15636
13044,7,16180
12362,8,16180
13389,10,1436
12393,16,15324
14386,1,14796
14359,3,15748
14389,4,16204
14166,5,16256
14251,6,15636
14112,7,16180
14362,8,16180
14389,10,1436
13393,16,15324
15377,1,14796
15357,3,15748
15389,4,16204
15142,5,16256
15227,6,15636
15183,7,16180
14362,8,16180
15389,10,1436
14393,16,15324
16367,1,14796
16358,3,15748
16339,4,16204
16118,5,16256
16207,6,15636
16207,7,16180
16362,8,16180
16389,10,1436
15393,16,15324
17376,1,14796
17357,3,15748
17340,4,16204
17098,5,16256
17184,6,15636
17337,7,16180
16362,8,16180
17389,10,1436
16393,16,15324
18348,1,14796
18357,3,15748
18341,4,16204
18074,5,16256
18155,6,15636
18367,7,16180
18362,8,16180
18389,10,1436
17393,16,15324
18558,0,14844
19386,1,14796
19359,3,15748
19341,4,16204
19050,5,16256
19126,6,15636
19089,7,16180
18362,8,16180
19389,10,1436
18393,16,15324
18558,0,14844
20345,1,14796
20357,3,15748
20342,4,16204
20028,5,16256
20105,6,15636
20132,7,16180
20362,8,16180
20389,10,1436
19393,16,15324
18558,0,14844
21351,1,14796
21358,3,15748
21342,4,16204
21006,5,16256
21083,6,15636
21248,7,16180
20362,8,16180
21389,10,1436
20393,16,15324
18558,0,14844
22385,1,14796
22357,3,15748
22342,4,16204
21982,5,16256
22062,6,15636
22346,7,16180
22362,8,16180
22389,10,1436
21393,16,15316
18558,0,14844
23329,1,14796
23358,3,15748
23342,4,16204
22958,5,16256
23045,6,15636
23121,7,16180
22362,8,16180
23389,10,1436
22393,16,15316
18558,0,14844
24377,1,14796
24358,3,15748
24342,4,16204
23936,5,16256
24021,6,15636
24169,7,16180
24362,8,16180
24389,10,1436
23393,16,15316
18558,0,14844
25383,1,14796
25358,3,15748
25342,4,16204
24914,5,16256
24992,6,15636
25293,7,16180
24362,8,16180
25389,10,1436
24393,16,15316
18558,0,14844
26341,1,14796
26358,3,15748
26342,4,16204
25890,5,16256
25971,6,15636
26341,7,16180
26362,8,16180
26389,10,1436
25393,16,15316
18558,0,14844
27347,1,14796
27358,3,15748
27342,4,16204
26868,5,16256
26950,6,15636
27373,7,16180
26362,8,16180
27389,10,1436
26393,16,15316
18558,0,14844
28381,1,14796
28358,3,15748
28342,4,16204
27844,5,16256
27928,6,15636
28159,7,16180
28362,8,16180
28389,10,1436
27393,16,15316
18558,0,14844
29387,1,14796
29359,3,15748
29342,4,16204
28820,5,16256
28906,6,15636
29193,7,16180
28362,8,16180
29389,10,1436
28393,16,15316
18558,0,14844
