timestamp,n,e,d,vn,ve,vd,qx,qy,qz,qw,bx,by,bz
2047536,0,0,-110.131,0.046505,-0.00155767,-0.709653,0.0321354,-0.696273,0.0176563,0.71684,-0.000319086,0.00164394,-0.000584487
2067544,0.000930101,-3.11534e-05,-110.885,0.0727454,0.00359042,-0.344094,0.0278805,-0.732056,0.0361452,0.679713,-0.000352875,0.001818,-0.000646383
2087544,0.00238501,4.0655e-05,-110.886,0.0761634,0.0143285,0.053004,0.0237999,-0.767059,0.05317,0.638926,-0.00060922,0.0033239,-0.0011309
2107548,0.00390828,0.000327226,-110.884,0.057523,0.0300076,0.447264,0.019368,-0.799566,0.071628,0.595977,-0.000669122,0.00364181,-0.00124089
2127544,0.00505874,0.000927378,-110.885,0.0186131,0.0509671,0.83879,0.014935,-0.829437,0.0879196,0.551436,-0.000881603,0.00494271,-0.00166077
2147544,0.005431,0.00194672,-110.884,-0.0407268,0.0758164,1.22363,0.0105485,-0.855869,0.103722,0.506575,-0.000951802,0.00535046,-0.00179253
2167544,0.00461646,0.00346305,-110.884,-0.119922,0.102423,1.59903,0.00629766,-0.878693,0.118176,0.462486,-0.0011242,0.00642534,-0.00214067
2187544,0.00221803,0.00551151,-110.883,-0.2178,0.132442,1.96324,0.00243757,-0.897833,0.132175,0.420024,-0.00120069,0.00685976,-0.00228402
2207544,-0.00213797,0.00816035,-110.885,-0.330909,0.166042,2.31446,-0.00139977,-0.913805,0.144122,0.379719,-0.00133402,0.00771693,-0.00256402
2227544,-0.00875614,0.0114812,-110.885,-0.458493,0.201047,2.65264,-0.00472521,-0.926818,0.155795,0.341635,-0.00140852,0.00813879,-0.00270371
2247544,-0.017926,0.0155021,-110.883,-0.598153,0.236847,2.97705,-0.00852296,-0.937734,0.16504,0.305524,-0.00150104,0.00883315,-0.00293242
2267544,-0.0298891,0.0202391,-110.886,-0.74813,0.273977,3.28608,-0.0110723,-0.945742,0.174309,0.273983,-0.00156763,0.00920312,-0.00305548
2287544,-0.0448517,0.0257186,-110.883,-0.908554,0.309701,3.58248,-0.0130856,-0.95188,0.183018,0.245474,-0.00167014,0.00971119,-0.00322285
2307544,-0.0630227,0.0319126,-110.883,-1.07597,0.346499,3.86522,-0.0159129,-0.957014,0.189409,0.21908,-0.00171837,0.0100349,-0.00332832
2327544,-0.084542,0.0388426,-110.884,-1.24831,0.383012,4.13458,-0.0184583,-0.960905,0.194762,0.195928,-0.00176854,0.0104246,-0.00346199
2347544,-0.109508,0.0465029,-110.885,-1.42482,0.418816,4.39368,-0.0198036,-0.963691,0.200967,0.174697,-0.00182197,0.0106939,-0.00355199
2367548,-0.138005,0.0548792,-110.885,-1.60624,0.453935,4.64155,-0.0211843,-0.965665,0.205827,0.157089,-0.0018744,0.0109784,-0.0036467
2387544,-0.170129,0.0639579,-110.886,-1.78887,0.489542,4.87974,-0.0234772,-0.967445,0.209116,0.140606,-0.00189823,0.0111926,-0.00371871
2407544,-0.205907,0.0737487,-110.882,-1.97451,0.525266,5.1101,-0.024619,-0.968555,0.212916,0.126339,-0.00193686,0.0114158,-0.00379361
2427544,-0.245397,0.084254,-110.884,-2.16233,0.561622,5.33092,-0.0240353,-0.96897,0.218384,0.113256,-0.00199464,0.0115904,-0.00384859
2447544,-0.288644,0.0954865,-110.881,-2.35167,0.595373,5.54389,-0.0237076,-0.969168,0.223159,0.101742,-0.00205667,0.0117689,-0.00389765
2467544,-0.335677,0.107394,-110.885,-2.54318,0.628369,5.74534,-0.0244659,-0.969419,0.226141,0.0921341,-0.00208385,0.011899,-0.00394135
2487544,-0.386541,0.119961,-110.885,-2.7356,0.659957,5.94093,-0.0254784,-0.969645,0.228296,0.0837828,-0.00210167,0.0120243,-0.00398787
2507544,-0.441253,0.13316,-110.882,-2.92853,0.692524,6.13025,-0.0271432,-0.969944,0.229543,0.0760373,-0.00210526,0.01213,-0.00402854
2527544,-0.499823,0.147011,-110.884,-3.12223,0.725975,6.30899,-0.0278368,-0.969972,0.231238,0.0700672,-0.00211786,0.012218,-0.004061
2547544,-0.562268,0.16153,-110.882,-3.31656,0.75787,6.48572,-0.028172,-0.969898,0.232641,0.0662053,-0.00212763,0.0122706,-0.00407905
2567544,-0.628599,0.176688,-110.883,-3.51046,0.789072,6.65648,-0.0282338,-0.969707,0.234497,0.0623011,-0.00214537,0.0123283,-0.00409577
2587548,-0.698808,0.192469,-110.881,-3.7028,0.814157,6.83072,-0.0283145,-0.969533,0.236273,0.0581271,-0.00216094,0.0123871,-0.00411445
2607548,-0.772864,0.208752,-110.885,-3.90031,0.841808,6.98585,-0.0287782,-0.969465,0.237436,0.0541618,-0.00216798,0.012445,-0.00413695
2627548,-0.850871,0.225589,-110.881,-4.09396,0.875376,7.14724,-0.029246,-0.969345,0.238832,0.0497484,-0.00217697,0.0125073,-0.00415972
2647548,-0.93275,0.243096,-110.884,-4.29192,0.908938,7.29179,-0.0295441,-0.969219,0.239807,0.047263,-0.00218257,0.0125446,-0.00417376
2667544,-1.01859,0.261275,-110.885,-4.48863,0.941672,7.43112,-0.0303614,-0.969183,0.240411,0.044318,-0.0021807,0.0125861,-0.00419241
2687548,-1.10836,0.280108,-110.883,-4.6854,0.972132,7.56982,-0.0304832,-0.968994,0.241609,0.0417974,-0.00218933,0.0126217,-0.00420403
2707548,-1.20207,0.299551,-110.882,-4.88248,1.00272,7.70174,-0.0303573,-0.968751,0.24294,0.0397602,-0.00220013,0.0126488,-0.00421096
2727548,-1.29972,0.319605,-110.885,-5.07777,1.03698,7.83531,-0.0309855,-0.968718,0.2433,0.0378156,-0.00219401,0.0126735,-0.00422571
2747548,-1.40127,0.340345,-110.884,-5.27433,1.07159,7.9655,-0.0310208,-0.96853,0.244226,0.0366188,-0.00219922,0.0126908,-0.0042309
2767548,-1.50676,0.361777,-110.881,-5.46959,1.10334,8.09445,-0.0310997,-0.968359,0.244988,0.0359878,-0.00220188,0.0127001,-0.00423376
2787548,-1.61615,0.383843,-110.882,-5.66598,1.12803,8.21322,-0.0317293,-0.968374,0.244945,0.0353141,-0.0021919,0.012708,-0.00424212
2807552,-1.72947,0.406404,-110.885,-5.86453,1.15803,8.32373,-0.0321173,-0.968355,0.245077,0.0345659,-0.0021848,0.0127177,-0.00425041
2827548,-1.84676,0.429564,-110.886,-6.06045,1.19176,8.43678,-0.033019,-0.968507,0.244445,0.0339123,-0.00216468,0.0127241,-0.00426319
2847548,-1.96797,0.4534,-110.885,-6.2566,1.2251,8.54223,-0.0335027,-0.968509,0.244438,0.0334261,-0.00215479,0.0127305,-0.00427142
2867548,-2.0931,0.477902,-110.882,-6.46652,1.26504,8.6563,-0.0338765,-0.968441,0.244769,0.0326087,-0.00214983,0.0127406,-0.00427844
2887548,-2.22243,0.503202,-110.881,-6.66907,1.29292,8.75782,-0.0340735,-0.968408,0.244821,0.0329733,-0.00214181,0.0127337,-0.00427965
2907548,-2.35582,0.529061,-110.883,-6.86759,1.32458,8.85435,-0.0341252,-0.968324,0.245146,0.0329846,-0.00213893,0.0127333,-0.00428091
2927548,-2.49317,0.555552,-110.884,-7.06648,1.3538,8.95162,-0.0339298,-0.96814,0.245902,0.0329616,-0.00214214,0.0127359,-0.00428036
2947548,-2.6345,0.582628,-110.883,-7.26808,1.38941,9.03596,-0.0339153,-0.968041,0.246348,0.0325443,-0.00214006,0.012743,-0.00428463
2967552,-2.77986,0.610417,-110.886,-7.46998,1.41948,9.12051,-0.034855,-0.96818,0.245945,0.0303752,-0.00212298,0.0127721,-0.00430711
2987548,-2.92926,0.638806,-110.882,-7.66636,1.45187,9.20228,-0.0352824,-0.968175,0.246042,0.0292642,-0.00211549,0.0127871,-0.00431777
3007548,-3.08258,0.667844,-110.885,-7.85772,1.48607,9.2798,-0.0362514,-0.968357,0.245269,0.0285171,-0.00209338,0.0127931,-0.00433251
3027548,-3.23974,0.697565,-110.883,-8.05943,1.51719,9.35186,-0.0369871,-0.968459,0.244784,0.0282777,-0.00207692,0.0127932,-0.0043412
3047548,-3.40093,0.727909,-110.884,-8.26391,1.54716,9.42694,-0.0373162,-0.968437,0.24487,0.0278641,-0.00206935,0.0127968,-0.00434692
3067744,-3.56621,0.758852,-110.883,-8.45412,1.58069,9.50648,-0.0376995,-0.968441,0.244808,0.0277404,-0.00205915,0.0127968,-0.00435232
3087700,-3.73529,0.790466,-110.881,-8.66738,1.64229,9.58685,-0.0387035,-0.96873,0.243467,0.0280798,-0.00203248,0.0127912,-0.00436428
3107552,-3.90864,0.823312,-110.882,-8.87078,1.69086,9.64971,-0.0392458,-0.968806,0.243192,0.0270597,-0.00202076,0.0128068,-0.00437742
3127552,-4.08605,0.857129,-110.883,-9.0644,1.72933,9.72634,-0.0392141,-0.968616,0.243999,0.0266373,-0.00202254,0.0128148,-0.00437996
3147548,-4.26734,0.891716,-110.881,-9.26578,1.76201,9.78084,-0.0399238,-0.968685,0.243759,0.0252406,-0.00201126,0.0128335,-0.00439429
3167548,-4.45266,0.926956,-110.885,-9.46271,1.79489,9.83367,-0.0399665,-0.968562,0.244309,0.0245832,-0.00201062,0.0128424,-0.00439858
3187556,-4.64191,0.962854,-110.881,-9.65834,1.82948,9.89687,-0.0409376,-0.968755,0.243395,0.024442,-0.00198682,0.0128406,-0.00441061
3207548,-4.83508,0.999443,-110.882,-9.85662,1.86409,9.94784,-0.0414991,-0.968798,0.243102,0.0246729,-0.00197382,0.0128348,-0.0044152
3227552,-5.03221,1.03673,-110.882,-10.0544,1.89678,10.0003,-0.0420425,-0.968878,0.242603,0.0255117,-0.00195697,0.0128198,-0.00441765
