timestamp,cpu_usage,cpu_usage_min,cpu_usage_max,cpu_usage_mean,free_heap,min_free_heap
3389,31.9122,31.9122,31.9122,31.9122,5.28009e+06,5.27462e+06
4389,36.6454,31.9122,36.6454,34.2788,5.28009e+06,5.27462e+06
5389,40.8031,31.9122,40.8031,36.4535,5.2801e+06,5.27462e+06
6389,43.7037,31.9122,43.7037,38.2661,5.2801e+06,5.27462e+06
7389,46.0153,31.9122,46.0153,39.8159,5.2801e+06,5.27462e+06
8389,47.9157,31.9122,47.9157,41.1659,5.28009e+06,5.27462e+06
9389,48.6488,31.9122,48.6488,42.2349,5.28009e+06,5.27462e+06
10389,49.7365,31.9122,49.7365,43.1726,5.28009e+06,5.27462e+06
11389,50.6993,31.9122,50.6993,44.0089,5.28009e+06,5.27462e+06
12389,51.5509,31.9122,51.5509,44.7631,5.28009e+06,5.27462e+06
13389,52.3494,31.9122,52.3494,45.4527,5.28009e+06,5.27462e+06
14389,52.8089,31.9122,52.8089,46.0657,5.28009e+06,5.27462e+06
15389,53.1879,31.9122,53.1879,46.6136,5.28009e+06,5.27462e+06
16389,53.4994,31.9122,53.4994,47.1054,5.28009e+06,5.27462e+06
17389,54.1037,31.9122,54.1037,47.572,5.28009e+06,5.27462e+06
18389,54.3677,31.9122,54.3677,47.9967,5.28009e+06,5.27462e+06
19389,54.5883,31.9122,54.5883,48.3845,5.28004e+06,5.27462e+06
20389,54.9021,31.9122,54.9021,48.7466,5.28004e+06,5.27462e+06
21389,55.2019,31.9122,55.2019,49.0863,5.28004e+06,5.27462e+06
22389,55.518,31.9122,55.518,49.4079,5.28004e+06,5.27462e+06
23389,55.7794,31.9122,55.7794,49.7113,5.28004e+06,5.27462e+06
24389,55.9416,31.9122,55.9416,49.9945,5.28004e+06,5.27462e+06
25389,56.2275,31.9122,56.2275,50.2655,5.28004e+06,5.27462e+06
26389,56.352,31.9122,56.352,50.5191,5.28004e+06,5.27462e+06
27389,56.4489,31.9122,56.4489,50.7563,5.28004e+06,5.27462e+06
28389,56.6669,31.9122,56.6669,50.9836,5.28004e+06,5.27462e+06
29389,56.7356,31.9122,56.7356,51.1967,5.28004e+06,5.27462e+06
30389,56.9065,31.9122,56.9065,51.4006,5.28004e+06,5.27462e+06
31389,57.029,31.9122,57.029,51.5947,5.28004e+06,5.27462e+06
32389,57.2315,31.9122,57.2315,51.7826,5.28004e+06,5.27462e+06
33389,57.3195,31.9122,57.3195,51.9612,5.28004e+06,5.27462e+06
34389,57.3902,31.9122,57.3902,52.1308,5.28004e+06,5.27462e+06
35389,57.5537,31.9122,57.5537,52.2952,5.28004e+06,5.27462e+06
36389,57.6027,31.9122,57.6027,52.4513,5.28004e+06,5.27462e+06
37389,57.6499,31.9122,57.6499,52.5998,5.28004e+06,5.27462e+06
38389,57.7942,31.9122,57.7942,52.7441,5.28004e+06,5.27462e+06
39389,57.8187,31.9122,57.8187,52.8812,5.28004e+06,5.27462e+06
40389,57.9644,31.9122,57.9644,53.015,5.28004e+06,5.27462e+06
41389,57.9824,31.9122,57.9824,53.1424,5.28004e+06,5.27462e+06
42389,58.0933,31.9122,58.0933,53.2662,5.28004e+06,5.27462e+06
43389,58.1583,31.9122,58.1583,53.3855,5.28004e+06,5.27462e+06
44389,58.1891,31.9122,58.1891,53.4998,5.28004e+06,5.27462e+06
45389,58.2226,31.9122,58.2226,53.6097,5.28004e+06,5.27462e+06
46389,58.305,31.9122,58.305,53.7164,5.28004e+06,5.27462e+06
47389,58.3595,31.9122,58.3595,53.8196,5.28004e+06,5.27462e+06
48389,58.3309,31.9122,58.3595,53.9176,5.28006e+06,5.27462e+06
49389,58.3384,31.9122,58.3595,54.0117,5.28006e+06,5.27462e+06
50389,58.3389,31.9122,58.3595,54.1018,5.28006e+06,5.27462e+06
51389,58.4296,31.9122,58.4296,54.1902,5.28004e+06,5.27462e+06
52389,58.4634,31.9122,58.4634,54.2756,5.28004e+06,5.27462e+06
53389,58.5478,31.9122,58.5478,54.3594,5.28004e+06,5.27462e+06
54389,58.559,31.9122,58.559,54.4402,5.28004e+06,5.27462e+06
55389,58.5992,31.9122,58.5992,54.5186,5.28004e+06,5.27462e+06
56389,58.6239,31.9122,58.6239,54.5947,5.28004e+06,5.27462e+06
57389,58.6345,31.9122,58.6345,54.6681,5.28004e+06,5.27462e+06
58389,58.7177,31.9122,58.7177,54.7404,5.28004e+06,5.27462e+06
59389,58.7317,31.9122,58.7317,54.8104,5.28004e+06,5.27462e+06
60389,58.7298,31.9122,58.7317,54.878,5.28004e+06,5.27462e+06
61389,58.7464,31.9122,58.7464,54.9436,5.28004e+06,5.27462e+06
62389,58.7557,31.9122,58.7557,55.0071,5.28004e+06,5.27462e+06
63389,58.7564,31.9122,58.7564,55.0686,5.28004e+06,5.27462e+06
64389,58.8111,31.9122,58.8111,55.1289,5.28004e+06,5.27462e+06
65389,58.8308,31.9122,58.8308,55.1877,5.28004e+06,5.27462e+06
66391,58.8377,31.9122,58.8377,55.2447,5.28004e+06,5.27462e+06
67391,58.8517,31.9122,58.8517,55.3002,5.28004e+06,5.27462e+06
68391,58.9038,31.9122,58.9038,55.3548,5.28004e+06,5.27462e+06
69391,58.9255,31.9122,58.9255,55.4081,5.28004e+06,5.27462e+06
70391,58.9678,31.9122,58.9678,55.4605,5.28004e+06,5.27462e+06
71391,58.9654,31.9122,58.9678,55.5113,5.28004e+06,5.27462e+06
72391,59.0032,31.9122,59.0032,55.5612,5.28004e+06,5.27462e+06
73391,58.9986,31.9122,59.0032,55.6096,5.28004e+06,5.27462e+06
74391,58.971,31.9122,59.0032,55.6563,5.28004e+06,5.27462e+06
75391,58.9607,31.9122,59.0032,55.7015,5.28004e+06,5.27462e+06
76391,59.0199,31.9122,59.0199,55.7464,5.28004e+06,5.27462e+06
77391,59.0256,31.9122,59.0256,55.7901,5.28004e+06,5.27462e+06
